Time_UTC,Load,BA
2009-01-01 00:00:00,3302.65,AECI
2009-01-01 01:00:00,3357.92,AECI
2009-01-01 02:00:00,3407.3,AECI
2009-01-01 03:00:00,3302.32,AECI
2009-01-01 04:00:00,3166.44,AECI
2009-01-01 05:00:00,3043.23,AECI
2009-01-01 06:00:00,2928.44,AECI
2009-01-01 07:00:00,2871.92,AECI
2009-01-01 08:00:00,2857.9,AECI
2009-01-01 09:00:00,2883.14,AECI
2009-01-01 10:00:00,2914.9,AECI
2009-01-01 11:00:00,2949.87,AECI
2009-01-01 12:00:00,2986.26,AECI
2009-01-01 13:00:00,3033.82,AECI
2009-01-01 14:00:00,3112.41,AECI
2009-01-01 15:00:00,3187.96,AECI
2009-01-01 16:00:00,3095.13,AECI
2009-01-01 17:00:00,2984.13,AECI
2009-01-01 18:00:00,2870.18,AECI
2009-01-01 19:00:00,2750.08,AECI
2009-01-01 20:00:00,2636.88,AECI
2009-01-01 21:00:00,2532.33,AECI
2009-01-01 22:00:00,2484.76,AECI
2009-01-01 23:00:00,2546.99,AECI
2009-01-02 00:00:00,2899.6,AECI
2009-01-02 01:00:00,2991.58,AECI
2009-01-02 02:00:00,3073.36,AECI
2009-01-02 03:00:00,3014.96,AECI
2009-01-02 04:00:00,2910.08,AECI
2009-01-02 05:00:00,2797.62,AECI
2009-01-02 06:00:00,2701.98,AECI
2009-01-02 07:00:00,2665.11,AECI
2009-01-02 08:00:00,2713.37,AECI
2009-01-02 09:00:00,2780.07,AECI
2009-01-02 10:00:00,2840.94,AECI
2009-01-02 11:00:00,2897.76,AECI
2009-01-02 12:00:00,2943.27,AECI
2009-01-02 13:00:00,2990.23,AECI
2009-01-02 14:00:00,3073.51,AECI
2009-01-02 15:00:00,3038.85,AECI
2009-01-02 16:00:00,2906.58,AECI
2009-01-02 17:00:00,2768.46,AECI
2009-01-02 18:00:00,2653.74,AECI
2009-01-02 19:00:00,2546.75,AECI
2009-01-02 20:00:00,2453.14,AECI
2009-01-02 21:00:00,2405.32,AECI
2009-01-02 22:00:00,2429.21,AECI
2009-01-02 23:00:00,2551.54,AECI
2009-01-03 00:00:00,2482.85,AECI
2009-01-03 01:00:00,2591.9,AECI
2009-01-03 02:00:00,2682.61,AECI
2009-01-03 03:00:00,2676.11,AECI
2009-01-03 04:00:00,2560.25,AECI
2009-01-03 05:00:00,2432.5,AECI
2009-01-03 06:00:00,2297.81,AECI
2009-01-03 07:00:00,2202.27,AECI
2009-01-03 08:00:00,2140.23,AECI
2009-01-03 09:00:00,2100.75,AECI
2009-01-03 10:00:00,2116.05,AECI
2009-01-03 11:00:00,2144.68,AECI
2009-01-03 12:00:00,2180.86,AECI
2009-01-03 13:00:00,2224.68,AECI
2009-01-03 14:00:00,2273.67,AECI
2009-01-03 15:00:00,2335.96,AECI
2009-01-03 16:00:00,2286.42,AECI
2009-01-03 17:00:00,2231.27,AECI
2009-01-03 18:00:00,2161.72,AECI
2009-01-03 19:00:00,2101.67,AECI
2009-01-03 20:00:00,2048.5,AECI
2009-01-03 21:00:00,2007.68,AECI
2009-01-03 22:00:00,1984.31,AECI
