Time_UTC,Load,BA
2009-01-01 00:00:00,598.93,AEC
2009-01-01 01:00:00,635.25,AEC
2009-01-01 02:00:00,657.48,AEC
2009-01-01 03:00:00,647.1,AEC
2009-01-01 04:00:00,641.38,AEC
2009-01-01 05:00:00,636.88,AEC
2009-01-01 06:00:00,635.74,AEC
2009-01-01 07:00:00,641.46,AEC
2009-01-01 08:00:00,652.9,AEC
2009-01-01 09:00:00,671.95,AEC
2009-01-01 10:00:00,705.4,AEC
2009-01-01 11:00:00,729.5,AEC
2009-01-01 12:00:00,743.1,AEC
2009-01-01 13:00:00,769.02,AEC
2009-01-01 14:00:00,752.21,AEC
2009-01-01 15:00:00,676.09,AEC
2009-01-01 16:00:00,613.63,AEC
2009-01-01 17:00:00,563.07,AEC
2009-01-01 18:00:00,527.5,AEC
2009-01-01 19:00:00,507.49,AEC
2009-01-01 20:00:00,491.92,AEC
2009-01-01 21:00:00,479.74,AEC
2009-01-01 22:00:00,472.56,AEC
2009-01-01 23:00:00,484.88,AEC
2009-01-02 00:00:00,612.7,AEC
2009-01-02 01:00:00,645.36,AEC
2009-01-02 02:00:00,660.37,AEC
2009-01-02 03:00:00,628.31,AEC
2009-01-02 04:00:00,590.11,AEC
2009-01-02 05:00:00,548.45,AEC
2009-01-02 06:00:00,504.78,AEC
2009-01-02 07:00:00,471.85,AEC
2009-01-02 08:00:00,473.05,AEC
2009-01-02 09:00:00,486.58,AEC
2009-01-02 10:00:00,500.86,AEC
2009-01-02 11:00:00,511.97,AEC
2009-01-02 12:00:00,520.28,AEC
2009-01-02 13:00:00,523.27,AEC
2009-01-02 14:00:00,528.11,AEC
2009-01-02 15:00:00,505.72,AEC
2009-01-02 16:00:00,469.19,AEC
2009-01-02 17:00:00,439.68,AEC
2009-01-02 18:00:00,419.98,AEC
2009-01-02 19:00:00,404.93,AEC
2009-01-02 20:00:00,398.11,AEC
2009-01-02 21:00:00,403.27,AEC
2009-01-02 22:00:00,404.83,AEC
2009-01-02 23:00:00,409.66,AEC
2009-01-03 00:00:00,468.82,AEC
2009-01-03 01:00:00,486.51,AEC
2009-01-03 02:00:00,490.1,AEC
2009-01-03 03:00:00,457.48,AEC
2009-01-03 04:00:00,429.17,AEC
2009-01-03 05:00:00,401.45,AEC
2009-01-03 06:00:00,374.22,AEC
2009-01-03 07:00:00,349.73,AEC
2009-01-03 08:00:00,339.05,AEC
2009-01-03 09:00:00,338.29,AEC
2009-01-03 10:00:00,344.19,AEC
2009-01-03 11:00:00,353.17,AEC
2009-01-03 12:00:00,359.46,AEC
2009-01-03 13:00:00,363.08,AEC
2009-01-03 14:00:00,368.87,AEC
2009-01-03 15:00:00,376.69,AEC
2009-01-03 16:00:00,389.07,AEC
2009-01-03 17:00:00,391.61,AEC
2009-01-03 18:00:00,396.71,AEC
2009-01-03 19:00:00,401.77,AEC
2009-01-03 20:00:00,402.82,AEC
2009-01-03 21:00:00,401.24,AEC
2009-01-03 22:00:00,401.6,AEC
2009-01-03 23:00:00,407.51,AEC
2009-01-04 00:00:00,485.05,AEC
2009-01-04 01:00:00,501.37,AEC
2009-01-04 02:00:00,495.79,AEC
2009-01-04 03:00:00,451.37,AEC
2009-01-04 04:00:00,417.33,AEC
2009-01-04 05:00:00,389.78,AEC
2009-01-04 06:00:00,361.9,AEC
2009-01-04 07:00:00,337.32,AEC
2009-01-04 08:00:00,323.51,AEC
2009-01-04 09:00:00,325.35,AEC
2009-01-04 10:00:00,332.25,AEC
2009-01-04 11:00:00,339.79,AEC
2009-01-04 12:00:00,347.48,AEC
2009-01-04 13:00:00,354.04,AEC
2009-01-04 14:00:00,367.39,AEC
2009-01-04 15:00:00,380.27,AEC
2009-01-04 16:00:00,389.44,AEC
2009-01-04 17:00:00,392.9,AEC
