Time_UTC,Load,BA
2009-01-01 00:00:00,1661.82,AVA
2009-01-01 01:00:00,1697.08,AVA
2009-01-01 02:00:00,1734.37,AVA
2009-01-01 03:00:00,1788.29,AVA
2009-01-01 04:00:00,1773.78,AVA
2009-01-01 05:00:00,1724.02,AVA
2009-01-01 06:00:00,1657.55,AVA
2009-01-01 07:00:00,1601.02,AVA
2009-01-01 08:00:00,1546.83,AVA
2009-01-01 09:00:00,1500.49,AVA
2009-01-01 10:00:00,1483.67,AVA
2009-01-01 11:00:00,1479.98,AVA
2009-01-01 12:00:00,1498.63,AVA
2009-01-01 13:00:00,1557.49,AVA
2009-01-01 14:00:00,1619.08,AVA
2009-01-01 15:00:00,1672.01,AVA
2009-01-01 16:00:00,1728.5,AVA
2009-01-01 17:00:00,1796.81,AVA
2009-01-01 18:00:00,1826.57,AVA
2009-01-01 19:00:00,1830.87,AVA
2009-01-01 20:00:00,1810.66,AVA
2009-01-01 21:00:00,1792.38,AVA
2009-01-01 22:00:00,1777.51,AVA
2009-01-01 23:00:00,1767.86,AVA
2009-01-02 00:00:00,1809.56,AVA
2009-01-02 01:00:00,1816.4,AVA
2009-01-02 02:00:00,1818.1,AVA
2009-01-02 03:00:00,1821.34,AVA
2009-01-02 04:00:00,1810.8,AVA
2009-01-02 05:00:00,1730.46,AVA
2009-01-02 06:00:00,1632.58,AVA
2009-01-02 07:00:00,1536.24,AVA
2009-01-02 08:00:00,1442.12,AVA
2009-01-02 09:00:00,1363.46,AVA
2009-01-02 10:00:00,1328.65,AVA
2009-01-02 11:00:00,1329.36,AVA
2009-01-02 12:00:00,1376.37,AVA
2009-01-02 13:00:00,1446.02,AVA
2009-01-02 14:00:00,1528.16,AVA
2009-01-02 15:00:00,1615.8,AVA
2009-01-02 16:00:00,1715.23,AVA
2009-01-02 17:00:00,1805.65,AVA
2009-01-02 18:00:00,1795.24,AVA
2009-01-02 19:00:00,1791.69,AVA
2009-01-02 20:00:00,1765.77,AVA
2009-01-02 21:00:00,1749.93,AVA
2009-01-02 22:00:00,1774.76,AVA
2009-01-02 23:00:00,1838.44,AVA
