Time_UTC,Load,BA
2009-01-01 00:00:00,2736.02,AZPS
2009-01-01 01:00:00,3018.89,AZPS
2009-01-01 02:00:00,3164.69,AZPS
2009-01-01 03:00:00,3253.76,AZPS
2009-01-01 04:00:00,3313.12,AZPS
2009-01-01 05:00:00,3179.14,AZPS
2009-01-01 06:00:00,3030.39,AZPS
2009-01-01 07:00:00,2876.28,AZPS
2009-01-01 08:00:00,2729.65,AZPS
2009-01-01 09:00:00,2664.08,AZPS
2009-01-01 10:00:00,2689.32,AZPS
2009-01-01 11:00:00,2760.16,AZPS
2009-01-01 12:00:00,2896.77,AZPS
2009-01-01 13:00:00,3037.28,AZPS
2009-01-01 14:00:00,3165.46,AZPS
2009-01-01 15:00:00,3345.57,AZPS
2009-01-01 16:00:00,3387.73,AZPS
2009-01-01 17:00:00,3131.74,AZPS
2009-01-01 18:00:00,2864.69,AZPS
2009-01-01 19:00:00,2661.16,AZPS
2009-01-01 20:00:00,2554.87,AZPS
2009-01-01 21:00:00,2528.05,AZPS
2009-01-01 22:00:00,2525.04,AZPS
2009-01-01 23:00:00,2510.64,AZPS
2009-01-02 00:00:00,2848.69,AZPS
2009-01-02 01:00:00,3105.75,AZPS
2009-01-02 02:00:00,3238.78,AZPS
2009-01-02 03:00:00,3364.25,AZPS
2009-01-02 04:00:00,3350.91,AZPS
2009-01-02 05:00:00,3185.26,AZPS
2009-01-02 06:00:00,2992.25,AZPS
2009-01-02 07:00:00,2798.17,AZPS
2009-01-02 08:00:00,2667.64,AZPS
2009-01-02 09:00:00,2621.49,AZPS
2009-01-02 10:00:00,2694.43,AZPS
2009-01-02 11:00:00,2843.54,AZPS
2009-01-02 12:00:00,2994.6,AZPS
2009-01-02 13:00:00,3155.55,AZPS
2009-01-02 14:00:00,3317.59,AZPS
2009-01-02 15:00:00,3551.29,AZPS
2009-01-02 16:00:00,3453.61,AZPS
2009-01-02 17:00:00,3190.14,AZPS
2009-01-02 18:00:00,2930.68,AZPS
2009-01-02 19:00:00,2754.99,AZPS
2009-01-02 20:00:00,2634.9,AZPS
2009-01-02 21:00:00,2575.55,AZPS
2009-01-02 22:00:00,2576.49,AZPS
2009-01-02 23:00:00,2646.84,AZPS
2009-01-03 00:00:00,2829.74,AZPS
2009-01-03 01:00:00,3064.54,AZPS
2009-01-03 02:00:00,3182.71,AZPS
2009-01-03 03:00:00,3284.74,AZPS
2009-01-03 04:00:00,3277.87,AZPS
2009-01-03 05:00:00,3148.63,AZPS
2009-01-03 06:00:00,3005.05,AZPS
2009-01-03 07:00:00,2868.35,AZPS
2009-01-03 08:00:00,2793.17,AZPS
2009-01-03 09:00:00,2742.3,AZPS
