Time_UTC,Load,BA
2009-01-01 00:00:00,1771.48,BANC
2009-01-01 01:00:00,1965.66,BANC
2009-01-01 02:00:00,2029.58,BANC
2009-01-01 03:00:00,2129.18,BANC
2009-01-01 04:00:00,2136.17,BANC
2009-01-01 05:00:00,2031.39,BANC
2009-01-01 06:00:00,1960.7,BANC
2009-01-01 07:00:00,1862.01,BANC
2009-01-01 08:00:00,1769.56,BANC
2009-01-01 09:00:00,1681.87,BANC
2009-01-01 10:00:00,1609.23,BANC
2009-01-01 11:00:00,1593.02,BANC
2009-01-01 12:00:00,1629.2,BANC
2009-01-01 13:00:00,1670.23,BANC
2009-01-01 14:00:00,1724.62,BANC
2009-01-01 15:00:00,1791.08,BANC
2009-01-01 16:00:00,1911.38,BANC
2009-01-01 17:00:00,1950.44,BANC
2009-01-01 18:00:00,1924.93,BANC
2009-01-01 19:00:00,1908.67,BANC
2009-01-01 20:00:00,1886.29,BANC
2009-01-01 21:00:00,1880.67,BANC
2009-01-01 22:00:00,1869.77,BANC
2009-01-01 23:00:00,1885.28,BANC
2009-01-02 00:00:00,1944.58,BANC
2009-01-02 01:00:00,2148.36,BANC
2009-01-02 02:00:00,2191.55,BANC
2009-01-02 03:00:00,2226.42,BANC
2009-01-02 04:00:00,2261.01,BANC
2009-01-02 05:00:00,2173.63,BANC
2009-01-02 06:00:00,2048.13,BANC
2009-01-02 07:00:00,1914.0,BANC
2009-01-02 08:00:00,1785.0,BANC
2009-01-02 09:00:00,1695.73,BANC
2009-01-02 10:00:00,1653.01,BANC
2009-01-02 11:00:00,1669.03,BANC
2009-01-02 12:00:00,1705.01,BANC
2009-01-02 13:00:00,1773.11,BANC
2009-01-02 14:00:00,1845.06,BANC
2009-01-02 15:00:00,1911.85,BANC
2009-01-02 16:00:00,2013.38,BANC
2009-01-02 17:00:00,2077.42,BANC
2009-01-02 18:00:00,2070.96,BANC
2009-01-02 19:00:00,2089.18,BANC
2009-01-02 20:00:00,2122.1,BANC
2009-01-02 21:00:00,2127.72,BANC
2009-01-02 22:00:00,2108.77,BANC
2009-01-02 23:00:00,2076.18,BANC
2009-01-03 00:00:00,1904.02,BANC
2009-01-03 01:00:00,2031.7,BANC
2009-01-03 02:00:00,2069.11,BANC
2009-01-03 03:00:00,2110.51,BANC
2009-01-03 04:00:00,2153.19,BANC
2009-01-03 05:00:00,2085.67,BANC
2009-01-03 06:00:00,1977.33,BANC
2009-01-03 07:00:00,1865.99,BANC
2009-01-03 08:00:00,1775.59,BANC
2009-01-03 09:00:00,1694.74,BANC
2009-01-03 10:00:00,1635.9,BANC
2009-01-03 11:00:00,1623.99,BANC
2009-01-03 12:00:00,1649.57,BANC
2009-01-03 13:00:00,1691.23,BANC
2009-01-03 14:00:00,1741.75,BANC
2009-01-03 15:00:00,1785.52,BANC
2009-01-03 16:00:00,1836.15,BANC
2009-01-03 17:00:00,1861.18,BANC
2009-01-03 18:00:00,1824.17,BANC
2009-01-03 19:00:00,1774.77,BANC
2009-01-03 20:00:00,1738.28,BANC
2009-01-03 21:00:00,1697.72,BANC
2009-01-03 22:00:00,1661.88,BANC
2009-01-03 23:00:00,1648.58,BANC
2009-01-04 00:00:00,1760.22,BANC
2009-01-04 01:00:00,1905.73,BANC
2009-01-04 02:00:00,2008.97,BANC
2009-01-04 03:00:00,2103.32,BANC
2009-01-04 04:00:00,2164.5,BANC
2009-01-04 05:00:00,2120.65,BANC
2009-01-04 06:00:00,2041.72,BANC
2009-01-04 07:00:00,1963.94,BANC
2009-01-04 08:00:00,1887.0,BANC
2009-01-04 09:00:00,1817.47,BANC
2009-01-04 10:00:00,1760.7,BANC
2009-01-04 11:00:00,1752.53,BANC
2009-01-04 12:00:00,1761.36,BANC
2009-01-04 13:00:00,1784.87,BANC
2009-01-04 14:00:00,1830.34,BANC
2009-01-04 15:00:00,1881.44,BANC
2009-01-04 16:00:00,1943.44,BANC
2009-01-04 17:00:00,1963.34,BANC
2009-01-04 18:00:00,1943.09,BANC
2009-01-04 19:00:00,1903.35,BANC
2009-01-04 20:00:00,1861.98,BANC
2009-01-04 21:00:00,1817.97,BANC
2009-01-04 22:00:00,1787.26,BANC
2009-01-04 23:00:00,1793.76,BANC
2009-01-05 00:00:00,2034.88,BANC
2009-01-05 01:00:00,2193.52,BANC
2009-01-05 02:00:00,2264.62,BANC
2009-01-05 03:00:00,2331.29,BANC
2009-01-05 04:00:00,2349.41,BANC
2009-01-05 05:00:00,2252.73,BANC
2009-01-05 06:00:00,2126.27,BANC
2009-01-05 07:00:00,1992.17,BANC
2009-01-05 08:00:00,1882.92,BANC
2009-01-05 09:00:00,1810.52,BANC
2009-01-05 10:00:00,1763.05,BANC
2009-01-05 11:00:00,1739.83,BANC
2009-01-05 12:00:00,1756.39,BANC
2009-01-05 13:00:00,1866.74,BANC
2009-01-05 14:00:00,1938.05,BANC
2009-01-05 15:00:00,1974.99,BANC
2009-01-05 16:00:00,2043.72,BANC
2009-01-05 17:00:00,2126.76,BANC
2009-01-05 18:00:00,2180.33,BANC
2009-01-05 19:00:00,2218.79,BANC
2009-01-05 20:00:00,2248.48,BANC
2009-01-05 21:00:00,2259.49,BANC
2009-01-05 22:00:00,2265.61,BANC
2009-01-05 23:00:00,2271.15,BANC
