Time_UTC,Load,BA
2009-01-01 00:00:00,7570.03,BPAT
2009-01-01 01:00:00,7807.42,BPAT
2009-01-01 02:00:00,8015.11,BPAT
2009-01-01 03:00:00,8211.24,BPAT
2009-01-01 04:00:00,8146.59,BPAT
2009-01-01 05:00:00,7864.31,BPAT
2009-01-01 06:00:00,7554.2,BPAT
2009-01-01 07:00:00,7233.11,BPAT
2009-01-01 08:00:00,6934.6,BPAT
2009-01-01 09:00:00,6719.97,BPAT
2009-01-01 10:00:00,6622.41,BPAT
2009-01-01 11:00:00,6632.9,BPAT
2009-01-01 12:00:00,6769.65,BPAT
2009-01-01 13:00:00,6990.83,BPAT
2009-01-01 14:00:00,7240.8,BPAT
2009-01-01 15:00:00,7486.35,BPAT
2009-01-01 16:00:00,7749.81,BPAT
2009-01-01 17:00:00,7990.13,BPAT
2009-01-01 18:00:00,8019.36,BPAT
2009-01-01 19:00:00,7983.84,BPAT
2009-01-01 20:00:00,7907.65,BPAT
2009-01-01 21:00:00,7815.92,BPAT
2009-01-01 22:00:00,7714.72,BPAT
2009-01-01 23:00:00,7641.08,BPAT
2009-01-02 00:00:00,7802.83,BPAT
2009-01-02 01:00:00,7940.16,BPAT
2009-01-02 02:00:00,8029.78,BPAT
2009-01-02 03:00:00,8108.54,BPAT
2009-01-02 04:00:00,7970.54,BPAT
2009-01-02 05:00:00,7713.08,BPAT
2009-01-02 06:00:00,7439.82,BPAT
2009-01-02 07:00:00,7012.53,BPAT
2009-01-02 08:00:00,6625.89,BPAT
2009-01-02 09:00:00,6394.6,BPAT
2009-01-02 10:00:00,6333.86,BPAT
2009-01-02 11:00:00,6467.77,BPAT
2009-01-02 12:00:00,6712.89,BPAT
2009-01-02 13:00:00,7076.2,BPAT
2009-01-02 14:00:00,7527.46,BPAT
2009-01-02 15:00:00,7972.15,BPAT
2009-01-02 16:00:00,8450.97,BPAT
2009-01-02 17:00:00,8778.75,BPAT
2009-01-02 18:00:00,8581.92,BPAT
2009-01-02 19:00:00,8450.39,BPAT
2009-01-02 20:00:00,8221.13,BPAT
2009-01-02 21:00:00,8071.71,BPAT
2009-01-02 22:00:00,8018.08,BPAT
2009-01-02 23:00:00,8144.67,BPAT
2009-01-03 00:00:00,7712.77,BPAT
2009-01-03 01:00:00,8074.34,BPAT
2009-01-03 02:00:00,8464.74,BPAT
2009-01-03 03:00:00,8640.05,BPAT
2009-01-03 04:00:00,8674.56,BPAT
2009-01-03 05:00:00,8518.38,BPAT
2009-01-03 06:00:00,8274.3,BPAT
2009-01-03 07:00:00,8016.97,BPAT
2009-01-03 08:00:00,7782.5,BPAT
2009-01-03 09:00:00,7631.94,BPAT
2009-01-03 10:00:00,7641.17,BPAT
2009-01-03 11:00:00,7767.25,BPAT
2009-01-03 12:00:00,7954.74,BPAT
2009-01-03 13:00:00,8165.93,BPAT
2009-01-03 14:00:00,8382.18,BPAT
2009-01-03 15:00:00,8615.45,BPAT
2009-01-03 16:00:00,8808.51,BPAT
2009-01-03 17:00:00,9203.75,BPAT
2009-01-03 18:00:00,9123.76,BPAT
2009-01-03 19:00:00,8767.66,BPAT
2009-01-03 20:00:00,8498.7,BPAT
2009-01-03 21:00:00,8324.77,BPAT
2009-01-03 22:00:00,8204.68,BPAT
2009-01-03 23:00:00,8004.45,BPAT
2009-01-04 00:00:00,7709.81,BPAT
2009-01-04 01:00:00,8127.59,BPAT
2009-01-04 02:00:00,8567.4,BPAT
2009-01-04 03:00:00,8670.82,BPAT
2009-01-04 04:00:00,8726.35,BPAT
2009-01-04 05:00:00,8526.48,BPAT
2009-01-04 06:00:00,8199.46,BPAT
2009-01-04 07:00:00,7934.47,BPAT
2009-01-04 08:00:00,7701.23,BPAT
2009-01-04 09:00:00,7499.34,BPAT
2009-01-04 10:00:00,7503.47,BPAT
2009-01-04 11:00:00,7650.66,BPAT
2009-01-04 12:00:00,7863.19,BPAT
2009-01-04 13:00:00,8096.01,BPAT
2009-01-04 14:00:00,8388.58,BPAT
2009-01-04 15:00:00,8663.63,BPAT
2009-01-04 16:00:00,9003.62,BPAT
2009-01-04 17:00:00,9448.98,BPAT
2009-01-04 18:00:00,9288.04,BPAT
2009-01-04 19:00:00,8851.19,BPAT
2009-01-04 20:00:00,8644.84,BPAT
2009-01-04 21:00:00,8573.03,BPAT
2009-01-04 22:00:00,8517.13,BPAT
2009-01-04 23:00:00,8358.84,BPAT
2009-01-05 00:00:00,8741.14,BPAT
2009-01-05 01:00:00,9046.08,BPAT
2009-01-05 02:00:00,9328.57,BPAT
2009-01-05 03:00:00,9468.35,BPAT
2009-01-05 04:00:00,9333.43,BPAT
2009-01-05 05:00:00,8960.78,BPAT
2009-01-05 06:00:00,8556.33,BPAT
2009-01-05 07:00:00,8148.29,BPAT
