Time_UTC,Load,BA
2009-01-01 00:00:00,316.35,CHPD
2009-01-01 01:00:00,322.95,CHPD
2009-01-01 02:00:00,321.78,CHPD
2009-01-01 03:00:00,318.65,CHPD
2009-01-01 04:00:00,312.85,CHPD
2009-01-01 05:00:00,307.62,CHPD
2009-01-01 06:00:00,305.04,CHPD
2009-01-01 07:00:00,300.42,CHPD
2009-01-01 08:00:00,295.82,CHPD
2009-01-01 09:00:00,292.56,CHPD
2009-01-01 10:00:00,294.63,CHPD
2009-01-01 11:00:00,301.32,CHPD
2009-01-01 12:00:00,309.02,CHPD
2009-01-01 13:00:00,317.61,CHPD
2009-01-01 14:00:00,325.34,CHPD
2009-01-01 15:00:00,334.48,CHPD
2009-01-01 16:00:00,339.29,CHPD
2009-01-01 17:00:00,343.14,CHPD
2009-01-01 18:00:00,340.53,CHPD
2009-01-01 19:00:00,332.3,CHPD
2009-01-01 20:00:00,319.91,CHPD
2009-01-01 21:00:00,309.43,CHPD
2009-01-01 22:00:00,309.64,CHPD
2009-01-01 23:00:00,310.0,CHPD
2009-01-02 00:00:00,326.74,CHPD
2009-01-02 01:00:00,322.14,CHPD
2009-01-02 02:00:00,310.88,CHPD
2009-01-02 03:00:00,293.17,CHPD
2009-01-02 04:00:00,279.18,CHPD
2009-01-02 05:00:00,279.06,CHPD
2009-01-02 06:00:00,279.69,CHPD
2009-01-02 07:00:00,268.76,CHPD
2009-01-02 08:00:00,268.04,CHPD
2009-01-02 09:00:00,270.11,CHPD
2009-01-02 10:00:00,280.54,CHPD
2009-01-02 11:00:00,297.47,CHPD
2009-01-02 12:00:00,310.2,CHPD
2009-01-02 13:00:00,326.52,CHPD
2009-01-02 14:00:00,347.51,CHPD
2009-01-02 15:00:00,358.66,CHPD
2009-01-02 16:00:00,373.0,CHPD
2009-01-02 17:00:00,374.96,CHPD
2009-01-02 18:00:00,370.11,CHPD
2009-01-02 19:00:00,367.99,CHPD
2009-01-02 20:00:00,367.5,CHPD
2009-01-02 21:00:00,366.73,CHPD
2009-01-02 22:00:00,370.8,CHPD
2009-01-02 23:00:00,379.09,CHPD
2009-01-03 00:00:00,354.36,CHPD
2009-01-03 01:00:00,361.02,CHPD
2009-01-03 02:00:00,374.17,CHPD
2009-01-03 03:00:00,379.29,CHPD
2009-01-03 04:00:00,382.21,CHPD
2009-01-03 05:00:00,384.43,CHPD
2009-01-03 06:00:00,386.89,CHPD
2009-01-03 07:00:00,387.2,CHPD
2009-01-03 08:00:00,390.98,CHPD
2009-01-03 09:00:00,394.27,CHPD
2009-01-03 10:00:00,393.07,CHPD
2009-01-03 11:00:00,388.66,CHPD
2009-01-03 12:00:00,387.17,CHPD
2009-01-03 13:00:00,385.32,CHPD
2009-01-03 14:00:00,380.69,CHPD
2009-01-03 15:00:00,376.4,CHPD
2009-01-03 16:00:00,373.29,CHPD
2009-01-03 17:00:00,370.12,CHPD
2009-01-03 18:00:00,352.33,CHPD
2009-01-03 19:00:00,340.82,CHPD
2009-01-03 20:00:00,334.27,CHPD
2009-01-03 21:00:00,329.07,CHPD
2009-01-03 22:00:00,325.94,CHPD
2009-01-03 23:00:00,325.74,CHPD
2009-01-04 00:00:00,320.51,CHPD
2009-01-04 01:00:00,334.61,CHPD
2009-01-04 02:00:00,345.11,CHPD
2009-01-04 03:00:00,347.35,CHPD
2009-01-04 04:00:00,346.39,CHPD
