Time_UTC,Load,BA
2009-01-01 00:00:00,23067.7,CISO
2009-01-01 01:00:00,24783.79,CISO
2009-01-01 02:00:00,25773.11,CISO
2009-01-01 03:00:00,26818.43,CISO
2009-01-01 04:00:00,27779.24,CISO
2009-01-01 05:00:00,26717.76,CISO
2009-01-01 06:00:00,25436.0,CISO
2009-01-01 07:00:00,24199.64,CISO
2009-01-01 08:00:00,22995.8,CISO
2009-01-01 09:00:00,21875.93,CISO
2009-01-01 10:00:00,21162.65,CISO
2009-01-01 11:00:00,20880.63,CISO
2009-01-01 12:00:00,21048.44,CISO
2009-01-01 13:00:00,21481.65,CISO
2009-01-01 14:00:00,22022.14,CISO
2009-01-01 15:00:00,22595.77,CISO
2009-01-01 16:00:00,24006.3,CISO
2009-01-01 17:00:00,23716.03,CISO
2009-01-01 18:00:00,23541.93,CISO
2009-01-01 19:00:00,23424.73,CISO
2009-01-01 20:00:00,23416.33,CISO
2009-01-01 21:00:00,23629.67,CISO
2009-01-01 22:00:00,23847.6,CISO
2009-01-01 23:00:00,24207.83,CISO
2009-01-02 00:00:00,25399.55,CISO
2009-01-02 01:00:00,27452.23,CISO
2009-01-02 02:00:00,28157.21,CISO
2009-01-02 03:00:00,28849.54,CISO
2009-01-02 04:00:00,29615.97,CISO
2009-01-02 05:00:00,28759.86,CISO
2009-01-02 06:00:00,27098.92,CISO
2009-01-02 07:00:00,25438.51,CISO
2009-01-02 08:00:00,23797.55,CISO
2009-01-02 09:00:00,22481.2,CISO
2009-01-02 10:00:00,21484.71,CISO
2009-01-02 11:00:00,21356.15,CISO
2009-01-02 12:00:00,21730.29,CISO
2009-01-02 13:00:00,22180.44,CISO
2009-01-02 14:00:00,22699.5,CISO
2009-01-02 15:00:00,23309.13,CISO
2009-01-02 16:00:00,25975.59,CISO
2009-01-02 17:00:00,26581.37,CISO
2009-01-02 18:00:00,26578.52,CISO
2009-01-02 19:00:00,26447.74,CISO
2009-01-02 20:00:00,26367.08,CISO
2009-01-02 21:00:00,26294.56,CISO
2009-01-02 22:00:00,26237.14,CISO
2009-01-02 23:00:00,26166.34,CISO
2009-01-03 00:00:00,23849.33,CISO
2009-01-03 01:00:00,25880.19,CISO
2009-01-03 02:00:00,26687.56,CISO
2009-01-03 03:00:00,27521.01,CISO
2009-01-03 04:00:00,28249.58,CISO
2009-01-03 05:00:00,28090.57,CISO
2009-01-03 06:00:00,26639.8,CISO
2009-01-03 07:00:00,25190.51,CISO
2009-01-03 08:00:00,23837.89,CISO
2009-01-03 09:00:00,22792.12,CISO
2009-01-03 10:00:00,21896.72,CISO
2009-01-03 11:00:00,21511.23,CISO
2009-01-03 12:00:00,21295.61,CISO
2009-01-03 13:00:00,21368.17,CISO
2009-01-03 14:00:00,21629.7,CISO
2009-01-03 15:00:00,21977.07,CISO
2009-01-03 16:00:00,22985.21,CISO
2009-01-03 17:00:00,23106.42,CISO
2009-01-03 18:00:00,22982.4,CISO
2009-01-03 19:00:00,22792.29,CISO
2009-01-03 20:00:00,22627.04,CISO
2009-01-03 21:00:00,22460.42,CISO
2009-01-03 22:00:00,22268.97,CISO
2009-01-03 23:00:00,22277.0,CISO
2009-01-04 00:00:00,24028.9,CISO
2009-01-04 01:00:00,26520.16,CISO
2009-01-04 02:00:00,27297.66,CISO
2009-01-04 03:00:00,28107.49,CISO
2009-01-04 04:00:00,28888.06,CISO
2009-01-04 05:00:00,28657.48,CISO
2009-01-04 06:00:00,27158.97,CISO
2009-01-04 07:00:00,25723.65,CISO
2009-01-04 08:00:00,24520.96,CISO
2009-01-04 09:00:00,23479.99,CISO
2009-01-04 10:00:00,22569.49,CISO
2009-01-04 11:00:00,22203.75,CISO
2009-01-04 12:00:00,22155.69,CISO
2009-01-04 13:00:00,22323.34,CISO
2009-01-04 14:00:00,22528.12,CISO
2009-01-04 15:00:00,22788.78,CISO
2009-01-04 16:00:00,23436.73,CISO
2009-01-04 17:00:00,23094.37,CISO
2009-01-04 18:00:00,22740.28,CISO
2009-01-04 19:00:00,22386.05,CISO
2009-01-04 20:00:00,22204.79,CISO
2009-01-04 21:00:00,22152.58,CISO
2009-01-04 22:00:00,22187.64,CISO
2009-01-04 23:00:00,22253.86,CISO
2009-01-05 00:00:00,25285.11,CISO
2009-01-05 01:00:00,27900.09,CISO
2009-01-05 02:00:00,29100.95,CISO
2009-01-05 03:00:00,30097.05,CISO
2009-01-05 04:00:00,30924.97,CISO
2009-01-05 05:00:00,30169.01,CISO
2009-01-05 06:00:00,28575.56,CISO
2009-01-05 07:00:00,26928.7,CISO
2009-01-05 08:00:00,25441.96,CISO
2009-01-05 09:00:00,24107.64,CISO
2009-01-05 10:00:00,23011.44,CISO
2009-01-05 11:00:00,22832.37,CISO
2009-01-05 12:00:00,23114.29,CISO
2009-01-05 13:00:00,23486.1,CISO
2009-01-05 14:00:00,23852.66,CISO
2009-01-05 15:00:00,24363.91,CISO
2009-01-05 16:00:00,26865.29,CISO
2009-01-05 17:00:00,27867.52,CISO
2009-01-05 18:00:00,27801.69,CISO
2009-01-05 19:00:00,27667.59,CISO
2009-01-05 20:00:00,27600.22,CISO
2009-01-05 21:00:00,27590.15,CISO
2009-01-05 22:00:00,27529.38,CISO
2009-01-05 23:00:00,27468.64,CISO
2009-01-06 00:00:00,26893.67,CISO
2009-01-06 01:00:00,28521.97,CISO
2009-01-06 02:00:00,29566.81,CISO
2009-01-06 03:00:00,30519.6,CISO
2009-01-06 04:00:00,31225.82,CISO
2009-01-06 05:00:00,29753.95,CISO
2009-01-06 06:00:00,28102.9,CISO
2009-01-06 07:00:00,26443.83,CISO
2009-01-06 08:00:00,25108.06,CISO
2009-01-06 09:00:00,23863.19,CISO
2009-01-06 10:00:00,22999.34,CISO
2009-01-06 11:00:00,22785.59,CISO
2009-01-06 12:00:00,23002.64,CISO
2009-01-06 13:00:00,23380.81,CISO
2009-01-06 14:00:00,23840.43,CISO
2009-01-06 15:00:00,24308.73,CISO
2009-01-06 16:00:00,27389.94,CISO
2009-01-06 17:00:00,27472.25,CISO
2009-01-06 18:00:00,26933.13,CISO
2009-01-06 19:00:00,26495.82,CISO
2009-01-06 20:00:00,26213.78,CISO
2009-01-06 21:00:00,26100.18,CISO
2009-01-06 22:00:00,26179.01,CISO
2009-01-06 23:00:00,26417.3,CISO
2009-01-07 00:00:00,25613.13,CISO
2009-01-07 01:00:00,27692.24,CISO
2009-01-07 02:00:00,28471.17,CISO
2009-01-07 03:00:00,29202.06,CISO
2009-01-07 04:00:00,29879.53,CISO
2009-01-07 05:00:00,28976.99,CISO
2009-01-07 06:00:00,27276.66,CISO
2009-01-07 07:00:00,25602.43,CISO
2009-01-07 08:00:00,23960.11,CISO
2009-01-07 09:00:00,22627.94,CISO
2009-01-07 10:00:00,21692.9,CISO
