Time_UTC,Load,BA
2009-01-01 00:00:00,8358.11,CPLE
2009-01-01 01:00:00,8413.62,CPLE
2009-01-01 02:00:00,8421.98,CPLE
2009-01-01 03:00:00,8497.62,CPLE
2009-01-01 04:00:00,8483.47,CPLE
2009-01-01 05:00:00,8403.54,CPLE
2009-01-01 06:00:00,8318.89,CPLE
2009-01-01 07:00:00,8361.01,CPLE
2009-01-01 08:00:00,8403.02,CPLE
2009-01-01 09:00:00,8586.92,CPLE
2009-01-01 10:00:00,8841.03,CPLE
2009-01-01 11:00:00,9168.85,CPLE
2009-01-01 12:00:00,9523.73,CPLE
2009-01-01 13:00:00,9763.85,CPLE
2009-01-01 14:00:00,9410.36,CPLE
2009-01-01 15:00:00,8883.66,CPLE
2009-01-01 16:00:00,8437.58,CPLE
2009-01-01 17:00:00,8197.93,CPLE
2009-01-01 18:00:00,7959.72,CPLE
2009-01-01 19:00:00,7788.2,CPLE
2009-01-01 20:00:00,7561.54,CPLE
2009-01-01 21:00:00,7451.9,CPLE
2009-01-01 22:00:00,8105.67,CPLE
2009-01-01 23:00:00,8418.59,CPLE
2009-01-02 00:00:00,10138.76,CPLE
2009-01-02 01:00:00,9978.32,CPLE
2009-01-02 02:00:00,9701.22,CPLE
2009-01-02 03:00:00,9371.85,CPLE
2009-01-02 04:00:00,9052.05,CPLE
2009-01-02 05:00:00,8739.8,CPLE
2009-01-02 06:00:00,8467.83,CPLE
2009-01-02 07:00:00,8483.34,CPLE
2009-01-02 08:00:00,8691.43,CPLE
2009-01-02 09:00:00,8949.83,CPLE
2009-01-02 10:00:00,9180.23,CPLE
2009-01-02 11:00:00,9341.75,CPLE
2009-01-02 12:00:00,9520.71,CPLE
2009-01-02 13:00:00,9695.05,CPLE
2009-01-02 14:00:00,9212.34,CPLE
2009-01-02 15:00:00,8211.77,CPLE
2009-01-02 16:00:00,7531.45,CPLE
2009-01-02 17:00:00,7261.79,CPLE
2009-01-02 18:00:00,7175.18,CPLE
2009-01-02 19:00:00,7178.1,CPLE
2009-01-02 20:00:00,7224.48,CPLE
2009-01-02 21:00:00,7276.51,CPLE
