Time_UTC,Load,BA
2009-01-01 00:00:00,221.69,DOPD
2009-01-01 01:00:00,229.74,DOPD
2009-01-01 02:00:00,235.12,DOPD
2009-01-01 03:00:00,237.79,DOPD
2009-01-01 04:00:00,237.43,DOPD
2009-01-01 05:00:00,228.94,DOPD
2009-01-01 06:00:00,221.32,DOPD
2009-01-01 07:00:00,217.49,DOPD
2009-01-01 08:00:00,214.77,DOPD
2009-01-01 09:00:00,211.58,DOPD
2009-01-01 10:00:00,209.86,DOPD
2009-01-01 11:00:00,215.49,DOPD
2009-01-01 12:00:00,222.9,DOPD
2009-01-01 13:00:00,234.07,DOPD
2009-01-01 14:00:00,243.11,DOPD
2009-01-01 15:00:00,250.8,DOPD
2009-01-01 16:00:00,255.2,DOPD
2009-01-01 17:00:00,265.8,DOPD
2009-01-01 18:00:00,267.76,DOPD
2009-01-01 19:00:00,259.86,DOPD
2009-01-01 20:00:00,254.37,DOPD
2009-01-01 21:00:00,254.12,DOPD
2009-01-01 22:00:00,252.87,DOPD
2009-01-01 23:00:00,251.11,DOPD
2009-01-02 00:00:00,244.74,DOPD
2009-01-02 01:00:00,243.28,DOPD
2009-01-02 02:00:00,239.38,DOPD
2009-01-02 03:00:00,237.79,DOPD
2009-01-02 04:00:00,234.18,DOPD
2009-01-02 05:00:00,230.2,DOPD
2009-01-02 06:00:00,225.58,DOPD
2009-01-02 07:00:00,221.37,DOPD
2009-01-02 08:00:00,217.02,DOPD
2009-01-02 09:00:00,213.4,DOPD
2009-01-02 10:00:00,212.6,DOPD
2009-01-02 11:00:00,218.67,DOPD
2009-01-02 12:00:00,226.46,DOPD
2009-01-02 13:00:00,233.66,DOPD
2009-01-02 14:00:00,242.45,DOPD
2009-01-02 15:00:00,255.56,DOPD
2009-01-02 16:00:00,269.29,DOPD
2009-01-02 17:00:00,274.02,DOPD
2009-01-02 18:00:00,255.54,DOPD
2009-01-02 19:00:00,245.35,DOPD
2009-01-02 20:00:00,240.18,DOPD
2009-01-02 21:00:00,242.81,DOPD
2009-01-02 22:00:00,252.57,DOPD
2009-01-02 23:00:00,270.94,DOPD
2009-01-03 00:00:00,261.17,DOPD
2009-01-03 01:00:00,272.96,DOPD
2009-01-03 02:00:00,281.21,DOPD
2009-01-03 03:00:00,286.09,DOPD
2009-01-03 04:00:00,286.22,DOPD
2009-01-03 05:00:00,283.04,DOPD
2009-01-03 06:00:00,278.71,DOPD
2009-01-03 07:00:00,277.1,DOPD
2009-01-03 08:00:00,277.72,DOPD
2009-01-03 09:00:00,280.64,DOPD
2009-01-03 10:00:00,285.38,DOPD
2009-01-03 11:00:00,290.64,DOPD
2009-01-03 12:00:00,297.84,DOPD
2009-01-03 13:00:00,305.87,DOPD
2009-01-03 14:00:00,316.63,DOPD
2009-01-03 15:00:00,324.25,DOPD
2009-01-03 16:00:00,330.54,DOPD
2009-01-03 17:00:00,330.34,DOPD
2009-01-03 18:00:00,313.55,DOPD
2009-01-03 19:00:00,297.68,DOPD
2009-01-03 20:00:00,286.2,DOPD
2009-01-03 21:00:00,279.72,DOPD
2009-01-03 22:00:00,279.56,DOPD
2009-01-03 23:00:00,292.57,DOPD
2009-01-04 00:00:00,293.29,DOPD
2009-01-04 01:00:00,302.55,DOPD
2009-01-04 02:00:00,304.01,DOPD
2009-01-04 03:00:00,299.96,DOPD
2009-01-04 04:00:00,295.93,DOPD
2009-01-04 05:00:00,290.12,DOPD
2009-01-04 06:00:00,283.23,DOPD
2009-01-04 07:00:00,277.88,DOPD
2009-01-04 08:00:00,275.66,DOPD
2009-01-04 09:00:00,277.38,DOPD
2009-01-04 10:00:00,279.31,DOPD
2009-01-04 11:00:00,282.73,DOPD
2009-01-04 12:00:00,288.18,DOPD
2009-01-04 13:00:00,294.37,DOPD
2009-01-04 14:00:00,302.2,DOPD
2009-01-04 15:00:00,309.88,DOPD
2009-01-04 16:00:00,316.82,DOPD
2009-01-04 17:00:00,313.57,DOPD
2009-01-04 18:00:00,295.27,DOPD
2009-01-04 19:00:00,278.26,DOPD
2009-01-04 20:00:00,267.61,DOPD
2009-01-04 21:00:00,268.9,DOPD
2009-01-04 22:00:00,270.98,DOPD
2009-01-04 23:00:00,273.31,DOPD
2009-01-05 00:00:00,289.71,DOPD
2009-01-05 01:00:00,293.82,DOPD
2009-01-05 02:00:00,295.42,DOPD
2009-01-05 03:00:00,294.81,DOPD
2009-01-05 04:00:00,286.71,DOPD
2009-01-05 05:00:00,278.02,DOPD
2009-01-05 06:00:00,268.73,DOPD
2009-01-05 07:00:00,263.36,DOPD
2009-01-05 08:00:00,255.5,DOPD
2009-01-05 09:00:00,252.79,DOPD
2009-01-05 10:00:00,253.46,DOPD
2009-01-05 11:00:00,258.03,DOPD
2009-01-05 12:00:00,265.39,DOPD
2009-01-05 13:00:00,272.78,DOPD
2009-01-05 14:00:00,281.68,DOPD
