Time_UTC,Load,BA
2009-01-01 00:00:00,14723.42,DUK
2009-01-01 01:00:00,14930.53,DUK
2009-01-01 02:00:00,14813.61,DUK
2009-01-01 03:00:00,14381.44,DUK
2009-01-01 04:00:00,13989.84,DUK
2009-01-01 05:00:00,13618.49,DUK
2009-01-01 06:00:00,13438.54,DUK
2009-01-01 07:00:00,13370.76,DUK
2009-01-01 08:00:00,13623.98,DUK
2009-01-01 09:00:00,14118.24,DUK
2009-01-01 10:00:00,14694.17,DUK
2009-01-01 11:00:00,15206.72,DUK
2009-01-01 12:00:00,15629.41,DUK
2009-01-01 13:00:00,16169.75,DUK
2009-01-01 14:00:00,15705.96,DUK
2009-01-01 15:00:00,15067.73,DUK
2009-01-01 16:00:00,14316.16,DUK
2009-01-01 17:00:00,13787.52,DUK
2009-01-01 18:00:00,13405.17,DUK
2009-01-01 19:00:00,13164.33,DUK
2009-01-01 20:00:00,12942.67,DUK
2009-01-01 21:00:00,12883.11,DUK
2009-01-01 22:00:00,13762.42,DUK
2009-01-01 23:00:00,14267.11,DUK
2009-01-02 00:00:00,15702.6,DUK
2009-01-02 01:00:00,15987.38,DUK
2009-01-02 02:00:00,15882.1,DUK
2009-01-02 03:00:00,15313.5,DUK
2009-01-02 04:00:00,14684.28,DUK
2009-01-02 05:00:00,14110.05,DUK
2009-01-02 06:00:00,13672.47,DUK
2009-01-02 07:00:00,13500.81,DUK
2009-01-02 08:00:00,13628.48,DUK
2009-01-02 09:00:00,14041.19,DUK
2009-01-02 10:00:00,14425.09,DUK
2009-01-02 11:00:00,14795.75,DUK
2009-01-02 12:00:00,15084.29,DUK
2009-01-02 13:00:00,15638.99,DUK
2009-01-02 14:00:00,15626.95,DUK
2009-01-02 15:00:00,14797.56,DUK
2009-01-02 16:00:00,14129.52,DUK
2009-01-02 17:00:00,13801.48,DUK
2009-01-02 18:00:00,13710.35,DUK
2009-01-02 19:00:00,13548.84,DUK
2009-01-02 20:00:00,13105.43,DUK
2009-01-02 21:00:00,12745.65,DUK
2009-01-02 22:00:00,13039.79,DUK
2009-01-02 23:00:00,13354.42,DUK
2009-01-03 00:00:00,12719.06,DUK
2009-01-03 01:00:00,12785.88,DUK
2009-01-03 02:00:00,12642.81,DUK
2009-01-03 03:00:00,12154.42,DUK
2009-01-03 04:00:00,11676.74,DUK
2009-01-03 05:00:00,11270.69,DUK
2009-01-03 06:00:00,10873.03,DUK
2009-01-03 07:00:00,10771.28,DUK
2009-01-03 08:00:00,10668.02,DUK
2009-01-03 09:00:00,10615.27,DUK
2009-01-03 10:00:00,10891.76,DUK
2009-01-03 11:00:00,11173.82,DUK
2009-01-03 12:00:00,11498.9,DUK
