Time_UTC,Load,BA
2009-01-01 00:00:00,783.84,EPE
2009-01-01 01:00:00,843.37,EPE
2009-01-01 02:00:00,905.76,EPE
2009-01-01 03:00:00,913.59,EPE
2009-01-01 04:00:00,901.66,EPE
2009-01-01 05:00:00,875.32,EPE
2009-01-01 06:00:00,846.46,EPE
2009-01-01 07:00:00,816.44,EPE
2009-01-01 08:00:00,782.26,EPE
2009-01-01 09:00:00,759.34,EPE
2009-01-01 10:00:00,755.12,EPE
2009-01-01 11:00:00,771.24,EPE
2009-01-01 12:00:00,793.01,EPE
2009-01-01 13:00:00,813.29,EPE
2009-01-01 14:00:00,830.86,EPE
2009-01-01 15:00:00,873.69,EPE
2009-01-01 16:00:00,879.63,EPE
2009-01-01 17:00:00,885.6,EPE
2009-01-01 18:00:00,886.72,EPE
2009-01-01 19:00:00,886.81,EPE
2009-01-01 20:00:00,885.07,EPE
2009-01-01 21:00:00,884.16,EPE
2009-01-01 22:00:00,882.71,EPE
2009-01-01 23:00:00,878.82,EPE
2009-01-02 00:00:00,866.99,EPE
2009-01-02 01:00:00,909.47,EPE
2009-01-02 02:00:00,957.54,EPE
2009-01-02 03:00:00,977.15,EPE
2009-01-02 04:00:00,952.24,EPE
2009-01-02 05:00:00,914.58,EPE
2009-01-02 06:00:00,854.5,EPE
2009-01-02 07:00:00,796.23,EPE
2009-01-02 08:00:00,748.82,EPE
2009-01-02 09:00:00,736.54,EPE
2009-01-02 10:00:00,750.74,EPE
2009-01-02 11:00:00,774.12,EPE
2009-01-02 12:00:00,798.52,EPE
2009-01-02 13:00:00,825.24,EPE
2009-01-02 14:00:00,850.56,EPE
2009-01-02 15:00:00,927.94,EPE
2009-01-02 16:00:00,938.01,EPE
2009-01-02 17:00:00,931.6,EPE
2009-01-02 18:00:00,921.38,EPE
2009-01-02 19:00:00,916.44,EPE
2009-01-02 20:00:00,906.69,EPE
2009-01-02 21:00:00,894.33,EPE
2009-01-02 22:00:00,884.64,EPE
2009-01-02 23:00:00,886.51,EPE
2009-01-03 00:00:00,806.18,EPE
2009-01-03 01:00:00,858.66,EPE
2009-01-03 02:00:00,921.78,EPE
2009-01-03 03:00:00,925.53,EPE
2009-01-03 04:00:00,906.57,EPE
2009-01-03 05:00:00,873.97,EPE
2009-01-03 06:00:00,826.75,EPE
2009-01-03 07:00:00,785.66,EPE
2009-01-03 08:00:00,749.48,EPE
2009-01-03 09:00:00,722.1,EPE
2009-01-03 10:00:00,711.14,EPE
2009-01-03 11:00:00,716.43,EPE
2009-01-03 12:00:00,723.95,EPE
2009-01-03 13:00:00,731.28,EPE
2009-01-03 14:00:00,744.68,EPE
2009-01-03 15:00:00,770.32,EPE
2009-01-03 16:00:00,773.12,EPE
2009-01-03 17:00:00,778.12,EPE
2009-01-03 18:00:00,787.63,EPE
2009-01-03 19:00:00,785.75,EPE
2009-01-03 20:00:00,777.91,EPE
2009-01-03 21:00:00,771.89,EPE
2009-01-03 22:00:00,769.53,EPE
2009-01-03 23:00:00,763.27,EPE
2009-01-04 00:00:00,808.37,EPE
2009-01-04 01:00:00,865.58,EPE
2009-01-04 02:00:00,927.88,EPE
2009-01-04 03:00:00,938.34,EPE
2009-01-04 04:00:00,920.98,EPE
