Time_UTC,Load,BA
2009-01-01 00:00:00,35620.58,ERCO
2009-01-01 01:00:00,37255.59,ERCO
2009-01-01 02:00:00,38540.83,ERCO
2009-01-01 03:00:00,38347.89,ERCO
2009-01-01 04:00:00,37329.11,ERCO
2009-01-01 05:00:00,36257.9,ERCO
2009-01-01 06:00:00,35160.2,ERCO
2009-01-01 07:00:00,34208.3,ERCO
2009-01-01 08:00:00,33736.92,ERCO
2009-01-01 09:00:00,33771.5,ERCO
2009-01-01 10:00:00,34731.0,ERCO
2009-01-01 11:00:00,36157.91,ERCO
2009-01-01 12:00:00,37253.83,ERCO
2009-01-01 13:00:00,38003.63,ERCO
2009-01-01 14:00:00,38893.54,ERCO
2009-01-01 15:00:00,39694.17,ERCO
2009-01-01 16:00:00,39277.34,ERCO
2009-01-01 17:00:00,38533.72,ERCO
2009-01-01 18:00:00,37764.84,ERCO
2009-01-01 19:00:00,36797.53,ERCO
2009-01-01 20:00:00,35716.43,ERCO
2009-01-01 21:00:00,35221.41,ERCO
2009-01-01 22:00:00,35468.38,ERCO
2009-01-01 23:00:00,34661.14,ERCO
2009-01-02 00:00:00,38319.78,ERCO
2009-01-02 01:00:00,38290.02,ERCO
2009-01-02 02:00:00,37941.27,ERCO
2009-01-02 03:00:00,36654.47,ERCO
2009-01-02 04:00:00,34558.05,ERCO
2009-01-02 05:00:00,32770.39,ERCO
2009-01-02 06:00:00,30808.89,ERCO
2009-01-02 07:00:00,29101.03,ERCO
2009-01-02 08:00:00,28625.81,ERCO
2009-01-02 09:00:00,29522.98,ERCO
2009-01-02 10:00:00,30579.27,ERCO
2009-01-02 11:00:00,31857.63,ERCO
2009-01-02 12:00:00,33091.09,ERCO
2009-01-02 13:00:00,34359.63,ERCO
2009-01-02 14:00:00,35901.04,ERCO
2009-01-02 15:00:00,36545.59,ERCO
2009-01-02 16:00:00,35729.28,ERCO
2009-01-02 17:00:00,35512.72,ERCO
2009-01-02 18:00:00,35576.81,ERCO
2009-01-02 19:00:00,35350.49,ERCO
