Time_UTC,Load,BA
2009-01-01 00:00:00,2054.42,FMPP
2009-01-01 01:00:00,1972.5,FMPP
2009-01-01 02:00:00,1919.63,FMPP
2009-01-01 03:00:00,1859.41,FMPP
2009-01-01 04:00:00,1801.15,FMPP
2009-01-01 05:00:00,1742.21,FMPP
2009-01-01 06:00:00,1667.63,FMPP
2009-01-01 07:00:00,1587.16,FMPP
2009-01-01 08:00:00,1531.58,FMPP
2009-01-01 09:00:00,1529.1,FMPP
2009-01-01 10:00:00,1564.75,FMPP
2009-01-01 11:00:00,1609.0,FMPP
2009-01-01 12:00:00,1648.05,FMPP
2009-01-01 13:00:00,1767.94,FMPP
2009-01-01 14:00:00,1778.59,FMPP
2009-01-01 15:00:00,1846.16,FMPP
2009-01-01 16:00:00,1905.03,FMPP
2009-01-01 17:00:00,1938.88,FMPP
2009-01-01 18:00:00,1951.37,FMPP
2009-01-01 19:00:00,1935.59,FMPP
2009-01-01 20:00:00,1898.82,FMPP
2009-01-01 21:00:00,1867.35,FMPP
2009-01-01 22:00:00,1890.05,FMPP
2009-01-01 23:00:00,1934.56,FMPP
2009-01-02 00:00:00,2205.86,FMPP
2009-01-02 01:00:00,2096.34,FMPP
2009-01-02 02:00:00,1992.7,FMPP
2009-01-02 03:00:00,1889.48,FMPP
2009-01-02 04:00:00,1787.35,FMPP
2009-01-02 05:00:00,1674.16,FMPP
2009-01-02 06:00:00,1566.53,FMPP
2009-01-02 07:00:00,1463.55,FMPP
2009-01-02 08:00:00,1463.13,FMPP
2009-01-02 09:00:00,1529.62,FMPP
2009-01-02 10:00:00,1594.35,FMPP
2009-01-02 11:00:00,1651.34,FMPP
2009-01-02 12:00:00,1717.17,FMPP
2009-01-02 13:00:00,1845.4,FMPP
2009-01-02 14:00:00,1829.21,FMPP
2009-01-02 15:00:00,1810.84,FMPP
2009-01-02 16:00:00,1838.98,FMPP
2009-01-02 17:00:00,1858.66,FMPP
2009-01-02 18:00:00,1865.37,FMPP
2009-01-02 19:00:00,1859.84,FMPP
2009-01-02 20:00:00,1873.09,FMPP
2009-01-02 21:00:00,1907.07,FMPP
2009-01-02 22:00:00,1901.37,FMPP
