Time_UTC,Load,BA
2009-01-01 00:00:00,5639.25,FPC
2009-01-01 01:00:00,5764.11,FPC
2009-01-01 02:00:00,5711.38,FPC
2009-01-01 03:00:00,5454.06,FPC
2009-01-01 04:00:00,5211.11,FPC
2009-01-01 05:00:00,5092.37,FPC
2009-01-01 06:00:00,4913.08,FPC
2009-01-01 07:00:00,4631.7,FPC
2009-01-01 08:00:00,4396.69,FPC
2009-01-01 09:00:00,4337.24,FPC
2009-01-01 10:00:00,4425.28,FPC
2009-01-01 11:00:00,4567.25,FPC
2009-01-01 12:00:00,4759.36,FPC
2009-01-01 13:00:00,5205.49,FPC
2009-01-01 14:00:00,5530.86,FPC
2009-01-01 15:00:00,5781.94,FPC
2009-01-01 16:00:00,5842.83,FPC
2009-01-01 17:00:00,5831.68,FPC
2009-01-01 18:00:00,5696.3,FPC
2009-01-01 19:00:00,5589.84,FPC
2009-01-01 20:00:00,5504.42,FPC
2009-01-01 21:00:00,5449.14,FPC
2009-01-01 22:00:00,5316.36,FPC
2009-01-01 23:00:00,5345.73,FPC
2009-01-02 00:00:00,6354.44,FPC
2009-01-02 01:00:00,6282.13,FPC
2009-01-02 02:00:00,6121.26,FPC
2009-01-02 03:00:00,5686.81,FPC
2009-01-02 04:00:00,5269.43,FPC
2009-01-02 05:00:00,4865.85,FPC
2009-01-02 06:00:00,4506.61,FPC
2009-01-02 07:00:00,4291.34,FPC
2009-01-02 08:00:00,4463.28,FPC
2009-01-02 09:00:00,4761.25,FPC
2009-01-02 10:00:00,5029.54,FPC
2009-01-02 11:00:00,5317.82,FPC
2009-01-02 12:00:00,5614.32,FPC
2009-01-02 13:00:00,5801.48,FPC
2009-01-02 14:00:00,5790.56,FPC
2009-01-02 15:00:00,5518.34,FPC
2009-01-02 16:00:00,5487.99,FPC
2009-01-02 17:00:00,5489.79,FPC
2009-01-02 18:00:00,5451.46,FPC
2009-01-02 19:00:00,5431.82,FPC
2009-01-02 20:00:00,5460.55,FPC
2009-01-02 21:00:00,5561.07,FPC
2009-01-02 22:00:00,5652.17,FPC
2009-01-02 23:00:00,5508.2,FPC
2009-01-03 00:00:00,5737.43,FPC
2009-01-03 01:00:00,5686.77,FPC
2009-01-03 02:00:00,5511.94,FPC
2009-01-03 03:00:00,5208.01,FPC
2009-01-03 04:00:00,4857.39,FPC
2009-01-03 05:00:00,4500.95,FPC
2009-01-03 06:00:00,4242.66,FPC
2009-01-03 07:00:00,4067.83,FPC
2009-01-03 08:00:00,3991.08,FPC
2009-01-03 09:00:00,4069.25,FPC
2009-01-03 10:00:00,4242.24,FPC
2009-01-03 11:00:00,4439.56,FPC
2009-01-03 12:00:00,4619.6,FPC
2009-01-03 13:00:00,4834.52,FPC
2009-01-03 14:00:00,4939.68,FPC
2009-01-03 15:00:00,4798.65,FPC
2009-01-03 16:00:00,4912.55,FPC
2009-01-03 17:00:00,5040.78,FPC
2009-01-03 18:00:00,5256.44,FPC
2009-01-03 19:00:00,5426.75,FPC
2009-01-03 20:00:00,5507.4,FPC
2009-01-03 21:00:00,5511.17,FPC
2009-01-03 22:00:00,5278.97,FPC
2009-01-03 23:00:00,5058.74,FPC
2009-01-04 00:00:00,5737.74,FPC
2009-01-04 01:00:00,5647.16,FPC
2009-01-04 02:00:00,5488.57,FPC
2009-01-04 03:00:00,5124.18,FPC
2009-01-04 04:00:00,4714.3,FPC
2009-01-04 05:00:00,4319.52,FPC
2009-01-04 06:00:00,3972.4,FPC
2009-01-04 07:00:00,3689.79,FPC
2009-01-04 08:00:00,3523.58,FPC
2009-01-04 09:00:00,3542.93,FPC
2009-01-04 10:00:00,3619.22,FPC
2009-01-04 11:00:00,3786.23,FPC
2009-01-04 12:00:00,3991.58,FPC
2009-01-04 13:00:00,4256.12,FPC
2009-01-04 14:00:00,4563.49,FPC
2009-01-04 15:00:00,4799.73,FPC
2009-01-04 16:00:00,4997.44,FPC
2009-01-04 17:00:00,5156.01,FPC
2009-01-04 18:00:00,5417.94,FPC
2009-01-04 19:00:00,5609.02,FPC
2009-01-04 20:00:00,5668.78,FPC
2009-01-04 21:00:00,5674.91,FPC
2009-01-04 22:00:00,5579.26,FPC
2009-01-04 23:00:00,5184.66,FPC
2009-01-05 00:00:00,6318.57,FPC
2009-01-05 01:00:00,6108.59,FPC
2009-01-05 02:00:00,5828.37,FPC
2009-01-05 03:00:00,5390.56,FPC
2009-01-05 04:00:00,4927.72,FPC
2009-01-05 05:00:00,4464.58,FPC
2009-01-05 06:00:00,4020.28,FPC
2009-01-05 07:00:00,3691.51,FPC
2009-01-05 08:00:00,3682.34,FPC
2009-01-05 09:00:00,3864.04,FPC
2009-01-05 10:00:00,4062.3,FPC
2009-01-05 11:00:00,4281.47,FPC
2009-01-05 12:00:00,4516.36,FPC
2009-01-05 13:00:00,4960.36,FPC
2009-01-05 14:00:00,5301.87,FPC
2009-01-05 15:00:00,5355.92,FPC
2009-01-05 16:00:00,5526.14,FPC
2009-01-05 17:00:00,5719.96,FPC
2009-01-05 18:00:00,5946.27,FPC
2009-01-05 19:00:00,6079.45,FPC
2009-01-05 20:00:00,6193.14,FPC
2009-01-05 21:00:00,6252.6,FPC
2009-01-05 22:00:00,6251.82,FPC
2009-01-05 23:00:00,5765.72,FPC
2009-01-06 00:00:00,6433.18,FPC
2009-01-06 01:00:00,6170.59,FPC
2009-01-06 02:00:00,5867.22,FPC
2009-01-06 03:00:00,5442.94,FPC
2009-01-06 04:00:00,4965.3,FPC
2009-01-06 05:00:00,4504.92,FPC
2009-01-06 06:00:00,4042.82,FPC
2009-01-06 07:00:00,3715.93,FPC
2009-01-06 08:00:00,3705.05,FPC
2009-01-06 09:00:00,3876.93,FPC
2009-01-06 10:00:00,4046.93,FPC
2009-01-06 11:00:00,4240.32,FPC
2009-01-06 12:00:00,4451.4,FPC
2009-01-06 13:00:00,4858.61,FPC
2009-01-06 14:00:00,5192.73,FPC
2009-01-06 15:00:00,5281.48,FPC
2009-01-06 16:00:00,5378.24,FPC
2009-01-06 17:00:00,5539.44,FPC
2009-01-06 18:00:00,5716.91,FPC
2009-01-06 19:00:00,5970.69,FPC
2009-01-06 20:00:00,6148.56,FPC
2009-01-06 21:00:00,6264.84,FPC
2009-01-06 22:00:00,6283.34,FPC
