Time_UTC,Load,BA
2009-01-01 00:00:00,12800.12,FPL
2009-01-01 01:00:00,12164.53,FPL
2009-01-01 02:00:00,11594.5,FPL
2009-01-01 03:00:00,10946.84,FPL
2009-01-01 04:00:00,10290.36,FPL
2009-01-01 05:00:00,9661.59,FPL
2009-01-01 06:00:00,9008.14,FPL
2009-01-01 07:00:00,8473.09,FPL
2009-01-01 08:00:00,8125.04,FPL
2009-01-01 09:00:00,8223.33,FPL
2009-01-01 10:00:00,8579.65,FPL
2009-01-01 11:00:00,8980.13,FPL
2009-01-01 12:00:00,9387.44,FPL
2009-01-01 13:00:00,10762.59,FPL
2009-01-01 14:00:00,11176.3,FPL
2009-01-01 15:00:00,11495.19,FPL
2009-01-01 16:00:00,11772.91,FPL
2009-01-01 17:00:00,12082.24,FPL
2009-01-01 18:00:00,12270.42,FPL
2009-01-01 19:00:00,12397.37,FPL
2009-01-01 20:00:00,12391.89,FPL
2009-01-01 21:00:00,12307.67,FPL
2009-01-01 22:00:00,12317.78,FPL
2009-01-01 23:00:00,12422.37,FPL
2009-01-02 00:00:00,14187.18,FPL
2009-01-02 01:00:00,13500.49,FPL
2009-01-02 02:00:00,12800.96,FPL
2009-01-02 03:00:00,11999.72,FPL
2009-01-02 04:00:00,11112.46,FPL
2009-01-02 05:00:00,10256.75,FPL
2009-01-02 06:00:00,9421.72,FPL
2009-01-02 07:00:00,8644.5,FPL
2009-01-02 08:00:00,8656.93,FPL
2009-01-02 09:00:00,9049.8,FPL
2009-01-02 10:00:00,9468.18,FPL
2009-01-02 11:00:00,9867.1,FPL
2009-01-02 12:00:00,10272.58,FPL
2009-01-02 13:00:00,11399.88,FPL
2009-01-02 14:00:00,11935.15,FPL
2009-01-02 15:00:00,12229.97,FPL
2009-01-02 16:00:00,12629.99,FPL
2009-01-02 17:00:00,12986.69,FPL
2009-01-02 18:00:00,13271.3,FPL
2009-01-02 19:00:00,13430.17,FPL
2009-01-02 20:00:00,13638.64,FPL
2009-01-02 21:00:00,13790.07,FPL
2009-01-02 22:00:00,13719.19,FPL
2009-01-02 23:00:00,13078.49,FPL
2009-01-03 00:00:00,13739.17,FPL
2009-01-03 01:00:00,12939.8,FPL
2009-01-03 02:00:00,12183.63,FPL
2009-01-03 03:00:00,11485.59,FPL
2009-01-03 04:00:00,10814.58,FPL
2009-01-03 05:00:00,10116.76,FPL
