Time_UTC,Load,BA
2009-01-01 00:00:00,523.33,GCPD
2009-01-01 01:00:00,538.59,GCPD
2009-01-01 02:00:00,548.68,GCPD
2009-01-01 03:00:00,555.74,GCPD
2009-01-01 04:00:00,551.54,GCPD
2009-01-01 05:00:00,546.79,GCPD
2009-01-01 06:00:00,541.91,GCPD
2009-01-01 07:00:00,536.44,GCPD
2009-01-01 08:00:00,533.28,GCPD
2009-01-01 09:00:00,533.1,GCPD
2009-01-01 10:00:00,537.05,GCPD
2009-01-01 11:00:00,540.62,GCPD
2009-01-01 12:00:00,546.56,GCPD
2009-01-01 13:00:00,553.54,GCPD
2009-01-01 14:00:00,558.96,GCPD
2009-01-01 15:00:00,563.69,GCPD
2009-01-01 16:00:00,569.76,GCPD
2009-01-01 17:00:00,577.17,GCPD
2009-01-01 18:00:00,574.05,GCPD
2009-01-01 19:00:00,566.45,GCPD
2009-01-01 20:00:00,558.96,GCPD
2009-01-01 21:00:00,553.39,GCPD
2009-01-01 22:00:00,546.3,GCPD
2009-01-01 23:00:00,534.38,GCPD
2009-01-02 00:00:00,575.86,GCPD
2009-01-02 01:00:00,576.5,GCPD
2009-01-02 02:00:00,574.03,GCPD
2009-01-02 03:00:00,568.42,GCPD
2009-01-02 04:00:00,559.19,GCPD
2009-01-02 05:00:00,553.52,GCPD
2009-01-02 06:00:00,546.5,GCPD
2009-01-02 07:00:00,538.17,GCPD
2009-01-02 08:00:00,530.32,GCPD
2009-01-02 09:00:00,524.21,GCPD
2009-01-02 10:00:00,525.43,GCPD
2009-01-02 11:00:00,529.65,GCPD
2009-01-02 12:00:00,541.81,GCPD
2009-01-02 13:00:00,554.67,GCPD
2009-01-02 14:00:00,568.4,GCPD
2009-01-02 15:00:00,581.93,GCPD
2009-01-02 16:00:00,593.9,GCPD
2009-01-02 17:00:00,604.99,GCPD
2009-01-02 18:00:00,597.42,GCPD
2009-01-02 19:00:00,583.44,GCPD
2009-01-02 20:00:00,568.27,GCPD
2009-01-02 21:00:00,570.54,GCPD
2009-01-02 22:00:00,584.56,GCPD
2009-01-02 23:00:00,593.11,GCPD
2009-01-03 00:00:00,598.66,GCPD
2009-01-03 01:00:00,611.92,GCPD
2009-01-03 02:00:00,619.66,GCPD
2009-01-03 03:00:00,626.94,GCPD
2009-01-03 04:00:00,628.2,GCPD
2009-01-03 05:00:00,627.6,GCPD
2009-01-03 06:00:00,623.38,GCPD
2009-01-03 07:00:00,619.79,GCPD
2009-01-03 08:00:00,622.75,GCPD
2009-01-03 09:00:00,628.94,GCPD
2009-01-03 10:00:00,634.54,GCPD
2009-01-03 11:00:00,643.88,GCPD
2009-01-03 12:00:00,653.24,GCPD
2009-01-03 13:00:00,658.1,GCPD
2009-01-03 14:00:00,661.13,GCPD
2009-01-03 15:00:00,663.2,GCPD
2009-01-03 16:00:00,665.21,GCPD
2009-01-03 17:00:00,670.31,GCPD
2009-01-03 18:00:00,667.4,GCPD
2009-01-03 19:00:00,654.52,GCPD
2009-01-03 20:00:00,641.44,GCPD
2009-01-03 21:00:00,628.94,GCPD
2009-01-03 22:00:00,613.63,GCPD
2009-01-03 23:00:00,602.72,GCPD
2009-01-04 00:00:00,626.01,GCPD
2009-01-04 01:00:00,644.54,GCPD
2009-01-04 02:00:00,656.14,GCPD
2009-01-04 03:00:00,655.82,GCPD
2009-01-04 04:00:00,653.68,GCPD
2009-01-04 05:00:00,648.03,GCPD
2009-01-04 06:00:00,641.43,GCPD
2009-01-04 07:00:00,633.59,GCPD
2009-01-04 08:00:00,630.39,GCPD
2009-01-04 09:00:00,632.51,GCPD
2009-01-04 10:00:00,634.56,GCPD
2009-01-04 11:00:00,639.06,GCPD
2009-01-04 12:00:00,645.38,GCPD
2009-01-04 13:00:00,650.73,GCPD
2009-01-04 14:00:00,654.95,GCPD
2009-01-04 15:00:00,657.01,GCPD
2009-01-04 16:00:00,658.66,GCPD
2009-01-04 17:00:00,657.52,GCPD
2009-01-04 18:00:00,647.5,GCPD
2009-01-04 19:00:00,632.29,GCPD
2009-01-04 20:00:00,614.98,GCPD
2009-01-04 21:00:00,609.9,GCPD
2009-01-04 22:00:00,602.64,GCPD
2009-01-04 23:00:00,596.58,GCPD
2009-01-05 00:00:00,638.41,GCPD
2009-01-05 01:00:00,643.66,GCPD
2009-01-05 02:00:00,649.89,GCPD
2009-01-05 03:00:00,647.59,GCPD
2009-01-05 04:00:00,637.05,GCPD
2009-01-05 05:00:00,625.68,GCPD
2009-01-05 06:00:00,614.06,GCPD
2009-01-05 07:00:00,606.31,GCPD
2009-01-05 08:00:00,595.97,GCPD
2009-01-05 09:00:00,587.64,GCPD
2009-01-05 10:00:00,588.99,GCPD
2009-01-05 11:00:00,595.15,GCPD
2009-01-05 12:00:00,601.05,GCPD
2009-01-05 13:00:00,607.83,GCPD
2009-01-05 14:00:00,612.1,GCPD
2009-01-05 15:00:00,622.27,GCPD
2009-01-05 16:00:00,629.19,GCPD
2009-01-05 17:00:00,635.24,GCPD
2009-01-05 18:00:00,632.1,GCPD
2009-01-05 19:00:00,619.07,GCPD
2009-01-05 20:00:00,601.7,GCPD
2009-01-05 21:00:00,588.37,GCPD
2009-01-05 22:00:00,584.59,GCPD
2009-01-05 23:00:00,586.36,GCPD
2009-01-06 00:00:00,590.51,GCPD
2009-01-06 01:00:00,589.61,GCPD
2009-01-06 02:00:00,596.04,GCPD
2009-01-06 03:00:00,596.65,GCPD
2009-01-06 04:00:00,588.16,GCPD
2009-01-06 05:00:00,577.74,GCPD
2009-01-06 06:00:00,567.63,GCPD
2009-01-06 07:00:00,556.61,GCPD
2009-01-06 08:00:00,545.41,GCPD
2009-01-06 09:00:00,536.08,GCPD
2009-01-06 10:00:00,534.81,GCPD
2009-01-06 11:00:00,540.06,GCPD
2009-01-06 12:00:00,551.96,GCPD
2009-01-06 13:00:00,561.35,GCPD
2009-01-06 14:00:00,574.66,GCPD
2009-01-06 15:00:00,585.96,GCPD
2009-01-06 16:00:00,595.42,GCPD
2009-01-06 17:00:00,594.97,GCPD
2009-01-06 18:00:00,587.49,GCPD
2009-01-06 19:00:00,580.44,GCPD
2009-01-06 20:00:00,574.46,GCPD
2009-01-06 21:00:00,566.88,GCPD
2009-01-06 22:00:00,561.7,GCPD
2009-01-06 23:00:00,560.14,GCPD
2009-01-07 00:00:00,569.6,GCPD
