Time_UTC,Load,BA
2009-01-01 00:00:00,215.75,GVL
2009-01-01 01:00:00,214.29,GVL
2009-01-01 02:00:00,214.66,GVL
2009-01-01 03:00:00,208.19,GVL
2009-01-01 04:00:00,194.97,GVL
2009-01-01 05:00:00,186.49,GVL
2009-01-01 06:00:00,175.18,GVL
2009-01-01 07:00:00,171.56,GVL
2009-01-01 08:00:00,174.26,GVL
2009-01-01 09:00:00,175.05,GVL
2009-01-01 10:00:00,183.67,GVL
2009-01-01 11:00:00,189.61,GVL
2009-01-01 12:00:00,191.32,GVL
2009-01-01 13:00:00,198.86,GVL
2009-01-01 14:00:00,195.73,GVL
2009-01-01 15:00:00,201.68,GVL
2009-01-01 16:00:00,195.66,GVL
2009-01-01 17:00:00,193.02,GVL
2009-01-01 18:00:00,190.68,GVL
2009-01-01 19:00:00,185.16,GVL
2009-01-01 20:00:00,183.51,GVL
2009-01-01 21:00:00,181.44,GVL
2009-01-01 22:00:00,180.67,GVL
2009-01-01 23:00:00,186.07,GVL
2009-01-02 00:00:00,243.34,GVL
2009-01-02 01:00:00,243.74,GVL
2009-01-02 02:00:00,243.73,GVL
2009-01-02 03:00:00,232.53,GVL
2009-01-02 04:00:00,215.77,GVL
2009-01-02 05:00:00,202.27,GVL
2009-01-02 06:00:00,187.49,GVL
2009-01-02 07:00:00,179.11,GVL
2009-01-02 08:00:00,179.8,GVL
2009-01-02 09:00:00,185.19,GVL
2009-01-02 10:00:00,193.55,GVL
2009-01-02 11:00:00,201.07,GVL
2009-01-02 12:00:00,207.41,GVL
2009-01-02 13:00:00,216.72,GVL
2009-01-02 14:00:00,211.85,GVL
2009-01-02 15:00:00,202.03,GVL
2009-01-02 16:00:00,196.48,GVL
2009-01-02 17:00:00,196.4,GVL
2009-01-02 18:00:00,193.38,GVL
2009-01-02 19:00:00,194.07,GVL
2009-01-02 20:00:00,194.92,GVL
2009-01-02 21:00:00,194.92,GVL
2009-01-02 22:00:00,195.34,GVL
2009-01-02 23:00:00,195.97,GVL
2009-01-03 00:00:00,216.03,GVL
2009-01-03 01:00:00,213.18,GVL
2009-01-03 02:00:00,210.97,GVL
2009-01-03 03:00:00,200.19,GVL
2009-01-03 04:00:00,185.85,GVL
2009-01-03 05:00:00,172.9,GVL
2009-01-03 06:00:00,163.05,GVL
2009-01-03 07:00:00,156.83,GVL
2009-01-03 08:00:00,151.26,GVL
2009-01-03 09:00:00,148.56,GVL
2009-01-03 10:00:00,151.64,GVL
2009-01-03 11:00:00,155.36,GVL
2009-01-03 12:00:00,159.05,GVL
2009-01-03 13:00:00,164.99,GVL
2009-01-03 14:00:00,171.08,GVL
2009-01-03 15:00:00,174.06,GVL
2009-01-03 16:00:00,175.87,GVL
2009-01-03 17:00:00,179.66,GVL
2009-01-03 18:00:00,184.9,GVL
2009-01-03 19:00:00,187.86,GVL
2009-01-03 20:00:00,192.4,GVL
2009-01-03 21:00:00,190.47,GVL
2009-01-03 22:00:00,192.36,GVL
2009-01-03 23:00:00,188.5,GVL
2009-01-04 00:00:00,221.91,GVL
2009-01-04 01:00:00,212.24,GVL
2009-01-04 02:00:00,208.38,GVL
2009-01-04 03:00:00,202.38,GVL
2009-01-04 04:00:00,188.72,GVL
2009-01-04 05:00:00,173.77,GVL
2009-01-04 06:00:00,161.07,GVL
2009-01-04 07:00:00,150.04,GVL
2009-01-04 08:00:00,145.83,GVL
2009-01-04 09:00:00,140.83,GVL
2009-01-04 10:00:00,143.27,GVL
2009-01-04 11:00:00,147.37,GVL
2009-01-04 12:00:00,151.87,GVL
2009-01-04 13:00:00,156.1,GVL
2009-01-04 14:00:00,165.75,GVL
2009-01-04 15:00:00,171.73,GVL
2009-01-04 16:00:00,175.43,GVL
2009-01-04 17:00:00,175.64,GVL
2009-01-04 18:00:00,177.57,GVL
2009-01-04 19:00:00,185.78,GVL
2009-01-04 20:00:00,190.78,GVL
2009-01-04 21:00:00,188.5,GVL
2009-01-04 22:00:00,189.56,GVL
