Time_UTC,Load,BA
2009-01-01 00:00:00,260.63,IID
2009-01-01 01:00:00,291.19,IID
2009-01-01 02:00:00,307.14,IID
2009-01-01 03:00:00,318.07,IID
2009-01-01 04:00:00,317.69,IID
2009-01-01 05:00:00,305.32,IID
2009-01-01 06:00:00,282.52,IID
2009-01-01 07:00:00,270.44,IID
2009-01-01 08:00:00,264.53,IID
2009-01-01 09:00:00,257.19,IID
2009-01-01 10:00:00,254.93,IID
2009-01-01 11:00:00,253.43,IID
2009-01-01 12:00:00,256.73,IID
2009-01-01 13:00:00,261.82,IID
2009-01-01 14:00:00,267.64,IID
2009-01-01 15:00:00,273.62,IID
2009-01-01 16:00:00,283.74,IID
2009-01-01 17:00:00,286.6,IID
2009-01-01 18:00:00,289.56,IID
2009-01-01 19:00:00,293.55,IID
2009-01-01 20:00:00,298.59,IID
2009-01-01 21:00:00,304.29,IID
2009-01-01 22:00:00,307.97,IID
2009-01-01 23:00:00,311.49,IID
2009-01-02 00:00:00,287.74,IID
2009-01-02 01:00:00,325.56,IID
2009-01-02 02:00:00,331.88,IID
2009-01-02 03:00:00,338.03,IID
2009-01-02 04:00:00,346.19,IID
2009-01-02 05:00:00,337.24,IID
2009-01-02 06:00:00,306.3,IID
2009-01-02 07:00:00,274.37,IID
2009-01-02 08:00:00,257.78,IID
2009-01-02 09:00:00,249.08,IID
2009-01-02 10:00:00,244.36,IID
2009-01-02 11:00:00,246.99,IID
2009-01-02 12:00:00,254.35,IID
2009-01-02 13:00:00,262.55,IID
2009-01-02 14:00:00,271.46,IID
2009-01-02 15:00:00,281.0,IID
2009-01-02 16:00:00,288.11,IID
2009-01-02 17:00:00,285.56,IID
2009-01-02 18:00:00,286.27,IID
2009-01-02 19:00:00,286.02,IID
2009-01-02 20:00:00,287.58,IID
2009-01-02 21:00:00,288.81,IID
2009-01-02 22:00:00,288.25,IID
2009-01-02 23:00:00,290.63,IID
2009-01-03 00:00:00,266.27,IID
2009-01-03 01:00:00,310.42,IID
2009-01-03 02:00:00,319.63,IID
2009-01-03 03:00:00,328.47,IID
2009-01-03 04:00:00,327.04,IID
2009-01-03 05:00:00,316.62,IID
