Time_UTC,Load,BA
2009-01-01 00:00:00,1869.1,IPCO
2009-01-01 01:00:00,1899.85,IPCO
2009-01-01 02:00:00,1918.71,IPCO
2009-01-01 03:00:00,1936.18,IPCO
2009-01-01 04:00:00,1936.04,IPCO
2009-01-01 05:00:00,1836.12,IPCO
2009-01-01 06:00:00,1745.85,IPCO
2009-01-01 07:00:00,1675.09,IPCO
2009-01-01 08:00:00,1629.58,IPCO
2009-01-01 09:00:00,1610.21,IPCO
2009-01-01 10:00:00,1629.76,IPCO
2009-01-01 11:00:00,1665.47,IPCO
2009-01-01 12:00:00,1717.88,IPCO
2009-01-01 13:00:00,1772.29,IPCO
2009-01-01 14:00:00,1822.84,IPCO
2009-01-01 15:00:00,1868.0,IPCO
2009-01-01 16:00:00,1947.09,IPCO
2009-01-01 17:00:00,2002.42,IPCO
2009-01-01 18:00:00,1993.23,IPCO
2009-01-01 19:00:00,1959.52,IPCO
2009-01-01 20:00:00,1942.03,IPCO
2009-01-01 21:00:00,1912.87,IPCO
2009-01-01 22:00:00,1887.97,IPCO
2009-01-01 23:00:00,1851.3,IPCO
2009-01-02 00:00:00,2068.19,IPCO
2009-01-02 01:00:00,2080.57,IPCO
2009-01-02 02:00:00,2084.34,IPCO
2009-01-02 03:00:00,2079.62,IPCO
2009-01-02 04:00:00,2044.09,IPCO
2009-01-02 05:00:00,1946.77,IPCO
2009-01-02 06:00:00,1812.53,IPCO
2009-01-02 07:00:00,1704.59,IPCO
2009-01-02 08:00:00,1623.17,IPCO
2009-01-02 09:00:00,1584.79,IPCO
2009-01-02 10:00:00,1597.12,IPCO
2009-01-02 11:00:00,1632.4,IPCO
2009-01-02 12:00:00,1681.84,IPCO
2009-01-02 13:00:00,1745.37,IPCO
2009-01-02 14:00:00,1806.18,IPCO
2009-01-02 15:00:00,1846.17,IPCO
2009-01-02 16:00:00,1938.22,IPCO
2009-01-02 17:00:00,1961.08,IPCO
2009-01-02 18:00:00,1929.34,IPCO
2009-01-02 19:00:00,1924.59,IPCO
2009-01-02 20:00:00,1907.54,IPCO
2009-01-02 21:00:00,1921.41,IPCO
2009-01-02 22:00:00,1954.19,IPCO
2009-01-02 23:00:00,1956.16,IPCO
2009-01-03 00:00:00,2010.16,IPCO
2009-01-03 01:00:00,2028.45,IPCO
2009-01-03 02:00:00,2043.02,IPCO
2009-01-03 03:00:00,2058.43,IPCO
2009-01-03 04:00:00,2072.75,IPCO
2009-01-03 05:00:00,1992.8,IPCO
2009-01-03 06:00:00,1903.1,IPCO
2009-01-03 07:00:00,1815.19,IPCO
2009-01-03 08:00:00,1747.05,IPCO
2009-01-03 09:00:00,1727.84,IPCO
2009-01-03 10:00:00,1765.89,IPCO
2009-01-03 11:00:00,1815.06,IPCO
2009-01-03 12:00:00,1871.88,IPCO
2009-01-03 13:00:00,1927.75,IPCO
2009-01-03 14:00:00,1978.6,IPCO
2009-01-03 15:00:00,2018.16,IPCO
2009-01-03 16:00:00,2078.9,IPCO
2009-01-03 17:00:00,2050.4,IPCO
2009-01-03 18:00:00,1992.54,IPCO
2009-01-03 19:00:00,1921.74,IPCO
2009-01-03 20:00:00,1883.84,IPCO
2009-01-03 21:00:00,1874.57,IPCO
2009-01-03 22:00:00,1878.93,IPCO
2009-01-03 23:00:00,1893.28,IPCO
2009-01-04 00:00:00,2014.02,IPCO
2009-01-04 01:00:00,2051.33,IPCO
2009-01-04 02:00:00,2086.15,IPCO
2009-01-04 03:00:00,2132.95,IPCO
2009-01-04 04:00:00,2125.0,IPCO
2009-01-04 05:00:00,2069.78,IPCO
2009-01-04 06:00:00,1987.43,IPCO
2009-01-04 07:00:00,1903.76,IPCO
2009-01-04 08:00:00,1845.63,IPCO
2009-01-04 09:00:00,1830.31,IPCO
2009-01-04 10:00:00,1847.04,IPCO
2009-01-04 11:00:00,1889.92,IPCO
2009-01-04 12:00:00,1942.36,IPCO
2009-01-04 13:00:00,2005.08,IPCO
2009-01-04 14:00:00,2075.82,IPCO
2009-01-04 15:00:00,2141.04,IPCO
2009-01-04 16:00:00,2208.49,IPCO
2009-01-04 17:00:00,2160.76,IPCO
2009-01-04 18:00:00,2102.27,IPCO
2009-01-04 19:00:00,2041.51,IPCO
2009-01-04 20:00:00,2000.13,IPCO
2009-01-04 21:00:00,1972.72,IPCO
2009-01-04 22:00:00,1967.77,IPCO
2009-01-04 23:00:00,2027.24,IPCO
2009-01-05 00:00:00,2181.23,IPCO
2009-01-05 01:00:00,2274.76,IPCO
2009-01-05 02:00:00,2326.55,IPCO
2009-01-05 03:00:00,2396.16,IPCO
2009-01-05 04:00:00,2387.11,IPCO
2009-01-05 05:00:00,2282.95,IPCO
2009-01-05 06:00:00,2195.62,IPCO
2009-01-05 07:00:00,2118.42,IPCO
2009-01-05 08:00:00,2050.07,IPCO
2009-01-05 09:00:00,1993.68,IPCO
2009-01-05 10:00:00,1979.01,IPCO
2009-01-05 11:00:00,2014.17,IPCO
2009-01-05 12:00:00,2068.69,IPCO
2009-01-05 13:00:00,2120.52,IPCO
2009-01-05 14:00:00,2196.34,IPCO
2009-01-05 15:00:00,2279.2,IPCO
2009-01-05 16:00:00,2372.75,IPCO
2009-01-05 17:00:00,2418.66,IPCO
2009-01-05 18:00:00,2334.77,IPCO
2009-01-05 19:00:00,2286.71,IPCO
2009-01-05 20:00:00,2223.52,IPCO
2009-01-05 21:00:00,2207.83,IPCO
2009-01-05 22:00:00,2219.34,IPCO
2009-01-05 23:00:00,2215.26,IPCO
2009-01-06 00:00:00,2224.14,IPCO
