Time_UTC,Load,BA
2009-01-01 00:00:00,18400.33,ISNE
2009-01-01 01:00:00,17939.3,ISNE
2009-01-01 02:00:00,17309.91,ISNE
2009-01-01 03:00:00,16522.12,ISNE
2009-01-01 04:00:00,15713.85,ISNE
2009-01-01 05:00:00,15086.68,ISNE
2009-01-01 06:00:00,14666.11,ISNE
2009-01-01 07:00:00,14299.93,ISNE
2009-01-01 08:00:00,14336.03,ISNE
2009-01-01 09:00:00,14639.77,ISNE
2009-01-01 10:00:00,15081.39,ISNE
2009-01-01 11:00:00,15573.55,ISNE
2009-01-01 12:00:00,16037.68,ISNE
2009-01-01 13:00:00,17263.65,ISNE
2009-01-01 14:00:00,17807.69,ISNE
2009-01-01 15:00:00,18141.65,ISNE
2009-01-01 16:00:00,18111.04,ISNE
2009-01-01 17:00:00,17914.95,ISNE
2009-01-01 18:00:00,17622.26,ISNE
2009-01-01 19:00:00,17476.1,ISNE
2009-01-01 20:00:00,17647.61,ISNE
2009-01-01 21:00:00,18260.59,ISNE
2009-01-01 22:00:00,18772.82,ISNE
2009-01-01 23:00:00,19148.84,ISNE
2009-01-02 00:00:00,20358.9,ISNE
2009-01-02 01:00:00,19387.7,ISNE
2009-01-02 02:00:00,18431.03,ISNE
2009-01-02 03:00:00,17444.41,ISNE
2009-01-02 04:00:00,16459.0,ISNE
2009-01-02 05:00:00,15495.62,ISNE
2009-01-02 06:00:00,14763.3,ISNE
2009-01-02 07:00:00,14563.7,ISNE
2009-01-02 08:00:00,14764.52,ISNE
2009-01-02 09:00:00,15086.07,ISNE
2009-01-02 10:00:00,15406.08,ISNE
2009-01-02 11:00:00,15685.94,ISNE
2009-01-02 12:00:00,15925.42,ISNE
2009-01-02 13:00:00,16839.39,ISNE
2009-01-02 14:00:00,17214.01,ISNE
2009-01-02 15:00:00,16895.3,ISNE
2009-01-02 16:00:00,16467.07,ISNE
2009-01-02 17:00:00,16061.56,ISNE
2009-01-02 18:00:00,15875.63,ISNE
2009-01-02 19:00:00,16093.93,ISNE
2009-01-02 20:00:00,16161.04,ISNE
2009-01-02 21:00:00,16520.56,ISNE
2009-01-02 22:00:00,16865.27,ISNE
2009-01-02 23:00:00,16983.13,ISNE
2009-01-03 00:00:00,16801.42,ISNE
2009-01-03 01:00:00,16208.37,ISNE
2009-01-03 02:00:00,15550.7,ISNE
2009-01-03 03:00:00,14871.96,ISNE
2009-01-03 04:00:00,14131.3,ISNE
2009-01-03 05:00:00,13359.77,ISNE
2009-01-03 06:00:00,12799.69,ISNE
2009-01-03 07:00:00,12617.35,ISNE
2009-01-03 08:00:00,12480.65,ISNE
2009-01-03 09:00:00,12449.7,ISNE
2009-01-03 10:00:00,12601.59,ISNE
2009-01-03 11:00:00,12832.89,ISNE
2009-01-03 12:00:00,13086.24,ISNE
2009-01-03 13:00:00,13591.03,ISNE
2009-01-03 14:00:00,14006.45,ISNE
2009-01-03 15:00:00,14040.67,ISNE
2009-01-03 16:00:00,13976.28,ISNE
2009-01-03 17:00:00,13955.38,ISNE
2009-01-03 18:00:00,13957.66,ISNE
2009-01-03 19:00:00,13961.69,ISNE
2009-01-03 20:00:00,13983.59,ISNE
2009-01-03 21:00:00,14785.99,ISNE
2009-01-03 22:00:00,15523.67,ISNE
