Time_UTC,Load,BA
2009-01-01 00:00:00,1594.49,JEA
2009-01-01 01:00:00,1570.62,JEA
2009-01-01 02:00:00,1511.89,JEA
2009-01-01 03:00:00,1433.68,JEA
2009-01-01 04:00:00,1358.31,JEA
2009-01-01 05:00:00,1309.87,JEA
2009-01-01 06:00:00,1267.05,JEA
2009-01-01 07:00:00,1241.31,JEA
2009-01-01 08:00:00,1230.84,JEA
2009-01-01 09:00:00,1221.67,JEA
2009-01-01 10:00:00,1238.5,JEA
2009-01-01 11:00:00,1264.16,JEA
2009-01-01 12:00:00,1309.34,JEA
2009-01-01 13:00:00,1463.74,JEA
2009-01-01 14:00:00,1473.37,JEA
2009-01-01 15:00:00,1492.24,JEA
2009-01-01 16:00:00,1513.69,JEA
2009-01-01 17:00:00,1529.75,JEA
2009-01-01 18:00:00,1538.04,JEA
2009-01-01 19:00:00,1526.95,JEA
2009-01-01 20:00:00,1519.5,JEA
2009-01-01 21:00:00,1463.08,JEA
2009-01-01 22:00:00,1385.38,JEA
2009-01-01 23:00:00,1492.42,JEA
2009-01-02 00:00:00,1786.21,JEA
2009-01-02 01:00:00,1715.35,JEA
2009-01-02 02:00:00,1636.51,JEA
2009-01-02 03:00:00,1557.38,JEA
2009-01-02 04:00:00,1476.65,JEA
2009-01-02 05:00:00,1400.8,JEA
2009-01-02 06:00:00,1337.97,JEA
2009-01-02 07:00:00,1300.31,JEA
2009-01-02 08:00:00,1323.07,JEA
2009-01-02 09:00:00,1386.89,JEA
2009-01-02 10:00:00,1471.66,JEA
2009-01-02 11:00:00,1547.56,JEA
2009-01-02 12:00:00,1604.78,JEA
2009-01-02 13:00:00,1686.49,JEA
2009-01-02 14:00:00,1678.54,JEA
2009-01-02 15:00:00,1455.0,JEA
2009-01-02 16:00:00,1344.27,JEA
2009-01-02 17:00:00,1323.21,JEA
2009-01-02 18:00:00,1311.08,JEA
2009-01-02 19:00:00,1304.84,JEA
2009-01-02 20:00:00,1298.77,JEA
2009-01-02 21:00:00,1297.18,JEA
2009-01-02 22:00:00,1325.65,JEA
2009-01-02 23:00:00,1378.33,JEA
2009-01-03 00:00:00,1491.25,JEA
2009-01-03 01:00:00,1441.44,JEA
2009-01-03 02:00:00,1392.67,JEA
2009-01-03 03:00:00,1332.1,JEA
2009-01-03 04:00:00,1271.8,JEA
2009-01-03 05:00:00,1204.94,JEA
2009-01-03 06:00:00,1148.97,JEA
2009-01-03 07:00:00,1108.04,JEA
2009-01-03 08:00:00,1097.0,JEA
2009-01-03 09:00:00,1097.07,JEA
2009-01-03 10:00:00,1113.0,JEA
2009-01-03 11:00:00,1143.66,JEA
2009-01-03 12:00:00,1178.01,JEA
2009-01-03 13:00:00,1219.94,JEA
2009-01-03 14:00:00,1271.12,JEA
2009-01-03 15:00:00,1231.4,JEA
2009-01-03 16:00:00,1233.53,JEA
2009-01-03 17:00:00,1264.16,JEA
2009-01-03 18:00:00,1302.95,JEA
2009-01-03 19:00:00,1328.31,JEA
2009-01-03 20:00:00,1336.73,JEA
2009-01-03 21:00:00,1311.91,JEA
2009-01-03 22:00:00,1276.25,JEA
2009-01-03 23:00:00,1262.22,JEA
2009-01-04 00:00:00,1494.45,JEA
2009-01-04 01:00:00,1424.39,JEA
2009-01-04 02:00:00,1355.41,JEA
2009-01-04 03:00:00,1286.7,JEA
2009-01-04 04:00:00,1211.7,JEA
2009-01-04 05:00:00,1149.65,JEA
2009-01-04 06:00:00,1098.02,JEA
2009-01-04 07:00:00,1051.02,JEA
2009-01-04 08:00:00,1019.5,JEA
2009-01-04 09:00:00,1019.24,JEA
2009-01-04 10:00:00,1042.61,JEA
2009-01-04 11:00:00,1070.07,JEA
2009-01-04 12:00:00,1097.77,JEA
2009-01-04 13:00:00,1134.22,JEA
2009-01-04 14:00:00,1206.2,JEA
2009-01-04 15:00:00,1193.16,JEA
2009-01-04 16:00:00,1228.28,JEA
2009-01-04 17:00:00,1242.38,JEA
2009-01-04 18:00:00,1259.99,JEA
2009-01-04 19:00:00,1305.05,JEA
2009-01-04 20:00:00,1341.84,JEA
2009-01-04 21:00:00,1334.91,JEA
2009-01-04 22:00:00,1300.52,JEA
2009-01-04 23:00:00,1288.93,JEA
2009-01-05 00:00:00,1563.45,JEA
2009-01-05 01:00:00,1476.89,JEA
2009-01-05 02:00:00,1395.66,JEA
