Time_UTC,Load,BA
2009-01-01 00:00:00,2883.47,LDWP
2009-01-01 01:00:00,3147.83,LDWP
2009-01-01 02:00:00,3213.06,LDWP
2009-01-01 03:00:00,3261.53,LDWP
2009-01-01 04:00:00,3337.76,LDWP
2009-01-01 05:00:00,3318.39,LDWP
2009-01-01 06:00:00,3169.42,LDWP
2009-01-01 07:00:00,3013.62,LDWP
2009-01-01 08:00:00,2838.94,LDWP
2009-01-01 09:00:00,2685.42,LDWP
2009-01-01 10:00:00,2567.79,LDWP
2009-01-01 11:00:00,2514.59,LDWP
2009-01-01 12:00:00,2512.31,LDWP
2009-01-01 13:00:00,2551.2,LDWP
2009-01-01 14:00:00,2594.78,LDWP
2009-01-01 15:00:00,2640.21,LDWP
2009-01-01 16:00:00,2871.83,LDWP
2009-01-01 17:00:00,2930.52,LDWP
2009-01-01 18:00:00,2951.62,LDWP
2009-01-01 19:00:00,2974.44,LDWP
2009-01-01 20:00:00,3021.05,LDWP
2009-01-01 21:00:00,3077.58,LDWP
2009-01-01 22:00:00,3147.34,LDWP
2009-01-01 23:00:00,3220.55,LDWP
2009-01-02 00:00:00,3164.76,LDWP
2009-01-02 01:00:00,3436.03,LDWP
2009-01-02 02:00:00,3455.37,LDWP
2009-01-02 03:00:00,3484.01,LDWP
2009-01-02 04:00:00,3518.6,LDWP
2009-01-02 05:00:00,3407.58,LDWP
2009-01-02 06:00:00,3196.6,LDWP
2009-01-02 07:00:00,2972.94,LDWP
2009-01-02 08:00:00,2756.65,LDWP
2009-01-02 09:00:00,2583.06,LDWP
2009-01-02 10:00:00,2493.31,LDWP
2009-01-02 11:00:00,2480.61,LDWP
2009-01-02 12:00:00,2523.01,LDWP
2009-01-02 13:00:00,2583.06,LDWP
2009-01-02 14:00:00,2651.15,LDWP
2009-01-02 15:00:00,2721.9,LDWP
2009-01-02 16:00:00,3031.47,LDWP
2009-01-02 17:00:00,3151.99,LDWP
2009-01-02 18:00:00,3230.06,LDWP
2009-01-02 19:00:00,3242.98,LDWP
2009-01-02 20:00:00,3242.47,LDWP
2009-01-02 21:00:00,3248.43,LDWP
2009-01-02 22:00:00,3256.32,LDWP
2009-01-02 23:00:00,3302.85,LDWP
2009-01-03 00:00:00,2874.34,LDWP
2009-01-03 01:00:00,3216.16,LDWP
2009-01-03 02:00:00,3312.08,LDWP
2009-01-03 03:00:00,3388.17,LDWP
2009-01-03 04:00:00,3384.72,LDWP
2009-01-03 05:00:00,3266.45,LDWP
2009-01-03 06:00:00,3117.25,LDWP
2009-01-03 07:00:00,2957.68,LDWP
2009-01-03 08:00:00,2797.06,LDWP
2009-01-03 09:00:00,2662.14,LDWP
2009-01-03 10:00:00,2573.52,LDWP
2009-01-03 11:00:00,2537.98,LDWP
2009-01-03 12:00:00,2538.77,LDWP
2009-01-03 13:00:00,2552.24,LDWP
2009-01-03 14:00:00,2566.46,LDWP
2009-01-03 15:00:00,2578.42,LDWP
2009-01-03 16:00:00,2636.63,LDWP
2009-01-03 17:00:00,2724.92,LDWP
2009-01-03 18:00:00,2763.66,LDWP
2009-01-03 19:00:00,2793.05,LDWP
2009-01-03 20:00:00,2800.09,LDWP
2009-01-03 21:00:00,2794.95,LDWP
2009-01-03 22:00:00,2773.19,LDWP
2009-01-03 23:00:00,2787.62,LDWP
2009-01-04 00:00:00,2975.51,LDWP
2009-01-04 01:00:00,3308.13,LDWP
2009-01-04 02:00:00,3377.02,LDWP
2009-01-04 03:00:00,3443.94,LDWP
2009-01-04 04:00:00,3451.34,LDWP
2009-01-04 05:00:00,3367.32,LDWP
2009-01-04 06:00:00,3207.95,LDWP
2009-01-04 07:00:00,3051.23,LDWP
2009-01-04 08:00:00,2891.88,LDWP
2009-01-04 09:00:00,2761.98,LDWP
2009-01-04 10:00:00,2661.41,LDWP
2009-01-04 11:00:00,2602.39,LDWP
2009-01-04 12:00:00,2597.74,LDWP
2009-01-04 13:00:00,2602.34,LDWP
2009-01-04 14:00:00,2607.96,LDWP
2009-01-04 15:00:00,2613.17,LDWP
2009-01-04 16:00:00,2715.28,LDWP
2009-01-04 17:00:00,2726.17,LDWP
2009-01-04 18:00:00,2749.9,LDWP
2009-01-04 19:00:00,2753.16,LDWP
2009-01-04 20:00:00,2749.67,LDWP
2009-01-04 21:00:00,2712.49,LDWP
2009-01-04 22:00:00,2658.31,LDWP
2009-01-04 23:00:00,2624.62,LDWP
2009-01-05 00:00:00,3258.76,LDWP
2009-01-05 01:00:00,3565.26,LDWP
2009-01-05 02:00:00,3619.41,LDWP
2009-01-05 03:00:00,3660.27,LDWP
2009-01-05 04:00:00,3690.18,LDWP
2009-01-05 05:00:00,3651.29,LDWP
2009-01-05 06:00:00,3458.36,LDWP
2009-01-05 07:00:00,3242.68,LDWP
2009-01-05 08:00:00,3058.93,LDWP
2009-01-05 09:00:00,2888.65,LDWP
2009-01-05 10:00:00,2773.34,LDWP
2009-01-05 11:00:00,2756.7,LDWP
2009-01-05 12:00:00,2798.91,LDWP
2009-01-05 13:00:00,2855.28,LDWP
2009-01-05 14:00:00,2915.93,LDWP
2009-01-05 15:00:00,2974.58,LDWP
2009-01-05 16:00:00,3270.69,LDWP
2009-01-05 17:00:00,3313.24,LDWP
2009-01-05 18:00:00,3345.42,LDWP
2009-01-05 19:00:00,3351.76,LDWP
2009-01-05 20:00:00,3362.16,LDWP
2009-01-05 21:00:00,3366.3,LDWP
2009-01-05 22:00:00,3351.23,LDWP
2009-01-05 23:00:00,3373.7,LDWP
2009-01-06 00:00:00,3245.45,LDWP
2009-01-06 01:00:00,3562.86,LDWP
2009-01-06 02:00:00,3628.43,LDWP
2009-01-06 03:00:00,3677.47,LDWP
2009-01-06 04:00:00,3712.0,LDWP
2009-01-06 05:00:00,3573.75,LDWP
2009-01-06 06:00:00,3335.07,LDWP
2009-01-06 07:00:00,3109.46,LDWP
2009-01-06 08:00:00,2910.98,LDWP
2009-01-06 09:00:00,2749.58,LDWP
2009-01-06 10:00:00,2673.21,LDWP
2009-01-06 11:00:00,2681.61,LDWP
2009-01-06 12:00:00,2719.69,LDWP
2009-01-06 13:00:00,2772.26,LDWP
2009-01-06 14:00:00,2843.21,LDWP
2009-01-06 15:00:00,2907.88,LDWP
2009-01-06 16:00:00,3236.32,LDWP
2009-01-06 17:00:00,3287.02,LDWP
2009-01-06 18:00:00,3294.03,LDWP
2009-01-06 19:00:00,3296.02,LDWP
2009-01-06 20:00:00,3302.11,LDWP
2009-01-06 21:00:00,3303.74,LDWP
2009-01-06 22:00:00,3322.59,LDWP
2009-01-06 23:00:00,3375.3,LDWP
2009-01-07 00:00:00,3202.52,LDWP
2009-01-07 01:00:00,3484.71,LDWP
2009-01-07 02:00:00,3512.46,LDWP
2009-01-07 03:00:00,3539.72,LDWP
2009-01-07 04:00:00,3568.95,LDWP
2009-01-07 05:00:00,3480.61,LDWP
2009-01-07 06:00:00,3252.46,LDWP
2009-01-07 07:00:00,3008.75,LDWP
2009-01-07 08:00:00,2773.98,LDWP
2009-01-07 09:00:00,2587.07,LDWP
2009-01-07 10:00:00,2485.05,LDWP
2009-01-07 11:00:00,2483.46,LDWP
2009-01-07 12:00:00,2533.66,LDWP
2009-01-07 13:00:00,2600.28,LDWP
2009-01-07 14:00:00,2678.36,LDWP
