Time_UTC,Load,BA
2009-01-01 00:00:00,4930.49,LGEE
2009-01-01 01:00:00,4862.87,LGEE
2009-01-01 02:00:00,4779.56,LGEE
2009-01-01 03:00:00,4684.31,LGEE
2009-01-01 04:00:00,4579.98,LGEE
2009-01-01 05:00:00,4474.37,LGEE
2009-01-01 06:00:00,4380.19,LGEE
2009-01-01 07:00:00,4295.12,LGEE
2009-01-01 08:00:00,4274.38,LGEE
2009-01-01 09:00:00,4342.81,LGEE
2009-01-01 10:00:00,4435.74,LGEE
2009-01-01 11:00:00,4522.71,LGEE
2009-01-01 12:00:00,4622.12,LGEE
2009-01-01 13:00:00,4747.39,LGEE
2009-01-01 14:00:00,4825.88,LGEE
2009-01-01 15:00:00,4763.64,LGEE
2009-01-01 16:00:00,4632.96,LGEE
2009-01-01 17:00:00,4481.69,LGEE
2009-01-01 18:00:00,4307.54,LGEE
2009-01-01 19:00:00,4190.95,LGEE
2009-01-01 20:00:00,4119.69,LGEE
2009-01-01 21:00:00,4115.65,LGEE
2009-01-01 22:00:00,4198.63,LGEE
2009-01-01 23:00:00,4268.99,LGEE
2009-01-02 00:00:00,4913.16,LGEE
2009-01-02 01:00:00,4837.74,LGEE
2009-01-02 02:00:00,4726.03,LGEE
2009-01-02 03:00:00,4562.23,LGEE
2009-01-02 04:00:00,4392.01,LGEE
2009-01-02 05:00:00,4288.38,LGEE
2009-01-02 06:00:00,4182.66,LGEE
2009-01-02 07:00:00,4065.03,LGEE
2009-01-02 08:00:00,3938.73,LGEE
2009-01-02 09:00:00,4015.03,LGEE
2009-01-02 10:00:00,4192.36,LGEE
2009-01-02 11:00:00,4381.71,LGEE
2009-01-02 12:00:00,4554.86,LGEE
2009-01-02 13:00:00,4679.92,LGEE
2009-01-02 14:00:00,4780.97,LGEE
2009-01-02 15:00:00,4658.72,LGEE
2009-01-02 16:00:00,4554.15,LGEE
2009-01-02 17:00:00,4479.92,LGEE
2009-01-02 18:00:00,4398.47,LGEE
2009-01-02 19:00:00,4329.35,LGEE
2009-01-02 20:00:00,4263.47,LGEE
2009-01-02 21:00:00,4156.81,LGEE
2009-01-02 22:00:00,4175.74,LGEE
2009-01-02 23:00:00,4289.23,LGEE
2009-01-03 00:00:00,4218.59,LGEE
2009-01-03 01:00:00,4169.36,LGEE
2009-01-03 02:00:00,4092.82,LGEE
2009-01-03 03:00:00,4008.34,LGEE
2009-01-03 04:00:00,3898.35,LGEE
2009-01-03 05:00:00,3792.38,LGEE
2009-01-03 06:00:00,3723.34,LGEE
2009-01-03 07:00:00,3678.41,LGEE
2009-01-03 08:00:00,3642.51,LGEE
2009-01-03 09:00:00,3657.51,LGEE
2009-01-03 10:00:00,3732.93,LGEE
2009-01-03 11:00:00,3827.07,LGEE
2009-01-03 12:00:00,3914.39,LGEE
2009-01-03 13:00:00,4011.57,LGEE
2009-01-03 14:00:00,4065.87,LGEE
2009-01-03 15:00:00,4054.44,LGEE
2009-01-03 16:00:00,4016.72,LGEE
2009-01-03 17:00:00,3975.62,LGEE
2009-01-03 18:00:00,3925.15,LGEE
2009-01-03 19:00:00,3863.69,LGEE
2009-01-03 20:00:00,3806.95,LGEE
2009-01-03 21:00:00,3786.47,LGEE
2009-01-03 22:00:00,3799.45,LGEE
2009-01-03 23:00:00,3815.25,LGEE
2009-01-04 00:00:00,4114.23,LGEE
2009-01-04 01:00:00,3998.57,LGEE
2009-01-04 02:00:00,3879.7,LGEE
2009-01-04 03:00:00,3757.21,LGEE
2009-01-04 04:00:00,3615.0,LGEE
2009-01-04 05:00:00,3453.44,LGEE
2009-01-04 06:00:00,3319.83,LGEE
2009-01-04 07:00:00,3191.43,LGEE
2009-01-04 08:00:00,3103.68,LGEE
2009-01-04 09:00:00,3078.13,LGEE
2009-01-04 10:00:00,3081.75,LGEE
2009-01-04 11:00:00,3150.98,LGEE
2009-01-04 12:00:00,3217.42,LGEE
2009-01-04 13:00:00,3267.95,LGEE
2009-01-04 14:00:00,3339.91,LGEE
2009-01-04 15:00:00,3396.16,LGEE
2009-01-04 16:00:00,3449.02,LGEE
2009-01-04 17:00:00,3488.34,LGEE
2009-01-04 18:00:00,3528.65,LGEE
2009-01-04 19:00:00,3556.89,LGEE
2009-01-04 20:00:00,3557.45,LGEE
2009-01-04 21:00:00,3568.01,LGEE
2009-01-04 22:00:00,3619.93,LGEE
2009-01-04 23:00:00,3694.1,LGEE
2009-01-05 00:00:00,4348.28,LGEE
2009-01-05 01:00:00,4293.25,LGEE
2009-01-05 02:00:00,4251.11,LGEE
2009-01-05 03:00:00,4205.14,LGEE
2009-01-05 04:00:00,4137.4,LGEE
2009-01-05 05:00:00,4081.42,LGEE
2009-01-05 06:00:00,4038.11,LGEE
2009-01-05 07:00:00,3983.06,LGEE
2009-01-05 08:00:00,3976.41,LGEE
2009-01-05 09:00:00,4141.18,LGEE
2009-01-05 10:00:00,4321.74,LGEE
2009-01-05 11:00:00,4497.0,LGEE
2009-01-05 12:00:00,4691.16,LGEE
2009-01-05 13:00:00,4867.15,LGEE
2009-01-05 14:00:00,5105.15,LGEE
2009-01-05 15:00:00,5180.11,LGEE
2009-01-05 16:00:00,5154.93,LGEE
2009-01-05 17:00:00,5089.38,LGEE
2009-01-05 18:00:00,4987.08,LGEE
2009-01-05 19:00:00,4880.85,LGEE
2009-01-05 20:00:00,4865.78,LGEE
2009-01-05 21:00:00,4837.57,LGEE
2009-01-05 22:00:00,4837.04,LGEE
2009-01-05 23:00:00,4870.9,LGEE
2009-01-06 00:00:00,5071.47,LGEE
2009-01-06 01:00:00,4940.64,LGEE
2009-01-06 02:00:00,4803.31,LGEE
2009-01-06 03:00:00,4669.46,LGEE
2009-01-06 04:00:00,4516.03,LGEE
2009-01-06 05:00:00,4362.18,LGEE
2009-01-06 06:00:00,4241.36,LGEE
2009-01-06 07:00:00,4090.19,LGEE
2009-01-06 08:00:00,4050.22,LGEE
2009-01-06 09:00:00,4081.21,LGEE
2009-01-06 10:00:00,4184.45,LGEE
2009-01-06 11:00:00,4304.87,LGEE
2009-01-06 12:00:00,4424.28,LGEE
2009-01-06 13:00:00,4528.5,LGEE
2009-01-06 14:00:00,4602.64,LGEE
2009-01-06 15:00:00,4614.88,LGEE
2009-01-06 16:00:00,4602.31,LGEE
2009-01-06 17:00:00,4572.97,LGEE
2009-01-06 18:00:00,4547.98,LGEE
2009-01-06 19:00:00,4493.81,LGEE
2009-01-06 20:00:00,4425.52,LGEE
2009-01-06 21:00:00,4367.12,LGEE
2009-01-06 22:00:00,4354.19,LGEE
2009-01-06 23:00:00,4334.02,LGEE
2009-01-07 00:00:00,4510.11,LGEE
2009-01-07 01:00:00,4380.33,LGEE
2009-01-07 02:00:00,4271.06,LGEE
2009-01-07 03:00:00,4144.7,LGEE
2009-01-07 04:00:00,4000.83,LGEE
2009-01-07 05:00:00,3846.41,LGEE
2009-01-07 06:00:00,3729.69,LGEE
2009-01-07 07:00:00,3637.94,LGEE
2009-01-07 08:00:00,3639.9,LGEE
2009-01-07 09:00:00,3730.75,LGEE
2009-01-07 10:00:00,3888.0,LGEE
2009-01-07 11:00:00,4073.12,LGEE
2009-01-07 12:00:00,4292.93,LGEE
2009-01-07 13:00:00,4484.48,LGEE
2009-01-07 14:00:00,4677.56,LGEE
2009-01-07 15:00:00,4795.1,LGEE
2009-01-07 16:00:00,4841.88,LGEE
2009-01-07 17:00:00,4835.16,LGEE
2009-01-07 18:00:00,4816.4,LGEE
2009-01-07 19:00:00,4747.28,LGEE
2009-01-07 20:00:00,4668.02,LGEE
2009-01-07 21:00:00,4669.86,LGEE
2009-01-07 22:00:00,4693.16,LGEE
2009-01-07 23:00:00,4726.4,LGEE
2009-01-08 00:00:00,4942.93,LGEE
2009-01-08 01:00:00,4878.17,LGEE
2009-01-08 02:00:00,4834.09,LGEE
2009-01-08 03:00:00,4732.08,LGEE
2009-01-08 04:00:00,4622.62,LGEE
2009-01-08 05:00:00,4530.2,LGEE
2009-01-08 06:00:00,4445.97,LGEE
2009-01-08 07:00:00,4347.08,LGEE
2009-01-08 08:00:00,4241.2,LGEE
2009-01-08 09:00:00,4380.94,LGEE
2009-01-08 10:00:00,4555.54,LGEE
2009-01-08 11:00:00,4722.94,LGEE
2009-01-08 12:00:00,4904.62,LGEE
2009-01-08 13:00:00,5087.74,LGEE
2009-01-08 14:00:00,5289.94,LGEE
2009-01-08 15:00:00,5303.45,LGEE
2009-01-08 16:00:00,5216.66,LGEE
2009-01-08 17:00:00,5125.21,LGEE
2009-01-08 18:00:00,5051.81,LGEE
2009-01-08 19:00:00,4986.89,LGEE
2009-01-08 20:00:00,4958.45,LGEE
2009-01-08 21:00:00,5000.08,LGEE
2009-01-08 22:00:00,5191.58,LGEE
2009-01-08 23:00:00,5335.82,LGEE
2009-01-09 00:00:00,5558.87,LGEE
2009-01-09 01:00:00,5503.27,LGEE
2009-01-09 02:00:00,5451.01,LGEE
2009-01-09 03:00:00,5355.86,LGEE
2009-01-09 04:00:00,5232.19,LGEE
2009-01-09 05:00:00,5116.89,LGEE
2009-01-09 06:00:00,4994.06,LGEE
2009-01-09 07:00:00,4869.66,LGEE
2009-01-09 08:00:00,4810.76,LGEE
2009-01-09 09:00:00,4830.51,LGEE
2009-01-09 10:00:00,4934.77,LGEE
2009-01-09 11:00:00,5066.44,LGEE
2009-01-09 12:00:00,5152.63,LGEE
2009-01-09 13:00:00,5284.98,LGEE
2009-01-09 14:00:00,5403.92,LGEE
2009-01-09 15:00:00,5233.86,LGEE
2009-01-09 16:00:00,4992.52,LGEE
2009-01-09 17:00:00,4772.55,LGEE
2009-01-09 18:00:00,4614.53,LGEE
2009-01-09 19:00:00,4492.94,LGEE
2009-01-09 20:00:00,4392.72,LGEE
2009-01-09 21:00:00,4326.23,LGEE
2009-01-09 22:00:00,4370.63,LGEE
2009-01-09 23:00:00,4512.12,LGEE
2009-01-10 00:00:00,4420.53,LGEE
2009-01-10 01:00:00,4360.32,LGEE
2009-01-10 02:00:00,4278.4,LGEE
2009-01-10 03:00:00,4187.76,LGEE
2009-01-10 04:00:00,4069.51,LGEE
2009-01-10 05:00:00,3924.87,LGEE
2009-01-10 06:00:00,3766.08,LGEE
2009-01-10 07:00:00,3655.93,LGEE
2009-01-10 08:00:00,3626.89,LGEE
2009-01-10 09:00:00,3599.88,LGEE
2009-01-10 10:00:00,3626.69,LGEE
2009-01-10 11:00:00,3656.33,LGEE
2009-01-10 12:00:00,3609.51,LGEE
2009-01-10 13:00:00,3724.72,LGEE
2009-01-10 14:00:00,3785.55,LGEE
2009-01-10 15:00:00,3791.22,LGEE
2009-01-10 16:00:00,3790.07,LGEE
2009-01-10 17:00:00,3797.18,LGEE
2009-01-10 18:00:00,3797.07,LGEE
2009-01-10 19:00:00,3792.11,LGEE
2009-01-10 20:00:00,3800.94,LGEE
2009-01-10 21:00:00,3824.7,LGEE
2009-01-10 22:00:00,3895.17,LGEE
2009-01-10 23:00:00,3975.05,LGEE
2009-01-11 00:00:00,4373.72,LGEE
2009-01-11 01:00:00,4338.17,LGEE
2009-01-11 02:00:00,4339.33,LGEE
2009-01-11 03:00:00,4303.19,LGEE
2009-01-11 04:00:00,4252.34,LGEE
2009-01-11 05:00:00,4194.1,LGEE
2009-01-11 06:00:00,4118.91,LGEE
2009-01-11 07:00:00,4037.31,LGEE
2009-01-11 08:00:00,4012.37,LGEE
2009-01-11 09:00:00,4042.14,LGEE
2009-01-11 10:00:00,4149.9,LGEE
2009-01-11 11:00:00,4292.59,LGEE
2009-01-11 12:00:00,4428.48,LGEE
2009-01-11 13:00:00,4558.31,LGEE
2009-01-11 14:00:00,4680.05,LGEE
2009-01-11 15:00:00,4692.31,LGEE
