Time_UTC,Load,BA
2009-01-01 00:00:00,84726.48,MISO
2009-01-01 01:00:00,84539.4,MISO
2009-01-01 02:00:00,83642.0,MISO
2009-01-01 03:00:00,82716.76,MISO
2009-01-01 04:00:00,80779.9,MISO
2009-01-01 05:00:00,78773.91,MISO
2009-01-01 06:00:00,76624.96,MISO
2009-01-01 07:00:00,74917.45,MISO
2009-01-01 08:00:00,74304.91,MISO
2009-01-01 09:00:00,74616.27,MISO
2009-01-01 10:00:00,75721.83,MISO
2009-01-01 11:00:00,77268.9,MISO
2009-01-01 12:00:00,78722.82,MISO
2009-01-01 13:00:00,80018.65,MISO
2009-01-01 14:00:00,82549.72,MISO
2009-01-01 15:00:00,84484.28,MISO
2009-01-01 16:00:00,83350.4,MISO
2009-01-01 17:00:00,82270.19,MISO
2009-01-01 18:00:00,81265.69,MISO
2009-01-01 19:00:00,80616.66,MISO
2009-01-01 20:00:00,79498.11,MISO
2009-01-01 21:00:00,78889.05,MISO
2009-01-01 22:00:00,78146.9,MISO
2009-01-01 23:00:00,77588.93,MISO
2009-01-02 00:00:00,83116.18,MISO
2009-01-02 01:00:00,83141.69,MISO
2009-01-02 02:00:00,82359.69,MISO
2009-01-02 03:00:00,79529.42,MISO
2009-01-02 04:00:00,76966.46,MISO
2009-01-02 05:00:00,74202.65,MISO
2009-01-02 06:00:00,71516.7,MISO
2009-01-02 07:00:00,68704.11,MISO
2009-01-02 08:00:00,67165.27,MISO
2009-01-02 09:00:00,68588.18,MISO
2009-01-02 10:00:00,70467.24,MISO
2009-01-02 11:00:00,72325.79,MISO
2009-01-02 12:00:00,74341.73,MISO
2009-01-02 13:00:00,76226.33,MISO
2009-01-02 14:00:00,80514.71,MISO
2009-01-02 15:00:00,82871.09,MISO
2009-01-02 16:00:00,82828.38,MISO
2009-01-02 17:00:00,82643.04,MISO
2009-01-02 18:00:00,81966.84,MISO
2009-01-02 19:00:00,80400.49,MISO
2009-01-02 20:00:00,79488.45,MISO
2009-01-02 21:00:00,78949.24,MISO
2009-01-02 22:00:00,78385.35,MISO
2009-01-02 23:00:00,78606.18,MISO
2009-01-03 00:00:00,78976.21,MISO
2009-01-03 01:00:00,78601.46,MISO
2009-01-03 02:00:00,77668.45,MISO
2009-01-03 03:00:00,75943.68,MISO
2009-01-03 04:00:00,73596.86,MISO
2009-01-03 05:00:00,71185.76,MISO
2009-01-03 06:00:00,68754.42,MISO
2009-01-03 07:00:00,67033.97,MISO
2009-01-03 08:00:00,65665.25,MISO
2009-01-03 09:00:00,64733.52,MISO
2009-01-03 10:00:00,64772.36,MISO
2009-01-03 11:00:00,65441.95,MISO
2009-01-03 12:00:00,66443.26,MISO
2009-01-03 13:00:00,67326.16,MISO
2009-01-03 14:00:00,69029.72,MISO
2009-01-03 15:00:00,70492.4,MISO
2009-01-03 16:00:00,71417.7,MISO
2009-01-03 17:00:00,71955.08,MISO
2009-01-03 18:00:00,72051.69,MISO
2009-01-03 19:00:00,71807.52,MISO
2009-01-03 20:00:00,71387.28,MISO
2009-01-03 21:00:00,70885.33,MISO
2009-01-03 22:00:00,70499.35,MISO
2009-01-03 23:00:00,70468.69,MISO
2009-01-04 00:00:00,76565.85,MISO
2009-01-04 01:00:00,76090.05,MISO
2009-01-04 02:00:00,75286.21,MISO
2009-01-04 03:00:00,73047.65,MISO
2009-01-04 04:00:00,70462.62,MISO
2009-01-04 05:00:00,68079.63,MISO
2009-01-04 06:00:00,65886.52,MISO
2009-01-04 07:00:00,63752.79,MISO
2009-01-04 08:00:00,62430.78,MISO
2009-01-04 09:00:00,61991.18,MISO
2009-01-04 10:00:00,62468.91,MISO
2009-01-04 11:00:00,63402.54,MISO
2009-01-04 12:00:00,64766.44,MISO
2009-01-04 13:00:00,66300.03,MISO
2009-01-04 14:00:00,68048.86,MISO
2009-01-04 15:00:00,70296.19,MISO
2009-01-04 16:00:00,72208.47,MISO
2009-01-04 17:00:00,73780.96,MISO
2009-01-04 18:00:00,74963.95,MISO
2009-01-04 19:00:00,75659.01,MISO
2009-01-04 20:00:00,75864.19,MISO
2009-01-04 21:00:00,75511.75,MISO
2009-01-04 22:00:00,75335.4,MISO
2009-01-04 23:00:00,75484.42,MISO
2009-01-05 00:00:00,87220.95,MISO
2009-01-05 01:00:00,87778.36,MISO
2009-01-05 02:00:00,86983.7,MISO
2009-01-05 03:00:00,84781.63,MISO
2009-01-05 04:00:00,82440.47,MISO
2009-01-05 05:00:00,80053.82,MISO
2009-01-05 06:00:00,77530.13,MISO
2009-01-05 07:00:00,75344.42,MISO
2009-01-05 08:00:00,74460.79,MISO
2009-01-05 09:00:00,75915.21,MISO
2009-01-05 10:00:00,77819.76,MISO
2009-01-05 11:00:00,79850.48,MISO
2009-01-05 12:00:00,81889.78,MISO
2009-01-05 13:00:00,83675.15,MISO
2009-01-05 14:00:00,87709.62,MISO
2009-01-05 15:00:00,90085.53,MISO
2009-01-05 16:00:00,88978.05,MISO
2009-01-05 17:00:00,87218.26,MISO
2009-01-05 18:00:00,85684.98,MISO
2009-01-05 19:00:00,84369.44,MISO
2009-01-05 20:00:00,83390.38,MISO
2009-01-05 21:00:00,82886.34,MISO
2009-01-05 22:00:00,83066.51,MISO
2009-01-05 23:00:00,83902.6,MISO
2009-01-06 00:00:00,87138.74,MISO
2009-01-06 01:00:00,86862.91,MISO
2009-01-06 02:00:00,85852.92,MISO
2009-01-06 03:00:00,83322.16,MISO
2009-01-06 04:00:00,80672.72,MISO
2009-01-06 05:00:00,77958.49,MISO
2009-01-06 06:00:00,75243.7,MISO
2009-01-06 07:00:00,73202.45,MISO
2009-01-06 08:00:00,72619.1,MISO
2009-01-06 09:00:00,73506.32,MISO
2009-01-06 10:00:00,74742.02,MISO
2009-01-06 11:00:00,76093.91,MISO
2009-01-06 12:00:00,77576.86,MISO
2009-01-06 13:00:00,79144.03,MISO
2009-01-06 14:00:00,81989.94,MISO
2009-01-06 15:00:00,84654.79,MISO
2009-01-06 16:00:00,84499.75,MISO
2009-01-06 17:00:00,83922.99,MISO
2009-01-06 18:00:00,83161.29,MISO
2009-01-06 19:00:00,82576.27,MISO
2009-01-06 20:00:00,82109.43,MISO
2009-01-06 21:00:00,81432.13,MISO
2009-01-06 22:00:00,80246.46,MISO
2009-01-06 23:00:00,80246.63,MISO
2009-01-07 00:00:00,83666.65,MISO
2009-01-07 01:00:00,83372.29,MISO
2009-01-07 02:00:00,82822.19,MISO
2009-01-07 03:00:00,80309.0,MISO
2009-01-07 04:00:00,77554.48,MISO
2009-01-07 05:00:00,74825.24,MISO
2009-01-07 06:00:00,72166.74,MISO
2009-01-07 07:00:00,69849.41,MISO
2009-01-07 08:00:00,69139.49,MISO
2009-01-07 09:00:00,70344.56,MISO
2009-01-07 10:00:00,72040.53,MISO
2009-01-07 11:00:00,73965.07,MISO
2009-01-07 12:00:00,75866.48,MISO
2009-01-07 13:00:00,77995.74,MISO
2009-01-07 14:00:00,81851.1,MISO
2009-01-07 15:00:00,84355.01,MISO
2009-01-07 16:00:00,83419.73,MISO
2009-01-07 17:00:00,82436.61,MISO
2009-01-07 18:00:00,81858.67,MISO
2009-01-07 19:00:00,81445.72,MISO
2009-01-07 20:00:00,80862.21,MISO
2009-01-07 21:00:00,79964.13,MISO
2009-01-07 22:00:00,79893.73,MISO
2009-01-07 23:00:00,80676.78,MISO
2009-01-08 00:00:00,86470.7,MISO
2009-01-08 01:00:00,87089.52,MISO
2009-01-08 02:00:00,86274.53,MISO
2009-01-08 03:00:00,83832.83,MISO
