Time_UTC,Load,BA
2009-01-01 00:00:00,3546.83,NEVP
2009-01-01 01:00:00,3839.75,NEVP
2009-01-01 02:00:00,3951.56,NEVP
2009-01-01 03:00:00,4043.76,NEVP
2009-01-01 04:00:00,4020.14,NEVP
2009-01-01 05:00:00,3915.95,NEVP
2009-01-01 06:00:00,3753.05,NEVP
2009-01-01 07:00:00,3592.44,NEVP
2009-01-01 08:00:00,3457.2,NEVP
2009-01-01 09:00:00,3345.41,NEVP
2009-01-01 10:00:00,3271.19,NEVP
2009-01-01 11:00:00,3272.34,NEVP
2009-01-01 12:00:00,3296.35,NEVP
2009-01-01 13:00:00,3321.51,NEVP
2009-01-01 14:00:00,3348.15,NEVP
2009-01-01 15:00:00,3375.9,NEVP
2009-01-01 16:00:00,3413.17,NEVP
2009-01-01 17:00:00,3398.49,NEVP
2009-01-01 18:00:00,3418.43,NEVP
2009-01-01 19:00:00,3433.9,NEVP
2009-01-01 20:00:00,3449.37,NEVP
2009-01-01 21:00:00,3443.01,NEVP
2009-01-01 22:00:00,3418.72,NEVP
2009-01-01 23:00:00,3393.47,NEVP
2009-01-02 00:00:00,3563.69,NEVP
2009-01-02 01:00:00,3857.87,NEVP
2009-01-02 02:00:00,3955.23,NEVP
2009-01-02 03:00:00,4058.64,NEVP
2009-01-02 04:00:00,4058.84,NEVP
2009-01-02 05:00:00,3969.21,NEVP
2009-01-02 06:00:00,3779.35,NEVP
2009-01-02 07:00:00,3590.17,NEVP
2009-01-02 08:00:00,3412.49,NEVP
2009-01-02 09:00:00,3272.94,NEVP
2009-01-02 10:00:00,3224.89,NEVP
2009-01-02 11:00:00,3247.73,NEVP
2009-01-02 12:00:00,3313.9,NEVP
2009-01-02 13:00:00,3386.3,NEVP
2009-01-02 14:00:00,3462.64,NEVP
2009-01-02 15:00:00,3541.87,NEVP
2009-01-02 16:00:00,3641.2,NEVP
2009-01-02 17:00:00,3643.19,NEVP
2009-01-02 18:00:00,3633.81,NEVP
2009-01-02 19:00:00,3619.36,NEVP
2009-01-02 20:00:00,3612.39,NEVP
2009-01-02 21:00:00,3594.52,NEVP
2009-01-02 22:00:00,3565.33,NEVP
2009-01-02 23:00:00,3605.86,NEVP
2009-01-03 00:00:00,3594.35,NEVP
2009-01-03 01:00:00,3849.89,NEVP
2009-01-03 02:00:00,3993.13,NEVP
2009-01-03 03:00:00,4097.02,NEVP
2009-01-03 04:00:00,4090.51,NEVP
2009-01-03 05:00:00,4050.31,NEVP
2009-01-03 06:00:00,3898.56,NEVP
2009-01-03 07:00:00,3724.15,NEVP
2009-01-03 08:00:00,3563.56,NEVP
2009-01-03 09:00:00,3468.33,NEVP
2009-01-03 10:00:00,3459.33,NEVP
2009-01-03 11:00:00,3447.15,NEVP
2009-01-03 12:00:00,3454.91,NEVP
2009-01-03 13:00:00,3491.13,NEVP
2009-01-03 14:00:00,3541.05,NEVP
2009-01-03 15:00:00,3591.71,NEVP
2009-01-03 16:00:00,3600.47,NEVP
2009-01-03 17:00:00,3560.73,NEVP
2009-01-03 18:00:00,3518.38,NEVP
2009-01-03 19:00:00,3481.44,NEVP
2009-01-03 20:00:00,3450.89,NEVP
2009-01-03 21:00:00,3427.27,NEVP
2009-01-03 22:00:00,3429.84,NEVP
2009-01-03 23:00:00,3436.1,NEVP
2009-01-04 00:00:00,3587.1,NEVP
2009-01-04 01:00:00,3941.55,NEVP
2009-01-04 02:00:00,4112.75,NEVP
2009-01-04 03:00:00,4282.9,NEVP
2009-01-04 04:00:00,4309.26,NEVP
2009-01-04 05:00:00,4271.1,NEVP
2009-01-04 06:00:00,4135.01,NEVP
2009-01-04 07:00:00,3977.8,NEVP
2009-01-04 08:00:00,3833.55,NEVP
2009-01-04 09:00:00,3720.06,NEVP
2009-01-04 10:00:00,3662.94,NEVP
2009-01-04 11:00:00,3672.85,NEVP
2009-01-04 12:00:00,3702.47,NEVP
2009-01-04 13:00:00,3727.11,NEVP
2009-01-04 14:00:00,3762.76,NEVP
2009-01-04 15:00:00,3794.94,NEVP
2009-01-04 16:00:00,3786.28,NEVP
2009-01-04 17:00:00,3722.62,NEVP
2009-01-04 18:00:00,3680.82,NEVP
2009-01-04 19:00:00,3656.27,NEVP
2009-01-04 20:00:00,3640.54,NEVP
2009-01-04 21:00:00,3617.51,NEVP
2009-01-04 22:00:00,3594.06,NEVP
2009-01-04 23:00:00,3584.41,NEVP
2009-01-05 00:00:00,3816.17,NEVP
2009-01-05 01:00:00,4154.12,NEVP
2009-01-05 02:00:00,4290.36,NEVP
2009-01-05 03:00:00,4421.71,NEVP
2009-01-05 04:00:00,4422.74,NEVP
2009-01-05 05:00:00,4308.68,NEVP
2009-01-05 06:00:00,4119.09,NEVP
2009-01-05 07:00:00,3934.3,NEVP
2009-01-05 08:00:00,3786.61,NEVP
2009-01-05 09:00:00,3704.77,NEVP
2009-01-05 10:00:00,3674.61,NEVP
2009-01-05 11:00:00,3682.08,NEVP
2009-01-05 12:00:00,3737.25,NEVP
2009-01-05 13:00:00,3797.27,NEVP
2009-01-05 14:00:00,3859.55,NEVP
2009-01-05 15:00:00,3933.53,NEVP
2009-01-05 16:00:00,3993.64,NEVP
2009-01-05 17:00:00,3998.57,NEVP
2009-01-05 18:00:00,3985.35,NEVP
2009-01-05 19:00:00,3923.12,NEVP
2009-01-05 20:00:00,3891.32,NEVP
2009-01-05 21:00:00,3869.26,NEVP
2009-01-05 22:00:00,3852.44,NEVP
2009-01-05 23:00:00,3874.14,NEVP
2009-01-06 00:00:00,3797.04,NEVP
2009-01-06 01:00:00,4069.64,NEVP
2009-01-06 02:00:00,4183.2,NEVP
2009-01-06 03:00:00,4269.81,NEVP
2009-01-06 04:00:00,4246.99,NEVP
2009-01-06 05:00:00,4145.74,NEVP
2009-01-06 06:00:00,3977.48,NEVP
2009-01-06 07:00:00,3797.05,NEVP
2009-01-06 08:00:00,3645.28,NEVP
2009-01-06 09:00:00,3556.44,NEVP
2009-01-06 10:00:00,3536.13,NEVP
2009-01-06 11:00:00,3547.34,NEVP
2009-01-06 12:00:00,3585.78,NEVP
2009-01-06 13:00:00,3639.33,NEVP
2009-01-06 14:00:00,3695.5,NEVP
2009-01-06 15:00:00,3745.27,NEVP
2009-01-06 16:00:00,3814.11,NEVP
2009-01-06 17:00:00,3801.93,NEVP
2009-01-06 18:00:00,3748.71,NEVP
2009-01-06 19:00:00,3694.51,NEVP
2009-01-06 20:00:00,3663.87,NEVP
2009-01-06 21:00:00,3637.42,NEVP
2009-01-06 22:00:00,3607.24,NEVP
2009-01-06 23:00:00,3637.97,NEVP
2009-01-07 00:00:00,3643.55,NEVP
2009-01-07 01:00:00,3921.11,NEVP
2009-01-07 02:00:00,4016.02,NEVP
2009-01-07 03:00:00,4126.17,NEVP
2009-01-07 04:00:00,4108.56,NEVP
2009-01-07 05:00:00,4003.42,NEVP
2009-01-07 06:00:00,3820.82,NEVP
2009-01-07 07:00:00,3634.28,NEVP
2009-01-07 08:00:00,3457.92,NEVP
2009-01-07 09:00:00,3339.07,NEVP
2009-01-07 10:00:00,3306.34,NEVP
2009-01-07 11:00:00,3342.71,NEVP
2009-01-07 12:00:00,3394.03,NEVP
2009-01-07 13:00:00,3452.76,NEVP
2009-01-07 14:00:00,3512.17,NEVP
2009-01-07 15:00:00,3570.04,NEVP
2009-01-07 16:00:00,3649.34,NEVP
2009-01-07 17:00:00,3624.04,NEVP
2009-01-07 18:00:00,3578.67,NEVP
2009-01-07 19:00:00,3547.63,NEVP
2009-01-07 20:00:00,3517.63,NEVP
2009-01-07 21:00:00,3497.6,NEVP
2009-01-07 22:00:00,3504.99,NEVP
2009-01-07 23:00:00,3543.71,NEVP
2009-01-08 00:00:00,3469.84,NEVP
2009-01-08 01:00:00,3822.17,NEVP
2009-01-08 02:00:00,3917.59,NEVP
