Time_UTC,Load,BA
2009-01-01 00:00:00,1414.6,NWMT
2009-01-01 01:00:00,1443.51,NWMT
2009-01-01 02:00:00,1475.54,NWMT
2009-01-01 03:00:00,1496.4,NWMT
2009-01-01 04:00:00,1476.47,NWMT
2009-01-01 05:00:00,1427.83,NWMT
2009-01-01 06:00:00,1374.6,NWMT
2009-01-01 07:00:00,1321.17,NWMT
2009-01-01 08:00:00,1272.18,NWMT
2009-01-01 09:00:00,1245.5,NWMT
2009-01-01 10:00:00,1243.33,NWMT
2009-01-01 11:00:00,1256.32,NWMT
2009-01-01 12:00:00,1294.31,NWMT
2009-01-01 13:00:00,1340.08,NWMT
2009-01-01 14:00:00,1387.23,NWMT
2009-01-01 15:00:00,1426.97,NWMT
2009-01-01 16:00:00,1488.64,NWMT
2009-01-01 17:00:00,1503.28,NWMT
2009-01-01 18:00:00,1513.95,NWMT
2009-01-01 19:00:00,1511.94,NWMT
2009-01-01 20:00:00,1504.04,NWMT
2009-01-01 21:00:00,1495.62,NWMT
2009-01-01 22:00:00,1482.54,NWMT
2009-01-01 23:00:00,1475.27,NWMT
2009-01-02 00:00:00,1540.89,NWMT
2009-01-02 01:00:00,1569.48,NWMT
2009-01-02 02:00:00,1589.16,NWMT
2009-01-02 03:00:00,1571.4,NWMT
2009-01-02 04:00:00,1535.14,NWMT
2009-01-02 05:00:00,1457.09,NWMT
2009-01-02 06:00:00,1380.88,NWMT
2009-01-02 07:00:00,1305.73,NWMT
2009-01-02 08:00:00,1244.81,NWMT
2009-01-02 09:00:00,1223.54,NWMT
2009-01-02 10:00:00,1219.87,NWMT
2009-01-02 11:00:00,1253.24,NWMT
2009-01-02 12:00:00,1298.13,NWMT
2009-01-02 13:00:00,1350.15,NWMT
2009-01-02 14:00:00,1402.64,NWMT
2009-01-02 15:00:00,1455.44,NWMT
2009-01-02 16:00:00,1526.16,NWMT
2009-01-02 17:00:00,1535.96,NWMT
2009-01-02 18:00:00,1532.49,NWMT
2009-01-02 19:00:00,1526.83,NWMT
2009-01-02 20:00:00,1518.03,NWMT
2009-01-02 21:00:00,1519.43,NWMT
2009-01-02 22:00:00,1533.8,NWMT
2009-01-02 23:00:00,1561.46,NWMT
