Time_UTC,Load,BA
2009-01-01 00:00:00,22428.91,NYIS
2009-01-01 01:00:00,22386.16,NYIS
2009-01-01 02:00:00,22066.05,NYIS
2009-01-01 03:00:00,21272.92,NYIS
2009-01-01 04:00:00,20492.82,NYIS
2009-01-01 05:00:00,19696.9,NYIS
2009-01-01 06:00:00,18890.9,NYIS
2009-01-01 07:00:00,18210.02,NYIS
2009-01-01 08:00:00,18085.66,NYIS
2009-01-01 09:00:00,18252.08,NYIS
2009-01-01 10:00:00,18590.46,NYIS
2009-01-01 11:00:00,19000.38,NYIS
2009-01-01 12:00:00,19431.66,NYIS
2009-01-01 13:00:00,20866.13,NYIS
2009-01-01 14:00:00,21776.3,NYIS
2009-01-01 15:00:00,21947.11,NYIS
2009-01-01 16:00:00,21769.83,NYIS
2009-01-01 17:00:00,21584.37,NYIS
2009-01-01 18:00:00,21453.92,NYIS
2009-01-01 19:00:00,21410.3,NYIS
2009-01-01 20:00:00,21462.62,NYIS
2009-01-01 21:00:00,21616.22,NYIS
2009-01-01 22:00:00,22065.13,NYIS
2009-01-01 23:00:00,22607.3,NYIS
2009-01-02 00:00:00,23614.12,NYIS
2009-01-02 01:00:00,23026.81,NYIS
2009-01-02 02:00:00,22325.55,NYIS
2009-01-02 03:00:00,21255.19,NYIS
2009-01-02 04:00:00,20131.31,NYIS
2009-01-02 05:00:00,18993.96,NYIS
2009-01-02 06:00:00,17906.22,NYIS
2009-01-02 07:00:00,17123.76,NYIS
2009-01-02 08:00:00,16774.29,NYIS
2009-01-02 09:00:00,17106.2,NYIS
2009-01-02 10:00:00,17662.29,NYIS
2009-01-02 11:00:00,18284.98,NYIS
2009-01-02 12:00:00,18806.8,NYIS
2009-01-02 13:00:00,20204.77,NYIS
2009-01-02 14:00:00,21456.99,NYIS
2009-01-02 15:00:00,21065.67,NYIS
2009-01-02 16:00:00,20850.6,NYIS
2009-01-02 17:00:00,20684.78,NYIS
2009-01-02 18:00:00,20870.18,NYIS
2009-01-02 19:00:00,20983.62,NYIS
2009-01-02 20:00:00,20983.81,NYIS
2009-01-02 21:00:00,21051.11,NYIS
2009-01-02 22:00:00,21103.74,NYIS
2009-01-02 23:00:00,21552.63,NYIS
2009-01-03 00:00:00,20622.46,NYIS
2009-01-03 01:00:00,20298.39,NYIS
2009-01-03 02:00:00,19968.2,NYIS
2009-01-03 03:00:00,19150.17,NYIS
2009-01-03 04:00:00,18231.17,NYIS
2009-01-03 05:00:00,17260.79,NYIS
2009-01-03 06:00:00,16122.78,NYIS
2009-01-03 07:00:00,15167.2,NYIS
2009-01-03 08:00:00,14742.03,NYIS
2009-01-03 09:00:00,14646.92,NYIS
2009-01-03 10:00:00,14839.74,NYIS
2009-01-03 11:00:00,15234.85,NYIS
2009-01-03 12:00:00,15683.04,NYIS
2009-01-03 13:00:00,16497.58,NYIS
2009-01-03 14:00:00,17236.36,NYIS
2009-01-03 15:00:00,17744.77,NYIS
2009-01-03 16:00:00,17966.68,NYIS
2009-01-03 17:00:00,18002.98,NYIS
2009-01-03 18:00:00,17966.96,NYIS
2009-01-03 19:00:00,17939.32,NYIS
2009-01-03 20:00:00,18109.69,NYIS
2009-01-03 21:00:00,18541.79,NYIS
2009-01-03 22:00:00,19162.98,NYIS
2009-01-03 23:00:00,19734.36,NYIS
2009-01-04 00:00:00,20877.12,NYIS
2009-01-04 01:00:00,20467.56,NYIS
2009-01-04 02:00:00,20006.1,NYIS
2009-01-04 03:00:00,19239.41,NYIS
2009-01-04 04:00:00,18439.46,NYIS
2009-01-04 05:00:00,17639.53,NYIS
2009-01-04 06:00:00,16819.98,NYIS
2009-01-04 07:00:00,16068.5,NYIS
2009-01-04 08:00:00,15750.28,NYIS
2009-01-04 09:00:00,15702.13,NYIS
2009-01-04 10:00:00,15956.79,NYIS
2009-01-04 11:00:00,16377.93,NYIS
2009-01-04 12:00:00,16830.72,NYIS
2009-01-04 13:00:00,17612.97,NYIS
2009-01-04 14:00:00,18324.12,NYIS
2009-01-04 15:00:00,18587.13,NYIS
2009-01-04 16:00:00,18678.81,NYIS
2009-01-04 17:00:00,18540.96,NYIS
2009-01-04 18:00:00,18313.3,NYIS
2009-01-04 19:00:00,18084.73,NYIS
2009-01-04 20:00:00,18140.71,NYIS
2009-01-04 21:00:00,18606.89,NYIS
2009-01-04 22:00:00,19389.79,NYIS
2009-01-04 23:00:00,19932.56,NYIS
2009-01-05 00:00:00,22191.52,NYIS
2009-01-05 01:00:00,21516.14,NYIS
2009-01-05 02:00:00,20591.93,NYIS
2009-01-05 03:00:00,19455.24,NYIS
2009-01-05 04:00:00,18364.57,NYIS
2009-01-05 05:00:00,17548.33,NYIS
2009-01-05 06:00:00,16498.96,NYIS
2009-01-05 07:00:00,15781.57,NYIS
2009-01-05 08:00:00,15494.44,NYIS
2009-01-05 09:00:00,15791.04,NYIS
2009-01-05 10:00:00,16274.13,NYIS
2009-01-05 11:00:00,16788.2,NYIS
2009-01-05 12:00:00,17365.24,NYIS
2009-01-05 13:00:00,18284.48,NYIS
2009-01-05 14:00:00,19708.1,NYIS
2009-01-05 15:00:00,19995.63,NYIS
2009-01-05 16:00:00,19870.53,NYIS
2009-01-05 17:00:00,19972.18,NYIS
2009-01-05 18:00:00,20119.18,NYIS
2009-01-05 19:00:00,20165.61,NYIS
2009-01-05 20:00:00,20193.19,NYIS
2009-01-05 21:00:00,20519.59,NYIS
2009-01-05 22:00:00,21025.0,NYIS
2009-01-05 23:00:00,21441.8,NYIS
2009-01-06 00:00:00,21966.51,NYIS
2009-01-06 01:00:00,21379.95,NYIS
2009-01-06 02:00:00,20800.21,NYIS
2009-01-06 03:00:00,19816.6,NYIS
2009-01-06 04:00:00,18753.99,NYIS
2009-01-06 05:00:00,17693.18,NYIS
2009-01-06 06:00:00,16657.45,NYIS
2009-01-06 07:00:00,15909.64,NYIS
2009-01-06 08:00:00,15715.25,NYIS
2009-01-06 09:00:00,16045.67,NYIS
2009-01-06 10:00:00,16749.95,NYIS
2009-01-06 11:00:00,17509.44,NYIS
2009-01-06 12:00:00,18251.71,NYIS
2009-01-06 13:00:00,19812.36,NYIS
2009-01-06 14:00:00,20796.19,NYIS
2009-01-06 15:00:00,20853.51,NYIS
2009-01-06 16:00:00,20764.19,NYIS
2009-01-06 17:00:00,20717.11,NYIS
2009-01-06 18:00:00,20716.53,NYIS
2009-01-06 19:00:00,20675.68,NYIS
2009-01-06 20:00:00,21039.44,NYIS
2009-01-06 21:00:00,21444.97,NYIS
2009-01-06 22:00:00,21896.06,NYIS
2009-01-06 23:00:00,22356.11,NYIS
2009-01-07 00:00:00,22606.77,NYIS
2009-01-07 01:00:00,21860.65,NYIS
2009-01-07 02:00:00,21075.1,NYIS
2009-01-07 03:00:00,20038.98,NYIS
2009-01-07 04:00:00,18852.12,NYIS
2009-01-07 05:00:00,17678.2,NYIS
2009-01-07 06:00:00,16609.47,NYIS
2009-01-07 07:00:00,15646.52,NYIS
2009-01-07 08:00:00,15412.24,NYIS
2009-01-07 09:00:00,15695.74,NYIS
2009-01-07 10:00:00,16114.15,NYIS
2009-01-07 11:00:00,16615.8,NYIS
2009-01-07 12:00:00,17091.21,NYIS
2009-01-07 13:00:00,17778.38,NYIS
2009-01-07 14:00:00,18618.92,NYIS
2009-01-07 15:00:00,19339.66,NYIS
2009-01-07 16:00:00,19624.57,NYIS
2009-01-07 17:00:00,19736.4,NYIS
2009-01-07 18:00:00,19955.81,NYIS
2009-01-07 19:00:00,20483.8,NYIS
2009-01-07 20:00:00,20458.28,NYIS
2009-01-07 21:00:00,20637.83,NYIS
