Time_UTC,Load,BA
2009-01-01 00:00:00,5442.71,PACE
2009-01-01 01:00:00,5633.6,PACE
2009-01-01 02:00:00,5708.59,PACE
2009-01-01 03:00:00,5770.09,PACE
2009-01-01 04:00:00,5792.96,PACE
2009-01-01 05:00:00,5593.05,PACE
2009-01-01 06:00:00,5399.52,PACE
2009-01-01 07:00:00,5201.19,PACE
2009-01-01 08:00:00,5013.06,PACE
2009-01-01 09:00:00,4846.79,PACE
2009-01-01 10:00:00,4843.01,PACE
2009-01-01 11:00:00,4900.8,PACE
2009-01-01 12:00:00,4979.79,PACE
2009-01-01 13:00:00,5064.72,PACE
2009-01-01 14:00:00,5148.55,PACE
2009-01-01 15:00:00,5256.43,PACE
2009-01-01 16:00:00,5481.0,PACE
2009-01-01 17:00:00,5493.94,PACE
2009-01-01 18:00:00,5532.8,PACE
2009-01-01 19:00:00,5516.65,PACE
2009-01-01 20:00:00,5541.56,PACE
2009-01-01 21:00:00,5553.89,PACE
2009-01-01 22:00:00,5545.41,PACE
2009-01-01 23:00:00,5511.55,PACE
2009-01-02 00:00:00,5817.72,PACE
2009-01-02 01:00:00,5890.13,PACE
2009-01-02 02:00:00,5901.0,PACE
2009-01-02 03:00:00,5908.44,PACE
2009-01-02 04:00:00,5910.76,PACE
2009-01-02 05:00:00,5676.11,PACE
2009-01-02 06:00:00,5444.43,PACE
2009-01-02 07:00:00,5203.49,PACE
2009-01-02 08:00:00,5008.13,PACE
2009-01-02 09:00:00,4963.22,PACE
2009-01-02 10:00:00,5015.1,PACE
2009-01-02 11:00:00,5096.52,PACE
2009-01-02 12:00:00,5201.75,PACE
2009-01-02 13:00:00,5305.92,PACE
2009-01-02 14:00:00,5417.6,PACE
2009-01-02 15:00:00,5545.2,PACE
2009-01-02 16:00:00,5758.77,PACE
2009-01-02 17:00:00,5766.29,PACE
2009-01-02 18:00:00,5697.6,PACE
2009-01-02 19:00:00,5664.35,PACE
2009-01-02 20:00:00,5631.69,PACE
2009-01-02 21:00:00,5662.8,PACE
2009-01-02 22:00:00,5688.42,PACE
2009-01-02 23:00:00,5765.33,PACE
2009-01-03 00:00:00,5640.32,PACE
2009-01-03 01:00:00,5705.85,PACE
2009-01-03 02:00:00,5766.0,PACE
2009-01-03 03:00:00,5827.62,PACE
2009-01-03 04:00:00,5814.02,PACE
2009-01-03 05:00:00,5633.91,PACE
2009-01-03 06:00:00,5478.24,PACE
2009-01-03 07:00:00,5311.87,PACE
2009-01-03 08:00:00,5198.67,PACE
2009-01-03 09:00:00,5159.39,PACE
2009-01-03 10:00:00,5133.88,PACE
2009-01-03 11:00:00,5189.08,PACE
2009-01-03 12:00:00,5267.81,PACE
2009-01-03 13:00:00,5335.41,PACE
2009-01-03 14:00:00,5408.97,PACE
2009-01-03 15:00:00,5482.16,PACE
2009-01-03 16:00:00,5537.57,PACE
2009-01-03 17:00:00,5540.64,PACE
2009-01-03 18:00:00,5541.95,PACE
2009-01-03 19:00:00,5545.51,PACE
2009-01-03 20:00:00,5525.82,PACE
2009-01-03 21:00:00,5507.54,PACE
2009-01-03 22:00:00,5487.37,PACE
2009-01-03 23:00:00,5467.49,PACE
2009-01-04 00:00:00,5923.63,PACE
2009-01-04 01:00:00,5994.58,PACE
2009-01-04 02:00:00,6049.19,PACE
2009-01-04 03:00:00,6125.46,PACE
2009-01-04 04:00:00,6010.28,PACE
2009-01-04 05:00:00,5844.34,PACE
2009-01-04 06:00:00,5668.81,PACE
2009-01-04 07:00:00,5511.37,PACE
2009-01-04 08:00:00,5406.44,PACE
2009-01-04 09:00:00,5380.27,PACE
2009-01-04 10:00:00,5384.1,PACE
2009-01-04 11:00:00,5407.21,PACE
2009-01-04 12:00:00,5460.82,PACE
2009-01-04 13:00:00,5526.63,PACE
2009-01-04 14:00:00,5553.04,PACE
2009-01-04 15:00:00,5596.49,PACE
2009-01-04 16:00:00,5667.49,PACE
2009-01-04 17:00:00,5667.68,PACE
2009-01-04 18:00:00,5655.49,PACE
2009-01-04 19:00:00,5633.25,PACE
2009-01-04 20:00:00,5615.17,PACE
2009-01-04 21:00:00,5598.71,PACE
2009-01-04 22:00:00,5581.78,PACE
2009-01-04 23:00:00,5577.67,PACE
2009-01-05 00:00:00,6184.76,PACE
2009-01-05 01:00:00,6249.04,PACE
2009-01-05 02:00:00,6273.21,PACE
2009-01-05 03:00:00,6305.19,PACE
2009-01-05 04:00:00,6225.55,PACE
2009-01-05 05:00:00,5997.79,PACE
2009-01-05 06:00:00,5766.7,PACE
2009-01-05 07:00:00,5567.56,PACE
2009-01-05 08:00:00,5460.59,PACE
2009-01-05 09:00:00,5391.07,PACE
2009-01-05 10:00:00,5421.92,PACE
2009-01-05 11:00:00,5514.85,PACE
2009-01-05 12:00:00,5598.26,PACE
2009-01-05 13:00:00,5687.02,PACE
2009-01-05 14:00:00,5780.45,PACE
2009-01-05 15:00:00,5903.61,PACE
2009-01-05 16:00:00,6085.28,PACE
2009-01-05 17:00:00,6132.94,PACE
2009-01-05 18:00:00,6127.71,PACE
2009-01-05 19:00:00,6123.45,PACE
2009-01-05 20:00:00,6099.44,PACE
2009-01-05 21:00:00,6082.75,PACE
2009-01-05 22:00:00,6102.09,PACE
2009-01-05 23:00:00,6152.91,PACE
2009-01-06 00:00:00,6049.1,PACE
2009-01-06 01:00:00,6090.08,PACE
2009-01-06 02:00:00,6105.23,PACE
2009-01-06 03:00:00,6120.48,PACE
2009-01-06 04:00:00,6098.17,PACE
2009-01-06 05:00:00,5855.37,PACE
2009-01-06 06:00:00,5608.95,PACE
2009-01-06 07:00:00,5389.21,PACE
2009-01-06 08:00:00,5221.57,PACE
2009-01-06 09:00:00,5130.25,PACE
2009-01-06 10:00:00,5191.92,PACE
2009-01-06 11:00:00,5281.64,PACE
2009-01-06 12:00:00,5382.1,PACE
2009-01-06 13:00:00,5485.23,PACE
2009-01-06 14:00:00,5581.11,PACE
2009-01-06 15:00:00,5720.26,PACE
2009-01-06 16:00:00,5980.85,PACE
2009-01-06 17:00:00,5974.02,PACE
2009-01-06 18:00:00,5932.58,PACE
2009-01-06 19:00:00,5921.26,PACE
2009-01-06 20:00:00,5920.71,PACE
2009-01-06 21:00:00,5927.02,PACE
2009-01-06 22:00:00,5925.6,PACE
2009-01-06 23:00:00,5978.62,PACE
2009-01-07 00:00:00,5922.6,PACE
2009-01-07 01:00:00,5979.77,PACE
2009-01-07 02:00:00,5995.94,PACE
2009-01-07 03:00:00,6011.45,PACE
2009-01-07 04:00:00,6004.77,PACE
2009-01-07 05:00:00,5779.66,PACE
2009-01-07 06:00:00,5532.3,PACE
2009-01-07 07:00:00,5287.7,PACE
2009-01-07 08:00:00,5095.02,PACE
2009-01-07 09:00:00,5044.88,PACE
2009-01-07 10:00:00,5084.93,PACE
2009-01-07 11:00:00,5184.9,PACE
2009-01-07 12:00:00,5295.4,PACE
2009-01-07 13:00:00,5404.07,PACE
2009-01-07 14:00:00,5501.26,PACE
2009-01-07 15:00:00,5629.78,PACE
2009-01-07 16:00:00,5818.48,PACE
2009-01-07 17:00:00,5755.47,PACE
2009-01-07 18:00:00,5731.15,PACE
2009-01-07 19:00:00,5749.89,PACE
2009-01-07 20:00:00,5713.07,PACE
2009-01-07 21:00:00,5677.07,PACE
2009-01-07 22:00:00,5682.6,PACE
2009-01-07 23:00:00,5793.34,PACE
2009-01-08 00:00:00,5788.56,PACE
2009-01-08 01:00:00,5885.2,PACE
2009-01-08 02:00:00,5897.71,PACE
2009-01-08 03:00:00,5902.84,PACE
2009-01-08 04:00:00,5891.93,PACE
2009-01-08 05:00:00,5657.13,PACE
2009-01-08 06:00:00,5408.46,PACE
2009-01-08 07:00:00,5161.59,PACE
2009-01-08 08:00:00,4959.52,PACE
2009-01-08 09:00:00,4918.47,PACE
2009-01-08 10:00:00,4968.03,PACE
2009-01-08 11:00:00,5071.42,PACE
2009-01-08 12:00:00,5186.61,PACE
2009-01-08 13:00:00,5306.97,PACE
2009-01-08 14:00:00,5416.18,PACE
2009-01-08 15:00:00,5543.52,PACE
2009-01-08 16:00:00,5714.05,PACE
2009-01-08 17:00:00,5646.88,PACE
2009-01-08 18:00:00,5610.68,PACE
2009-01-08 19:00:00,5585.84,PACE
2009-01-08 20:00:00,5572.66,PACE
2009-01-08 21:00:00,5582.44,PACE
2009-01-08 22:00:00,5615.68,PACE
2009-01-08 23:00:00,5664.74,PACE
2009-01-09 00:00:00,5723.29,PACE
