Time_UTC,Load,BA
2009-01-01 00:00:00,2708.56,PACW
2009-01-01 01:00:00,2727.61,PACW
2009-01-01 02:00:00,2759.76,PACW
2009-01-01 03:00:00,2799.99,PACW
2009-01-01 04:00:00,2790.0,PACW
2009-01-01 05:00:00,2692.85,PACW
2009-01-01 06:00:00,2584.71,PACW
2009-01-01 07:00:00,2481.39,PACW
2009-01-01 08:00:00,2395.23,PACW
2009-01-01 09:00:00,2307.13,PACW
2009-01-01 10:00:00,2236.59,PACW
2009-01-01 11:00:00,2285.23,PACW
2009-01-01 12:00:00,2391.51,PACW
2009-01-01 13:00:00,2499.3,PACW
2009-01-01 14:00:00,2590.19,PACW
2009-01-01 15:00:00,2685.77,PACW
2009-01-01 16:00:00,2801.64,PACW
2009-01-01 17:00:00,2929.69,PACW
2009-01-01 18:00:00,3000.77,PACW
2009-01-01 19:00:00,2999.36,PACW
2009-01-01 20:00:00,2978.29,PACW
2009-01-01 21:00:00,2941.84,PACW
2009-01-01 22:00:00,2904.55,PACW
2009-01-01 23:00:00,2865.3,PACW
2009-01-02 00:00:00,2821.07,PACW
2009-01-02 01:00:00,2839.95,PACW
2009-01-02 02:00:00,2853.24,PACW
2009-01-02 03:00:00,2871.39,PACW
2009-01-02 04:00:00,2870.72,PACW
2009-01-02 05:00:00,2747.06,PACW
2009-01-02 06:00:00,2613.42,PACW
2009-01-02 07:00:00,2486.59,PACW
2009-01-02 08:00:00,2365.22,PACW
2009-01-02 09:00:00,2246.68,PACW
2009-01-02 10:00:00,2216.19,PACW
2009-01-02 11:00:00,2312.64,PACW
2009-01-02 12:00:00,2435.06,PACW
2009-01-02 13:00:00,2554.92,PACW
2009-01-02 14:00:00,2683.98,PACW
2009-01-02 15:00:00,2816.4,PACW
2009-01-02 16:00:00,2978.6,PACW
2009-01-02 17:00:00,3252.63,PACW
2009-01-02 18:00:00,3202.49,PACW
2009-01-02 19:00:00,3182.09,PACW
2009-01-02 20:00:00,3112.49,PACW
2009-01-02 21:00:00,3047.46,PACW
2009-01-02 22:00:00,3020.34,PACW
2009-01-02 23:00:00,3042.83,PACW
2009-01-03 00:00:00,2814.12,PACW
2009-01-03 01:00:00,2869.85,PACW
2009-01-03 02:00:00,2954.47,PACW
2009-01-03 03:00:00,3029.24,PACW
2009-01-03 04:00:00,2963.52,PACW
2009-01-03 05:00:00,2885.03,PACW
2009-01-03 06:00:00,2794.38,PACW
2009-01-03 07:00:00,2702.33,PACW
2009-01-03 08:00:00,2668.63,PACW
2009-01-03 09:00:00,2632.41,PACW
2009-01-03 10:00:00,2590.9,PACW
2009-01-03 11:00:00,2600.35,PACW
2009-01-03 12:00:00,2665.33,PACW
2009-01-03 13:00:00,2738.03,PACW
2009-01-03 14:00:00,2807.04,PACW
2009-01-03 15:00:00,2882.81,PACW
2009-01-03 16:00:00,3003.53,PACW
2009-01-03 17:00:00,3186.9,PACW
2009-01-03 18:00:00,3115.74,PACW
2009-01-03 19:00:00,3037.47,PACW
2009-01-03 20:00:00,2962.41,PACW
2009-01-03 21:00:00,2887.73,PACW
2009-01-03 22:00:00,2820.76,PACW
2009-01-03 23:00:00,2779.23,PACW
2009-01-04 00:00:00,2862.32,PACW
2009-01-04 01:00:00,2905.72,PACW
2009-01-04 02:00:00,3044.01,PACW
2009-01-04 03:00:00,3156.68,PACW
2009-01-04 04:00:00,3103.56,PACW
2009-01-04 05:00:00,3038.9,PACW
2009-01-04 06:00:00,2949.01,PACW
2009-01-04 07:00:00,2873.04,PACW
2009-01-04 08:00:00,2844.1,PACW
2009-01-04 09:00:00,2809.66,PACW
2009-01-04 10:00:00,2768.43,PACW
2009-01-04 11:00:00,2789.94,PACW
2009-01-04 12:00:00,2848.59,PACW
2009-01-04 13:00:00,2910.65,PACW
2009-01-04 14:00:00,2974.73,PACW
2009-01-04 15:00:00,3030.84,PACW
2009-01-04 16:00:00,3178.85,PACW
2009-01-04 17:00:00,3348.57,PACW
2009-01-04 18:00:00,3256.87,PACW
2009-01-04 19:00:00,3122.89,PACW
2009-01-04 20:00:00,3065.24,PACW
2009-01-04 21:00:00,3012.9,PACW
2009-01-04 22:00:00,2956.76,PACW
2009-01-04 23:00:00,2912.93,PACW
2009-01-05 00:00:00,3171.83,PACW
2009-01-05 01:00:00,3235.2,PACW
2009-01-05 02:00:00,3286.68,PACW
2009-01-05 03:00:00,3309.5,PACW
2009-01-05 04:00:00,3232.36,PACW
2009-01-05 05:00:00,3056.96,PACW
2009-01-05 06:00:00,2886.43,PACW
2009-01-05 07:00:00,2740.47,PACW
2009-01-05 08:00:00,2593.52,PACW
2009-01-05 09:00:00,2441.33,PACW
2009-01-05 10:00:00,2387.94,PACW
2009-01-05 11:00:00,2443.95,PACW
2009-01-05 12:00:00,2516.53,PACW
2009-01-05 13:00:00,2596.09,PACW
2009-01-05 14:00:00,2682.1,PACW
2009-01-05 15:00:00,2768.59,PACW
2009-01-05 16:00:00,2874.32,PACW
2009-01-05 17:00:00,3071.2,PACW
2009-01-05 18:00:00,3110.85,PACW
2009-01-05 19:00:00,3068.81,PACW
2009-01-05 20:00:00,3035.75,PACW
2009-01-05 21:00:00,3009.53,PACW
2009-01-05 22:00:00,2987.99,PACW
2009-01-05 23:00:00,2971.23,PACW
2009-01-06 00:00:00,2916.93,PACW
2009-01-06 01:00:00,2943.0,PACW
2009-01-06 02:00:00,2964.68,PACW
2009-01-06 03:00:00,2985.69,PACW
2009-01-06 04:00:00,2986.88,PACW
2009-01-06 05:00:00,2847.6,PACW
2009-01-06 06:00:00,2704.26,PACW
2009-01-06 07:00:00,2562.28,PACW
2009-01-06 08:00:00,2424.0,PACW
2009-01-06 09:00:00,2290.09,PACW
2009-01-06 10:00:00,2267.45,PACW
2009-01-06 11:00:00,2346.54,PACW
2009-01-06 12:00:00,2434.53,PACW
2009-01-06 13:00:00,2511.38,PACW
2009-01-06 14:00:00,2595.97,PACW
2009-01-06 15:00:00,2671.5,PACW
2009-01-06 16:00:00,2769.43,PACW
2009-01-06 17:00:00,2909.59,PACW
2009-01-06 18:00:00,2959.7,PACW
2009-01-06 19:00:00,2927.05,PACW
2009-01-06 20:00:00,2897.16,PACW
2009-01-06 21:00:00,2860.24,PACW
2009-01-06 22:00:00,2828.22,PACW
