Time_UTC,Load,BA
2009-01-01 00:00:00,2727.07,PGE
2009-01-01 01:00:00,2837.84,PGE
2009-01-01 02:00:00,2918.7,PGE
2009-01-01 03:00:00,2954.36,PGE
2009-01-01 04:00:00,2872.42,PGE
2009-01-01 05:00:00,2758.9,PGE
2009-01-01 06:00:00,2608.92,PGE
2009-01-01 07:00:00,2448.52,PGE
2009-01-01 08:00:00,2276.73,PGE
2009-01-01 09:00:00,2152.81,PGE
2009-01-01 10:00:00,2062.08,PGE
2009-01-01 11:00:00,2020.49,PGE
2009-01-01 12:00:00,2077.15,PGE
2009-01-01 13:00:00,2196.33,PGE
2009-01-01 14:00:00,2284.2,PGE
2009-01-01 15:00:00,2369.46,PGE
2009-01-01 16:00:00,2468.46,PGE
2009-01-01 17:00:00,2575.54,PGE
2009-01-01 18:00:00,2668.27,PGE
2009-01-01 19:00:00,2714.01,PGE
2009-01-01 20:00:00,2748.7,PGE
2009-01-01 21:00:00,2759.49,PGE
2009-01-01 22:00:00,2771.33,PGE
2009-01-01 23:00:00,2783.24,PGE
2009-01-02 00:00:00,2877.46,PGE
2009-01-02 01:00:00,2904.43,PGE
2009-01-02 02:00:00,2919.93,PGE
2009-01-02 03:00:00,2941.5,PGE
2009-01-02 04:00:00,2936.71,PGE
2009-01-02 05:00:00,2809.46,PGE
2009-01-02 06:00:00,2639.79,PGE
2009-01-02 07:00:00,2468.52,PGE
2009-01-02 08:00:00,2267.11,PGE
2009-01-02 09:00:00,2152.52,PGE
2009-01-02 10:00:00,2103.3,PGE
2009-01-02 11:00:00,2129.09,PGE
2009-01-02 12:00:00,2255.32,PGE
2009-01-02 13:00:00,2417.74,PGE
2009-01-02 14:00:00,2599.72,PGE
2009-01-02 15:00:00,2770.93,PGE
2009-01-02 16:00:00,2952.7,PGE
2009-01-02 17:00:00,3163.27,PGE
2009-01-02 18:00:00,3172.5,PGE
2009-01-02 19:00:00,3180.42,PGE
2009-01-02 20:00:00,3169.04,PGE
2009-01-02 21:00:00,3128.7,PGE
2009-01-02 22:00:00,3095.13,PGE
2009-01-02 23:00:00,3082.26,PGE
2009-01-03 00:00:00,2932.11,PGE
2009-01-03 01:00:00,3039.48,PGE
2009-01-03 02:00:00,3096.28,PGE
2009-01-03 03:00:00,3157.74,PGE
2009-01-03 04:00:00,3145.1,PGE
2009-01-03 05:00:00,3007.1,PGE
2009-01-03 06:00:00,2852.03,PGE
2009-01-03 07:00:00,2676.38,PGE
2009-01-03 08:00:00,2527.8,PGE
2009-01-03 09:00:00,2391.64,PGE
2009-01-03 10:00:00,2298.3,PGE
2009-01-03 11:00:00,2243.77,PGE
2009-01-03 12:00:00,2267.08,PGE
2009-01-03 13:00:00,2351.07,PGE
2009-01-03 14:00:00,2441.76,PGE
2009-01-03 15:00:00,2537.65,PGE
2009-01-03 16:00:00,2631.64,PGE
2009-01-03 17:00:00,2859.52,PGE
2009-01-03 18:00:00,2956.48,PGE
2009-01-03 19:00:00,2980.52,PGE
2009-01-03 20:00:00,2972.5,PGE
2009-01-03 21:00:00,2955.86,PGE
2009-01-03 22:00:00,2925.89,PGE
2009-01-03 23:00:00,2892.38,PGE
2009-01-04 00:00:00,2913.12,PGE
2009-01-04 01:00:00,3035.63,PGE
2009-01-04 02:00:00,3129.46,PGE
2009-01-04 03:00:00,3202.71,PGE
2009-01-04 04:00:00,3212.41,PGE
2009-01-04 05:00:00,3083.87,PGE
2009-01-04 06:00:00,2961.15,PGE
2009-01-04 07:00:00,2823.72,PGE
2009-01-04 08:00:00,2695.8,PGE
2009-01-04 09:00:00,2572.2,PGE
2009-01-04 10:00:00,2499.94,PGE
2009-01-04 11:00:00,2469.98,PGE
2009-01-04 12:00:00,2515.24,PGE
2009-01-04 13:00:00,2628.0,PGE
2009-01-04 14:00:00,2746.71,PGE
2009-01-04 15:00:00,2827.52,PGE
2009-01-04 16:00:00,2922.59,PGE
2009-01-04 17:00:00,3149.42,PGE
2009-01-04 18:00:00,3168.55,PGE
2009-01-04 19:00:00,3125.28,PGE
2009-01-04 20:00:00,3097.9,PGE
2009-01-04 21:00:00,3069.06,PGE
2009-01-04 22:00:00,3058.7,PGE
2009-01-04 23:00:00,3033.58,PGE
2009-01-05 00:00:00,3176.89,PGE
2009-01-05 01:00:00,3269.49,PGE
2009-01-05 02:00:00,3323.44,PGE
2009-01-05 03:00:00,3341.09,PGE
2009-01-05 04:00:00,3306.64,PGE
2009-01-05 05:00:00,3091.56,PGE
2009-01-05 06:00:00,2864.94,PGE
2009-01-05 07:00:00,2655.7,PGE
2009-01-05 08:00:00,2443.8,PGE
2009-01-05 09:00:00,2249.93,PGE
2009-01-05 10:00:00,2117.45,PGE
2009-01-05 11:00:00,2062.09,PGE
2009-01-05 12:00:00,2131.7,PGE
2009-01-05 13:00:00,2263.19,PGE
2009-01-05 14:00:00,2422.85,PGE
2009-01-05 15:00:00,2587.29,PGE
2009-01-05 16:00:00,2753.03,PGE
2009-01-05 17:00:00,2913.79,PGE
2009-01-05 18:00:00,2931.93,PGE
2009-01-05 19:00:00,2925.58,PGE
2009-01-05 20:00:00,2930.79,PGE
2009-01-05 21:00:00,2933.79,PGE
2009-01-05 22:00:00,2933.09,PGE
2009-01-05 23:00:00,2938.9,PGE
2009-01-06 00:00:00,2941.03,PGE
2009-01-06 01:00:00,2996.88,PGE
