Time_UTC,Load,BA
2009-01-01 00:00:00,106341.72,PJM
2009-01-01 01:00:00,104221.9,PJM
2009-01-01 02:00:00,101653.86,PJM
2009-01-01 03:00:00,98974.67,PJM
2009-01-01 04:00:00,96426.92,PJM
2009-01-01 05:00:00,94003.77,PJM
2009-01-01 06:00:00,91580.81,PJM
2009-01-01 07:00:00,89749.26,PJM
2009-01-01 08:00:00,88934.73,PJM
2009-01-01 09:00:00,89233.4,PJM
2009-01-01 10:00:00,90980.32,PJM
2009-01-01 11:00:00,92933.25,PJM
2009-01-01 12:00:00,94546.74,PJM
2009-01-01 13:00:00,98854.86,PJM
2009-01-01 14:00:00,99792.68,PJM
2009-01-01 15:00:00,97513.03,PJM
2009-01-01 16:00:00,95623.84,PJM
2009-01-01 17:00:00,94055.47,PJM
2009-01-01 18:00:00,92579.5,PJM
2009-01-01 19:00:00,91488.06,PJM
2009-01-01 20:00:00,91248.46,PJM
2009-01-01 21:00:00,92267.6,PJM
2009-01-01 22:00:00,96711.1,PJM
2009-01-01 23:00:00,99524.59,PJM
2009-01-02 00:00:00,111652.88,PJM
2009-01-02 01:00:00,108715.33,PJM
2009-01-02 02:00:00,105574.59,PJM
2009-01-02 03:00:00,102541.02,PJM
2009-01-02 04:00:00,98651.96,PJM
2009-01-02 05:00:00,94860.76,PJM
2009-01-02 06:00:00,91236.02,PJM
2009-01-02 07:00:00,88316.11,PJM
2009-01-02 08:00:00,86487.9,PJM
2009-01-02 09:00:00,88209.95,PJM
2009-01-02 10:00:00,90723.92,PJM
2009-01-02 11:00:00,93332.67,PJM
2009-01-02 12:00:00,96328.78,PJM
2009-01-02 13:00:00,101228.07,PJM
2009-01-02 14:00:00,104165.89,PJM
2009-01-02 15:00:00,101716.03,PJM
2009-01-02 16:00:00,98926.27,PJM
2009-01-02 17:00:00,97012.32,PJM
2009-01-02 18:00:00,96027.74,PJM
2009-01-02 19:00:00,94986.16,PJM
2009-01-02 20:00:00,93294.6,PJM
2009-01-02 21:00:00,92719.39,PJM
2009-01-02 22:00:00,96062.16,PJM
2009-01-02 23:00:00,98896.95,PJM
2009-01-03 00:00:00,99992.61,PJM
2009-01-03 01:00:00,97603.14,PJM
2009-01-03 02:00:00,95077.26,PJM
2009-01-03 03:00:00,92641.83,PJM
2009-01-03 04:00:00,89666.59,PJM
2009-01-03 05:00:00,86627.78,PJM
2009-01-03 06:00:00,84045.84,PJM
2009-01-03 07:00:00,82317.34,PJM
2009-01-03 08:00:00,81687.96,PJM
2009-01-03 09:00:00,82246.51,PJM
2009-01-03 10:00:00,83774.71,PJM
2009-01-03 11:00:00,85441.35,PJM
2009-01-03 12:00:00,86873.77,PJM
2009-01-03 13:00:00,89131.77,PJM
2009-01-03 14:00:00,90775.65,PJM
2009-01-03 15:00:00,89659.38,PJM
2009-01-03 16:00:00,87498.4,PJM
2009-01-03 17:00:00,86006.8,PJM
2009-01-03 18:00:00,84780.25,PJM
2009-01-03 19:00:00,83979.38,PJM
2009-01-03 20:00:00,84273.98,PJM
2009-01-03 21:00:00,85580.86,PJM
2009-01-03 22:00:00,89022.11,PJM
2009-01-03 23:00:00,91129.28,PJM
2009-01-04 00:00:00,100561.77,PJM
2009-01-04 01:00:00,98495.7,PJM
2009-01-04 02:00:00,96234.65,PJM
2009-01-04 03:00:00,93495.86,PJM
2009-01-04 04:00:00,90696.33,PJM
2009-01-04 05:00:00,87736.85,PJM
2009-01-04 06:00:00,85112.21,PJM
2009-01-04 07:00:00,82534.64,PJM
2009-01-04 08:00:00,81162.27,PJM
2009-01-04 09:00:00,81516.76,PJM
2009-01-04 10:00:00,82383.49,PJM
2009-01-04 11:00:00,83398.58,PJM
2009-01-04 12:00:00,84662.41,PJM
2009-01-04 13:00:00,86366.46,PJM
2009-01-04 14:00:00,87910.13,PJM
2009-01-04 15:00:00,87101.46,PJM
2009-01-04 16:00:00,86383.94,PJM
2009-01-04 17:00:00,85698.37,PJM
2009-01-04 18:00:00,85051.11,PJM
2009-01-04 19:00:00,84430.25,PJM
2009-01-04 20:00:00,84243.2,PJM
2009-01-04 21:00:00,85028.67,PJM
2009-01-04 22:00:00,87490.21,PJM
2009-01-04 23:00:00,89301.72,PJM
2009-01-05 00:00:00,102311.98,PJM
2009-01-05 01:00:00,99752.78,PJM
2009-01-05 02:00:00,97246.0,PJM
2009-01-05 03:00:00,94607.95,PJM
2009-01-05 04:00:00,92088.08,PJM
2009-01-05 05:00:00,89132.82,PJM
2009-01-05 06:00:00,85974.54,PJM
2009-01-05 07:00:00,83344.32,PJM
2009-01-05 08:00:00,82732.14,PJM
2009-01-05 09:00:00,83917.58,PJM
2009-01-05 10:00:00,86581.46,PJM
2009-01-05 11:00:00,88835.4,PJM
2009-01-05 12:00:00,91015.74,PJM
2009-01-05 13:00:00,94287.48,PJM
2009-01-05 14:00:00,97403.48,PJM
2009-01-05 15:00:00,96717.25,PJM
2009-01-05 16:00:00,95815.98,PJM
2009-01-05 17:00:00,95184.35,PJM
2009-01-05 18:00:00,93801.87,PJM
2009-01-05 19:00:00,93205.33,PJM
2009-01-05 20:00:00,92892.89,PJM
2009-01-05 21:00:00,93591.08,PJM
2009-01-05 22:00:00,96066.16,PJM
2009-01-05 23:00:00,98562.65,PJM
2009-01-06 00:00:00,104679.75,PJM
2009-01-06 01:00:00,102058.77,PJM
2009-01-06 02:00:00,99327.79,PJM
2009-01-06 03:00:00,96682.78,PJM
2009-01-06 04:00:00,93616.13,PJM
2009-01-06 05:00:00,90624.08,PJM
2009-01-06 06:00:00,88131.01,PJM
2009-01-06 07:00:00,85346.61,PJM
2009-01-06 08:00:00,85278.24,PJM
2009-01-06 09:00:00,87236.4,PJM
2009-01-06 10:00:00,90012.59,PJM
2009-01-06 11:00:00,92782.4,PJM
2009-01-06 12:00:00,95411.63,PJM
2009-01-06 13:00:00,98849.66,PJM
2009-01-06 14:00:00,102151.39,PJM
2009-01-06 15:00:00,102241.36,PJM
2009-01-06 16:00:00,101483.19,PJM
2009-01-06 17:00:00,100691.95,PJM
2009-01-06 18:00:00,100188.35,PJM
2009-01-06 19:00:00,99963.14,PJM
2009-01-06 20:00:00,100269.65,PJM
2009-01-06 21:00:00,100747.25,PJM
2009-01-06 22:00:00,101455.4,PJM
2009-01-06 23:00:00,101932.06,PJM
2009-01-07 00:00:00,105830.05,PJM
2009-01-07 01:00:00,102157.57,PJM
2009-01-07 02:00:00,98476.19,PJM
2009-01-07 03:00:00,94635.42,PJM
2009-01-07 04:00:00,90517.8,PJM
2009-01-07 05:00:00,86372.07,PJM
2009-01-07 06:00:00,82680.39,PJM
2009-01-07 07:00:00,79636.57,PJM
2009-01-07 08:00:00,79114.1,PJM
2009-01-07 09:00:00,80241.24,PJM
2009-01-07 10:00:00,82223.92,PJM
2009-01-07 11:00:00,84264.79,PJM
2009-01-07 12:00:00,86454.66,PJM
2009-01-07 13:00:00,89990.24,PJM
2009-01-07 14:00:00,94045.02,PJM
2009-01-07 15:00:00,95440.05,PJM
2009-01-07 16:00:00,95413.23,PJM
2009-01-07 17:00:00,94815.66,PJM
2009-01-07 18:00:00,94883.77,PJM
2009-01-07 19:00:00,95161.56,PJM
2009-01-07 20:00:00,95031.39,PJM
2009-01-07 21:00:00,94881.62,PJM
2009-01-07 22:00:00,95557.4,PJM
2009-01-07 23:00:00,97036.25,PJM
2009-01-08 00:00:00,104073.24,PJM
2009-01-08 01:00:00,101436.81,PJM
2009-01-08 02:00:00,97429.16,PJM
2009-01-08 03:00:00,93703.65,PJM
2009-01-08 04:00:00,91007.16,PJM
2009-01-08 05:00:00,88852.72,PJM
2009-01-08 06:00:00,86573.95,PJM
2009-01-08 07:00:00,84028.78,PJM
2009-01-08 08:00:00,82563.26,PJM
2009-01-08 09:00:00,84311.32,PJM
2009-01-08 10:00:00,87628.14,PJM
2009-01-08 11:00:00,90832.66,PJM
2009-01-08 12:00:00,94081.67,PJM
2009-01-08 13:00:00,100317.32,PJM
2009-01-08 14:00:00,103079.15,PJM
2009-01-08 15:00:00,102218.24,PJM
2009-01-08 16:00:00,100475.68,PJM
2009-01-08 17:00:00,98979.42,PJM
2009-01-08 18:00:00,97932.26,PJM
2009-01-08 19:00:00,97318.27,PJM
2009-01-08 20:00:00,96918.13,PJM
2009-01-08 21:00:00,97632.49,PJM
2009-01-08 22:00:00,100392.76,PJM
2009-01-08 23:00:00,103377.28,PJM
2009-01-09 00:00:00,111238.6,PJM
2009-01-09 01:00:00,108312.96,PJM
2009-01-09 02:00:00,105077.87,PJM
2009-01-09 03:00:00,102069.42,PJM
2009-01-09 04:00:00,99073.76,PJM
2009-01-09 05:00:00,96010.97,PJM
2009-01-09 06:00:00,93129.76,PJM
2009-01-09 07:00:00,90374.13,PJM
2009-01-09 08:00:00,89515.67,PJM
2009-01-09 09:00:00,91442.76,PJM
2009-01-09 10:00:00,94730.81,PJM
2009-01-09 11:00:00,97996.95,PJM
2009-01-09 12:00:00,100909.67,PJM
2009-01-09 13:00:00,105972.69,PJM
2009-01-09 14:00:00,108235.37,PJM
2009-01-09 15:00:00,107014.33,PJM
2009-01-09 16:00:00,104303.85,PJM
2009-01-09 17:00:00,101731.11,PJM
2009-01-09 18:00:00,99686.33,PJM
2009-01-09 19:00:00,97954.04,PJM
2009-01-09 20:00:00,97524.1,PJM
2009-01-09 21:00:00,97393.01,PJM
2009-01-09 22:00:00,100221.57,PJM
2009-01-09 23:00:00,102774.64,PJM
2009-01-10 00:00:00,102904.25,PJM
2009-01-10 01:00:00,100642.54,PJM
2009-01-10 02:00:00,98283.56,PJM
2009-01-10 03:00:00,95895.98,PJM
2009-01-10 04:00:00,92917.76,PJM
2009-01-10 05:00:00,90187.93,PJM
2009-01-10 06:00:00,87596.01,PJM
2009-01-10 07:00:00,85185.87,PJM
2009-01-10 08:00:00,84003.09,PJM
2009-01-10 09:00:00,84454.66,PJM
2009-01-10 10:00:00,85759.61,PJM
2009-01-10 11:00:00,86977.52,PJM
2009-01-10 12:00:00,88531.65,PJM
2009-01-10 13:00:00,91254.36,PJM
2009-01-10 14:00:00,93686.0,PJM
2009-01-10 15:00:00,93108.44,PJM
2009-01-10 16:00:00,92225.76,PJM
2009-01-10 17:00:00,91399.26,PJM
2009-01-10 18:00:00,90914.13,PJM
2009-01-10 19:00:00,90443.43,PJM
2009-01-10 20:00:00,90328.82,PJM
2009-01-10 21:00:00,90673.05,PJM
2009-01-10 22:00:00,91922.79,PJM
2009-01-10 23:00:00,93304.19,PJM
2009-01-11 00:00:00,100666.77,PJM
2009-01-11 01:00:00,98417.64,PJM
2009-01-11 02:00:00,95834.87,PJM
2009-01-11 03:00:00,93394.9,PJM
2009-01-11 04:00:00,90715.2,PJM
2009-01-11 05:00:00,88015.72,PJM
2009-01-11 06:00:00,85693.23,PJM
2009-01-11 07:00:00,83790.53,PJM
2009-01-11 08:00:00,82902.43,PJM
2009-01-11 09:00:00,84076.93,PJM
2009-01-11 10:00:00,85851.99,PJM
2009-01-11 11:00:00,87295.38,PJM
2009-01-11 12:00:00,88483.85,PJM
2009-01-11 13:00:00,90943.82,PJM
2009-01-11 14:00:00,93885.45,PJM
2009-01-11 15:00:00,94374.9,PJM
2009-01-11 16:00:00,93856.23,PJM
2009-01-11 17:00:00,92073.94,PJM
2009-01-11 18:00:00,91047.14,PJM
2009-01-11 19:00:00,90450.55,PJM
2009-01-11 20:00:00,89719.22,PJM
2009-01-11 21:00:00,89873.14,PJM
2009-01-11 22:00:00,93678.32,PJM
2009-01-11 23:00:00,97046.81,PJM
2009-01-12 00:00:00,112026.08,PJM
2009-01-12 01:00:00,110075.89,PJM
2009-01-12 02:00:00,107773.16,PJM
2009-01-12 03:00:00,105082.51,PJM
2009-01-12 04:00:00,101931.56,PJM
2009-01-12 05:00:00,99011.47,PJM
2009-01-12 06:00:00,96299.8,PJM
2009-01-12 07:00:00,93790.98,PJM
2009-01-12 08:00:00,93495.69,PJM
2009-01-12 09:00:00,95327.93,PJM
2009-01-12 10:00:00,98068.43,PJM
2009-01-12 11:00:00,101113.32,PJM
2009-01-12 12:00:00,104323.18,PJM
2009-01-12 13:00:00,109345.24,PJM
2009-01-12 14:00:00,109809.36,PJM
2009-01-12 15:00:00,106828.53,PJM
2009-01-12 16:00:00,103316.83,PJM
2009-01-12 17:00:00,100238.35,PJM
2009-01-12 18:00:00,98343.49,PJM
2009-01-12 19:00:00,97336.85,PJM
2009-01-12 20:00:00,96863.56,PJM
2009-01-12 21:00:00,96985.89,PJM
2009-01-12 22:00:00,101042.37,PJM
2009-01-12 23:00:00,103633.58,PJM
2009-01-13 00:00:00,108682.24,PJM
2009-01-13 01:00:00,105693.92,PJM
2009-01-13 02:00:00,102856.48,PJM
2009-01-13 03:00:00,99777.17,PJM
2009-01-13 04:00:00,96409.8,PJM
2009-01-13 05:00:00,92978.92,PJM
2009-01-13 06:00:00,89619.65,PJM
2009-01-13 07:00:00,86373.06,PJM
2009-01-13 08:00:00,84788.78,PJM
2009-01-13 09:00:00,86136.08,PJM
2009-01-13 10:00:00,88150.6,PJM
2009-01-13 11:00:00,90566.4,PJM
2009-01-13 12:00:00,94038.13,PJM
2009-01-13 13:00:00,99778.01,PJM
2009-01-13 14:00:00,102029.84,PJM
2009-01-13 15:00:00,100481.82,PJM
2009-01-13 16:00:00,99569.48,PJM
2009-01-13 17:00:00,99082.46,PJM
2009-01-13 18:00:00,99181.77,PJM
2009-01-13 19:00:00,99373.88,PJM
2009-01-13 20:00:00,100172.64,PJM
2009-01-13 21:00:00,101834.27,PJM
2009-01-13 22:00:00,105726.05,PJM
2009-01-13 23:00:00,109184.07,PJM
2009-01-14 00:00:00,116062.23,PJM
2009-01-14 01:00:00,113786.0,PJM
2009-01-14 02:00:00,111201.4,PJM
2009-01-14 03:00:00,108094.93,PJM
2009-01-14 04:00:00,104878.48,PJM
2009-01-14 05:00:00,101783.11,PJM
2009-01-14 06:00:00,99633.98,PJM
2009-01-14 07:00:00,99110.07,PJM
2009-01-14 08:00:00,100250.11,PJM
2009-01-14 09:00:00,103379.94,PJM
2009-01-14 10:00:00,106645.25,PJM
2009-01-14 11:00:00,110553.84,PJM
2009-01-14 12:00:00,114066.98,PJM
2009-01-14 13:00:00,121052.54,PJM
2009-01-14 14:00:00,123216.51,PJM
2009-01-14 15:00:00,120550.91,PJM
2009-01-14 16:00:00,117506.76,PJM
2009-01-14 17:00:00,114584.28,PJM
2009-01-14 18:00:00,112149.73,PJM
2009-01-14 19:00:00,111086.83,PJM
2009-01-14 20:00:00,109480.18,PJM
2009-01-14 21:00:00,108647.96,PJM
2009-01-14 22:00:00,110940.29,PJM
2009-01-14 23:00:00,113255.54,PJM
2009-01-15 00:00:00,120443.31,PJM
2009-01-15 01:00:00,118254.0,PJM
2009-01-15 02:00:00,115368.17,PJM
2009-01-15 03:00:00,112737.64,PJM
2009-01-15 04:00:00,109891.35,PJM
2009-01-15 05:00:00,107096.0,PJM
2009-01-15 06:00:00,104979.08,PJM
2009-01-15 07:00:00,103834.48,PJM
2009-01-15 08:00:00,103958.33,PJM
2009-01-15 09:00:00,106426.61,PJM
2009-01-15 10:00:00,109259.67,PJM
2009-01-15 11:00:00,112757.71,PJM
2009-01-15 12:00:00,116025.29,PJM
2009-01-15 13:00:00,121861.07,PJM
2009-01-15 14:00:00,124866.0,PJM
2009-01-15 15:00:00,122102.64,PJM
2009-01-15 16:00:00,118832.65,PJM
2009-01-15 17:00:00,116131.84,PJM
2009-01-15 18:00:00,114431.76,PJM
2009-01-15 19:00:00,113708.29,PJM
2009-01-15 20:00:00,114027.72,PJM
2009-01-15 21:00:00,115365.7,PJM
2009-01-15 22:00:00,119444.33,PJM
2009-01-15 23:00:00,124209.38,PJM
2009-01-16 00:00:00,130876.75,PJM
2009-01-16 01:00:00,129147.9,PJM
2009-01-16 02:00:00,127285.94,PJM
2009-01-16 03:00:00,125438.45,PJM
2009-01-16 04:00:00,123398.32,PJM
2009-01-16 05:00:00,121603.18,PJM
2009-01-16 06:00:00,119882.44,PJM
2009-01-16 07:00:00,119058.35,PJM
2009-01-16 08:00:00,119328.73,PJM
2009-01-16 09:00:00,121943.32,PJM
2009-01-16 10:00:00,124829.65,PJM
2009-01-16 11:00:00,128516.97,PJM
2009-01-16 12:00:00,131923.5,PJM
2009-01-16 13:00:00,138798.03,PJM
2009-01-16 14:00:00,139785.6,PJM
2009-01-16 15:00:00,136706.26,PJM
2009-01-16 16:00:00,132531.92,PJM
2009-01-16 17:00:00,128333.04,PJM
2009-01-16 18:00:00,124497.68,PJM
2009-01-16 19:00:00,121559.31,PJM
2009-01-16 20:00:00,119631.54,PJM
2009-01-16 21:00:00,119656.78,PJM
2009-01-16 22:00:00,122970.58,PJM
2009-01-16 23:00:00,128817.51,PJM
2009-01-17 00:00:00,129545.08,PJM
2009-01-17 01:00:00,127925.45,PJM
2009-01-17 02:00:00,126077.91,PJM
2009-01-17 03:00:00,124257.24,PJM
2009-01-17 04:00:00,122316.41,PJM
2009-01-17 05:00:00,120216.82,PJM
2009-01-17 06:00:00,118568.51,PJM
2009-01-17 07:00:00,117136.93,PJM
2009-01-17 08:00:00,116405.13,PJM
2009-01-17 09:00:00,116739.49,PJM
2009-01-17 10:00:00,117489.01,PJM
2009-01-17 11:00:00,118485.12,PJM
2009-01-17 12:00:00,119610.41,PJM
2009-01-17 13:00:00,120686.42,PJM
2009-01-17 14:00:00,119337.09,PJM
2009-01-17 15:00:00,114240.56,PJM
2009-01-17 16:00:00,110052.76,PJM
2009-01-17 17:00:00,107156.15,PJM
2009-01-17 18:00:00,104962.43,PJM
2009-01-17 19:00:00,103109.74,PJM
2009-01-17 20:00:00,102761.53,PJM
2009-01-17 21:00:00,102774.33,PJM
2009-01-17 22:00:00,104908.05,PJM
2009-01-17 23:00:00,106778.95,PJM
2009-01-18 00:00:00,116490.2,PJM
2009-01-18 01:00:00,113258.83,PJM
2009-01-18 02:00:00,110317.99,PJM
2009-01-18 03:00:00,107160.95,PJM
2009-01-18 04:00:00,103663.71,PJM
2009-01-18 05:00:00,100490.26,PJM
2009-01-18 06:00:00,97209.19,PJM
2009-01-18 07:00:00,94753.69,PJM
2009-01-18 08:00:00,93462.14,PJM
2009-01-18 09:00:00,93058.26,PJM
2009-01-18 10:00:00,94322.38,PJM
2009-01-18 11:00:00,95865.57,PJM
2009-01-18 12:00:00,97132.07,PJM
2009-01-18 13:00:00,98385.43,PJM
2009-01-18 14:00:00,101059.32,PJM
2009-01-18 15:00:00,100933.17,PJM
2009-01-18 16:00:00,99955.23,PJM
2009-01-18 17:00:00,98231.45,PJM
2009-01-18 18:00:00,96481.91,PJM
2009-01-18 19:00:00,94865.77,PJM
2009-01-18 20:00:00,93653.18,PJM
2009-01-18 21:00:00,93185.99,PJM
2009-01-18 22:00:00,95133.74,PJM
2009-01-18 23:00:00,98127.21,PJM
2009-01-19 00:00:00,104053.74,PJM
2009-01-19 01:00:00,102705.38,PJM
2009-01-19 02:00:00,100379.95,PJM
2009-01-19 03:00:00,97949.19,PJM
2009-01-19 04:00:00,95915.25,PJM
2009-01-19 05:00:00,94110.28,PJM
2009-01-19 06:00:00,92539.61,PJM
2009-01-19 07:00:00,91775.96,PJM
2009-01-19 08:00:00,91404.56,PJM
2009-01-19 09:00:00,92458.53,PJM
2009-01-19 10:00:00,94481.87,PJM
2009-01-19 11:00:00,97920.48,PJM
2009-01-19 12:00:00,100798.44,PJM
2009-01-19 13:00:00,105750.57,PJM
2009-01-19 14:00:00,105992.38,PJM
2009-01-19 15:00:00,101357.57,PJM
2009-01-19 16:00:00,98242.34,PJM
2009-01-19 17:00:00,97005.32,PJM
2009-01-19 18:00:00,96312.23,PJM
2009-01-19 19:00:00,95642.36,PJM
2009-01-19 20:00:00,95089.48,PJM
2009-01-19 21:00:00,95910.69,PJM
2009-01-19 22:00:00,100444.29,PJM
2009-01-19 23:00:00,105755.75,PJM
2009-01-20 00:00:00,116872.75,PJM
2009-01-20 01:00:00,114844.36,PJM
2009-01-20 02:00:00,112709.71,PJM
2009-01-20 03:00:00,110441.44,PJM
2009-01-20 04:00:00,107980.39,PJM
2009-01-20 05:00:00,105355.52,PJM
2009-01-20 06:00:00,103011.35,PJM
2009-01-20 07:00:00,101196.87,PJM
2009-01-20 08:00:00,101570.48,PJM
2009-01-20 09:00:00,103740.07,PJM
2009-01-20 10:00:00,106531.69,PJM
2009-01-20 11:00:00,109547.83,PJM
2009-01-20 12:00:00,112884.14,PJM
2009-01-20 13:00:00,118851.56,PJM
2009-01-20 14:00:00,119969.73,PJM
2009-01-20 15:00:00,115764.73,PJM
2009-01-20 16:00:00,111491.02,PJM
2009-01-20 17:00:00,108250.51,PJM
2009-01-20 18:00:00,106238.68,PJM
2009-01-20 19:00:00,104716.24,PJM
2009-01-20 20:00:00,104081.81,PJM
2009-01-20 21:00:00,104538.56,PJM
2009-01-20 22:00:00,107907.28,PJM
2009-01-20 23:00:00,113431.96,PJM
2009-01-21 00:00:00,121677.56,PJM
2009-01-21 01:00:00,119721.01,PJM
2009-01-21 02:00:00,117582.62,PJM
2009-01-21 03:00:00,115263.32,PJM
2009-01-21 04:00:00,112727.73,PJM
2009-01-21 05:00:00,110079.54,PJM
2009-01-21 06:00:00,107609.24,PJM
2009-01-21 07:00:00,105887.45,PJM
2009-01-21 08:00:00,106050.44,PJM
2009-01-21 09:00:00,108139.8,PJM
2009-01-21 10:00:00,110907.62,PJM
2009-01-21 11:00:00,114251.87,PJM
2009-01-21 12:00:00,117725.36,PJM
2009-01-21 13:00:00,124217.75,PJM
2009-01-21 14:00:00,123212.65,PJM
2009-01-21 15:00:00,117752.91,PJM
2009-01-21 16:00:00,111841.55,PJM
2009-01-21 17:00:00,107343.49,PJM
2009-01-21 18:00:00,104366.45,PJM
2009-01-21 19:00:00,102130.14,PJM
2009-01-21 20:00:00,100492.15,PJM
2009-01-21 21:00:00,100142.9,PJM
2009-01-21 22:00:00,103784.48,PJM
2009-01-21 23:00:00,108118.92,PJM
2009-01-22 00:00:00,116482.99,PJM
2009-01-22 01:00:00,114033.71,PJM
2009-01-22 02:00:00,110989.62,PJM
2009-01-22 03:00:00,108094.8,PJM
2009-01-22 04:00:00,104881.02,PJM
2009-01-22 05:00:00,101477.92,PJM
2009-01-22 06:00:00,98281.77,PJM
2009-01-22 07:00:00,95287.73,PJM
2009-01-22 08:00:00,94727.28,PJM
2009-01-22 09:00:00,96242.81,PJM
2009-01-22 10:00:00,98836.38,PJM
2009-01-22 11:00:00,101851.17,PJM
2009-01-22 12:00:00,105005.38,PJM
2009-01-22 13:00:00,110572.51,PJM
2009-01-22 14:00:00,109941.37,PJM
2009-01-22 15:00:00,104838.66,PJM
2009-01-22 16:00:00,99802.39,PJM
2009-01-22 17:00:00,96146.48,PJM
2009-01-22 18:00:00,93420.33,PJM
2009-01-22 19:00:00,91415.63,PJM
2009-01-22 20:00:00,89922.72,PJM
2009-01-22 21:00:00,89484.12,PJM
2009-01-22 22:00:00,92666.22,PJM
2009-01-22 23:00:00,97541.14,PJM
2009-01-23 00:00:00,105517.1,PJM
2009-01-23 01:00:00,103569.46,PJM
2009-01-23 02:00:00,101177.91,PJM
2009-01-23 03:00:00,98532.63,PJM
2009-01-23 04:00:00,95693.91,PJM
2009-01-23 05:00:00,92688.68,PJM
2009-01-23 06:00:00,89721.21,PJM
2009-01-23 07:00:00,86824.67,PJM
2009-01-23 08:00:00,85819.27,PJM
2009-01-23 09:00:00,87393.59,PJM
2009-01-23 10:00:00,89745.1,PJM
2009-01-23 11:00:00,92470.97,PJM
2009-01-23 12:00:00,94895.83,PJM
2009-01-23 13:00:00,99414.69,PJM
2009-01-23 14:00:00,99350.66,PJM
2009-01-23 15:00:00,96321.5,PJM
2009-01-23 16:00:00,93867.76,PJM
2009-01-23 17:00:00,91545.49,PJM
2009-01-23 18:00:00,89489.35,PJM
2009-01-23 19:00:00,87813.21,PJM
2009-01-23 20:00:00,87349.43,PJM
2009-01-23 21:00:00,88365.02,PJM
2009-01-23 22:00:00,92029.7,PJM
2009-01-23 23:00:00,94837.41,PJM
2009-01-24 00:00:00,98031.76,PJM
2009-01-24 01:00:00,96750.88,PJM
2009-01-24 02:00:00,95528.37,PJM
2009-01-24 03:00:00,93734.31,PJM
2009-01-24 04:00:00,91335.71,PJM
2009-01-24 05:00:00,88875.82,PJM
2009-01-24 06:00:00,86244.7,PJM
2009-01-24 07:00:00,84678.47,PJM
2009-01-24 08:00:00,84554.29,PJM
2009-01-24 09:00:00,85745.18,PJM
2009-01-24 10:00:00,88367.85,PJM
2009-01-24 11:00:00,91447.84,PJM
2009-01-24 12:00:00,94393.34,PJM
2009-01-24 13:00:00,98709.77,PJM
2009-01-24 14:00:00,102943.82,PJM
2009-01-24 15:00:00,104342.38,PJM
2009-01-24 16:00:00,103144.88,PJM
2009-01-24 17:00:00,101977.86,PJM
2009-01-24 18:00:00,100290.67,PJM
2009-01-24 19:00:00,98901.6,PJM
2009-01-24 20:00:00,98529.92,PJM
2009-01-24 21:00:00,99283.6,PJM
2009-01-24 22:00:00,102730.29,PJM
2009-01-24 23:00:00,107707.08,PJM
2009-01-25 00:00:00,118871.06,PJM
2009-01-25 01:00:00,117152.04,PJM
2009-01-25 02:00:00,114821.0,PJM
2009-01-25 03:00:00,112384.77,PJM
2009-01-25 04:00:00,109928.82,PJM
2009-01-25 05:00:00,107473.58,PJM
2009-01-25 06:00:00,105638.98,PJM
2009-01-25 07:00:00,104184.67,PJM
2009-01-25 08:00:00,103648.0,PJM
2009-01-25 09:00:00,103818.49,PJM
2009-01-25 10:00:00,105204.15,PJM
2009-01-25 11:00:00,106780.29,PJM
2009-01-25 12:00:00,108605.05,PJM
2009-01-25 13:00:00,110909.93,PJM
2009-01-25 14:00:00,110995.72,PJM
2009-01-25 15:00:00,108591.12,PJM
2009-01-25 16:00:00,106472.97,PJM
2009-01-25 17:00:00,104757.35,PJM
2009-01-25 18:00:00,103403.76,PJM
