Time_UTC,Load,BA
2009-01-01 00:00:00,1560.91,PNM
2009-01-01 01:00:00,1660.15,PNM
2009-01-01 02:00:00,1713.88,PNM
2009-01-01 03:00:00,1711.69,PNM
2009-01-01 04:00:00,1675.46,PNM
2009-01-01 05:00:00,1609.18,PNM
2009-01-01 06:00:00,1544.58,PNM
2009-01-01 07:00:00,1484.31,PNM
2009-01-01 08:00:00,1430.0,PNM
2009-01-01 09:00:00,1406.01,PNM
2009-01-01 10:00:00,1413.63,PNM
2009-01-01 11:00:00,1436.0,PNM
2009-01-01 12:00:00,1460.58,PNM
2009-01-01 13:00:00,1487.19,PNM
2009-01-01 14:00:00,1513.69,PNM
2009-01-01 15:00:00,1582.27,PNM
2009-01-01 16:00:00,1605.89,PNM
2009-01-01 17:00:00,1598.51,PNM
2009-01-01 18:00:00,1571.2,PNM
2009-01-01 19:00:00,1537.4,PNM
2009-01-01 20:00:00,1509.96,PNM
2009-01-01 21:00:00,1483.98,PNM
2009-01-01 22:00:00,1470.33,PNM
2009-01-01 23:00:00,1495.64,PNM
2009-01-02 00:00:00,1620.12,PNM
2009-01-02 01:00:00,1708.53,PNM
2009-01-02 02:00:00,1787.46,PNM
2009-01-02 03:00:00,1821.09,PNM
2009-01-02 04:00:00,1767.59,PNM
2009-01-02 05:00:00,1678.66,PNM
2009-01-02 06:00:00,1589.34,PNM
2009-01-02 07:00:00,1503.1,PNM
2009-01-02 08:00:00,1443.0,PNM
2009-01-02 09:00:00,1409.52,PNM
2009-01-02 10:00:00,1439.51,PNM
2009-01-02 11:00:00,1480.72,PNM
2009-01-02 12:00:00,1521.17,PNM
2009-01-02 13:00:00,1562.13,PNM
2009-01-02 14:00:00,1605.37,PNM
2009-01-02 15:00:00,1700.17,PNM
2009-01-02 16:00:00,1682.67,PNM
2009-01-02 17:00:00,1649.04,PNM
2009-01-02 18:00:00,1611.1,PNM
2009-01-02 19:00:00,1579.45,PNM
2009-01-02 20:00:00,1556.1,PNM
2009-01-02 21:00:00,1541.81,PNM
2009-01-02 22:00:00,1532.5,PNM
2009-01-02 23:00:00,1570.46,PNM
2009-01-03 00:00:00,1576.96,PNM
2009-01-03 01:00:00,1668.05,PNM
2009-01-03 02:00:00,1735.95,PNM
2009-01-03 03:00:00,1775.68,PNM
2009-01-03 04:00:00,1734.39,PNM
2009-01-03 05:00:00,1661.3,PNM
2009-01-03 06:00:00,1585.82,PNM
2009-01-03 07:00:00,1513.0,PNM
2009-01-03 08:00:00,1463.04,PNM
2009-01-03 09:00:00,1424.71,PNM
2009-01-03 10:00:00,1412.26,PNM
2009-01-03 11:00:00,1423.08,PNM
2009-01-03 12:00:00,1441.78,PNM
2009-01-03 13:00:00,1474.97,PNM
2009-01-03 14:00:00,1506.56,PNM
2009-01-03 15:00:00,1545.06,PNM
2009-01-03 16:00:00,1549.54,PNM
2009-01-03 17:00:00,1530.4,PNM
2009-01-03 18:00:00,1507.19,PNM
2009-01-03 19:00:00,1488.88,PNM
2009-01-03 20:00:00,1469.76,PNM
2009-01-03 21:00:00,1455.74,PNM
2009-01-03 22:00:00,1451.09,PNM
2009-01-03 23:00:00,1443.85,PNM
2009-01-04 00:00:00,1580.02,PNM
2009-01-04 01:00:00,1684.85,PNM
2009-01-04 02:00:00,1766.36,PNM
2009-01-04 03:00:00,1811.54,PNM
2009-01-04 04:00:00,1763.89,PNM
2009-01-04 05:00:00,1687.15,PNM
2009-01-04 06:00:00,1609.38,PNM
2009-01-04 07:00:00,1542.95,PNM
2009-01-04 08:00:00,1480.54,PNM
2009-01-04 09:00:00,1441.76,PNM
2009-01-04 10:00:00,1437.02,PNM
2009-01-04 11:00:00,1448.26,PNM
2009-01-04 12:00:00,1467.91,PNM
2009-01-04 13:00:00,1489.6,PNM
2009-01-04 14:00:00,1511.12,PNM
2009-01-04 15:00:00,1546.16,PNM
2009-01-04 16:00:00,1576.49,PNM
2009-01-04 17:00:00,1601.47,PNM
2009-01-04 18:00:00,1609.81,PNM
2009-01-04 19:00:00,1605.13,PNM
2009-01-04 20:00:00,1598.28,PNM
2009-01-04 21:00:00,1584.2,PNM
2009-01-04 22:00:00,1567.95,PNM
2009-01-04 23:00:00,1566.17,PNM
2009-01-05 00:00:00,1737.39,PNM
2009-01-05 01:00:00,1828.74,PNM
2009-01-05 02:00:00,1909.1,PNM
2009-01-05 03:00:00,1937.94,PNM
2009-01-05 04:00:00,1868.63,PNM
2009-01-05 05:00:00,1782.3,PNM
2009-01-05 06:00:00,1697.56,PNM
2009-01-05 07:00:00,1628.36,PNM
2009-01-05 08:00:00,1583.89,PNM
2009-01-05 09:00:00,1570.42,PNM
2009-01-05 10:00:00,1595.59,PNM
2009-01-05 11:00:00,1633.65,PNM
2009-01-05 12:00:00,1671.73,PNM
2009-01-05 13:00:00,1711.38,PNM
2009-01-05 14:00:00,1756.21,PNM
2009-01-05 15:00:00,1845.78,PNM
2009-01-05 16:00:00,1858.32,PNM
2009-01-05 17:00:00,1832.44,PNM
2009-01-05 18:00:00,1794.15,PNM
2009-01-05 19:00:00,1747.63,PNM
2009-01-05 20:00:00,1698.09,PNM
