Time_UTC,Load,BA
2009-01-01 00:00:00,5298.11,PSCO
2009-01-01 01:00:00,5432.44,PSCO
2009-01-01 02:00:00,5533.04,PSCO
2009-01-01 03:00:00,5426.54,PSCO
2009-01-01 04:00:00,5182.11,PSCO
2009-01-01 05:00:00,4920.48,PSCO
2009-01-01 06:00:00,4683.07,PSCO
2009-01-01 07:00:00,4458.53,PSCO
2009-01-01 08:00:00,4265.8,PSCO
2009-01-01 09:00:00,4136.35,PSCO
2009-01-01 10:00:00,4080.83,PSCO
2009-01-01 11:00:00,4159.14,PSCO
2009-01-01 12:00:00,4322.69,PSCO
2009-01-01 13:00:00,4445.26,PSCO
2009-01-01 14:00:00,4563.41,PSCO
2009-01-01 15:00:00,4909.54,PSCO
2009-01-01 16:00:00,4950.51,PSCO
2009-01-01 17:00:00,4923.35,PSCO
2009-01-01 18:00:00,4938.73,PSCO
2009-01-01 19:00:00,4957.45,PSCO
2009-01-01 20:00:00,4986.44,PSCO
2009-01-01 21:00:00,5012.25,PSCO
2009-01-01 22:00:00,5051.2,PSCO
2009-01-01 23:00:00,5124.84,PSCO
2009-01-02 00:00:00,5568.83,PSCO
2009-01-02 01:00:00,5687.77,PSCO
2009-01-02 02:00:00,5797.27,PSCO
2009-01-02 03:00:00,5786.91,PSCO
2009-01-02 04:00:00,5517.32,PSCO
2009-01-02 05:00:00,5190.77,PSCO
2009-01-02 06:00:00,4862.13,PSCO
2009-01-02 07:00:00,4528.93,PSCO
2009-01-02 08:00:00,4279.62,PSCO
2009-01-02 09:00:00,4158.32,PSCO
2009-01-02 10:00:00,4225.91,PSCO
2009-01-02 11:00:00,4363.93,PSCO
2009-01-02 12:00:00,4504.25,PSCO
2009-01-02 13:00:00,4650.23,PSCO
2009-01-02 14:00:00,4795.7,PSCO
2009-01-02 15:00:00,5234.36,PSCO
2009-01-02 16:00:00,5250.2,PSCO
2009-01-02 17:00:00,5178.38,PSCO
2009-01-02 18:00:00,5111.31,PSCO
2009-01-02 19:00:00,5065.81,PSCO
2009-01-02 20:00:00,5039.59,PSCO
2009-01-02 21:00:00,5032.39,PSCO
2009-01-02 22:00:00,5037.55,PSCO
2009-01-02 23:00:00,5091.39,PSCO
2009-01-03 00:00:00,5147.36,PSCO
2009-01-03 01:00:00,5263.46,PSCO
2009-01-03 02:00:00,5337.19,PSCO
2009-01-03 03:00:00,5421.71,PSCO
2009-01-03 04:00:00,5248.84,PSCO
2009-01-03 05:00:00,4987.17,PSCO
2009-01-03 06:00:00,4721.69,PSCO
2009-01-03 07:00:00,4452.69,PSCO
2009-01-03 08:00:00,4270.47,PSCO
2009-01-03 09:00:00,4175.38,PSCO
2009-01-03 10:00:00,4132.19,PSCO
2009-01-03 11:00:00,4167.5,PSCO
2009-01-03 12:00:00,4226.04,PSCO
2009-01-03 13:00:00,4296.31,PSCO
2009-01-03 14:00:00,4379.72,PSCO
2009-01-03 15:00:00,4646.82,PSCO
2009-01-03 16:00:00,4809.75,PSCO
2009-01-03 17:00:00,4914.87,PSCO
2009-01-03 18:00:00,4978.99,PSCO
2009-01-03 19:00:00,5057.8,PSCO
2009-01-03 20:00:00,5094.57,PSCO
2009-01-03 21:00:00,5097.13,PSCO
2009-01-03 22:00:00,5111.33,PSCO
2009-01-03 23:00:00,5164.99,PSCO
2009-01-04 00:00:00,5709.87,PSCO
2009-01-04 01:00:00,5841.87,PSCO
2009-01-04 02:00:00,5930.31,PSCO
2009-01-04 03:00:00,5962.36,PSCO
2009-01-04 04:00:00,5721.74,PSCO
2009-01-04 05:00:00,5464.44,PSCO
2009-01-04 06:00:00,5221.04,PSCO
2009-01-04 07:00:00,5013.91,PSCO
2009-01-04 08:00:00,4890.23,PSCO
2009-01-04 09:00:00,4821.95,PSCO
2009-01-04 10:00:00,4818.39,PSCO
2009-01-04 11:00:00,4847.42,PSCO
2009-01-04 12:00:00,4926.36,PSCO
2009-01-04 13:00:00,5022.67,PSCO
