Time_UTC,Load,BA
2009-01-01 00:00:00,4447.43,PSEI
2009-01-01 01:00:00,4584.77,PSEI
2009-01-01 02:00:00,4654.2,PSEI
2009-01-01 03:00:00,4715.97,PSEI
2009-01-01 04:00:00,4646.56,PSEI
2009-01-01 05:00:00,4492.02,PSEI
2009-01-01 06:00:00,4294.91,PSEI
2009-01-01 07:00:00,4061.12,PSEI
2009-01-01 08:00:00,3848.58,PSEI
2009-01-01 09:00:00,3657.05,PSEI
2009-01-01 10:00:00,3552.64,PSEI
2009-01-01 11:00:00,3533.42,PSEI
2009-01-01 12:00:00,3638.92,PSEI
2009-01-01 13:00:00,3799.06,PSEI
2009-01-01 14:00:00,3987.31,PSEI
2009-01-01 15:00:00,4167.22,PSEI
2009-01-01 16:00:00,4307.49,PSEI
2009-01-01 17:00:00,4420.88,PSEI
2009-01-01 18:00:00,4457.19,PSEI
2009-01-01 19:00:00,4439.6,PSEI
2009-01-01 20:00:00,4393.61,PSEI
2009-01-01 21:00:00,4344.82,PSEI
2009-01-01 22:00:00,4347.89,PSEI
2009-01-01 23:00:00,4349.7,PSEI
2009-01-02 00:00:00,4374.35,PSEI
2009-01-02 01:00:00,4460.94,PSEI
2009-01-02 02:00:00,4506.81,PSEI
2009-01-02 03:00:00,4498.85,PSEI
2009-01-02 04:00:00,4427.09,PSEI
2009-01-02 05:00:00,4225.53,PSEI
2009-01-02 06:00:00,4011.17,PSEI
2009-01-02 07:00:00,3731.81,PSEI
2009-01-02 08:00:00,3497.03,PSEI
2009-01-02 09:00:00,3298.19,PSEI
2009-01-02 10:00:00,3194.65,PSEI
2009-01-02 11:00:00,3279.35,PSEI
2009-01-02 12:00:00,3525.6,PSEI
2009-01-02 13:00:00,3794.33,PSEI
2009-01-02 14:00:00,4117.49,PSEI
2009-01-02 15:00:00,4392.14,PSEI
2009-01-02 16:00:00,4627.76,PSEI
2009-01-02 17:00:00,4855.8,PSEI
2009-01-02 18:00:00,4882.81,PSEI
2009-01-02 19:00:00,4836.02,PSEI
2009-01-02 20:00:00,4769.83,PSEI
2009-01-02 21:00:00,4715.97,PSEI
2009-01-02 22:00:00,4648.5,PSEI
2009-01-02 23:00:00,4628.45,PSEI
2009-01-03 00:00:00,4625.34,PSEI
2009-01-03 01:00:00,4851.86,PSEI
2009-01-03 02:00:00,5035.93,PSEI
2009-01-03 03:00:00,5140.66,PSEI
2009-01-03 04:00:00,5033.98,PSEI
2009-01-03 05:00:00,4914.55,PSEI
2009-01-03 06:00:00,4774.02,PSEI
2009-01-03 07:00:00,4583.65,PSEI
2009-01-03 08:00:00,4388.7,PSEI
2009-01-03 09:00:00,4213.58,PSEI
2009-01-03 10:00:00,4077.22,PSEI
2009-01-03 11:00:00,4020.35,PSEI
2009-01-03 12:00:00,4095.85,PSEI
2009-01-03 13:00:00,4178.78,PSEI
2009-01-03 14:00:00,4250.22,PSEI
2009-01-03 15:00:00,4321.85,PSEI
2009-01-03 16:00:00,4369.61,PSEI
2009-01-03 17:00:00,4549.04,PSEI
2009-01-03 18:00:00,4654.26,PSEI
2009-01-03 19:00:00,4607.03,PSEI
2009-01-03 20:00:00,4520.47,PSEI
2009-01-03 21:00:00,4437.24,PSEI
2009-01-03 22:00:00,4355.9,PSEI
2009-01-03 23:00:00,4276.74,PSEI
2009-01-04 00:00:00,4383.5,PSEI
2009-01-04 01:00:00,4570.22,PSEI
2009-01-04 02:00:00,4728.43,PSEI
2009-01-04 03:00:00,4816.51,PSEI
2009-01-04 04:00:00,4761.55,PSEI
2009-01-04 05:00:00,4616.02,PSEI
2009-01-04 06:00:00,4376.22,PSEI
2009-01-04 07:00:00,4177.13,PSEI
2009-01-04 08:00:00,3985.12,PSEI
2009-01-04 09:00:00,3801.56,PSEI
2009-01-04 10:00:00,3647.96,PSEI
2009-01-04 11:00:00,3669.94,PSEI
2009-01-04 12:00:00,3806.46,PSEI
2009-01-04 13:00:00,3957.99,PSEI
2009-01-04 14:00:00,4138.59,PSEI
2009-01-04 15:00:00,4299.41,PSEI
2009-01-04 16:00:00,4414.46,PSEI
2009-01-04 17:00:00,4613.76,PSEI
2009-01-04 18:00:00,4687.44,PSEI
2009-01-04 19:00:00,4618.95,PSEI
2009-01-04 20:00:00,4518.29,PSEI
