Time_UTC,Load,BA
2009-01-01 00:00:00,2971.84,SCEG
2009-01-01 01:00:00,3059.9,SCEG
2009-01-01 02:00:00,3154.7,SCEG
2009-01-01 03:00:00,3125.58,SCEG
2009-01-01 04:00:00,3084.11,SCEG
2009-01-01 05:00:00,3021.06,SCEG
2009-01-01 06:00:00,2994.73,SCEG
2009-01-01 07:00:00,2989.38,SCEG
2009-01-01 08:00:00,3020.58,SCEG
2009-01-01 09:00:00,3110.13,SCEG
2009-01-01 10:00:00,3217.72,SCEG
2009-01-01 11:00:00,3334.68,SCEG
2009-01-01 12:00:00,3462.19,SCEG
2009-01-01 13:00:00,3686.22,SCEG
2009-01-01 14:00:00,3766.84,SCEG
2009-01-01 15:00:00,3667.92,SCEG
2009-01-01 16:00:00,3512.81,SCEG
2009-01-01 17:00:00,3351.2,SCEG
2009-01-01 18:00:00,3207.4,SCEG
2009-01-01 19:00:00,3107.64,SCEG
2009-01-01 20:00:00,3027.74,SCEG
2009-01-01 21:00:00,2987.68,SCEG
2009-01-01 22:00:00,3112.88,SCEG
2009-01-01 23:00:00,3242.47,SCEG
2009-01-02 00:00:00,3560.29,SCEG
2009-01-02 01:00:00,3607.61,SCEG
2009-01-02 02:00:00,3560.47,SCEG
2009-01-02 03:00:00,3416.78,SCEG
2009-01-02 04:00:00,3268.78,SCEG
2009-01-02 05:00:00,3148.13,SCEG
2009-01-02 06:00:00,3063.98,SCEG
2009-01-02 07:00:00,3011.22,SCEG
2009-01-02 08:00:00,3070.11,SCEG
2009-01-02 09:00:00,3153.31,SCEG
2009-01-02 10:00:00,3237.6,SCEG
2009-01-02 11:00:00,3316.43,SCEG
2009-01-02 12:00:00,3382.05,SCEG
2009-01-02 13:00:00,3515.85,SCEG
2009-01-02 14:00:00,3353.52,SCEG
2009-01-02 15:00:00,2981.94,SCEG
2009-01-02 16:00:00,2713.23,SCEG
2009-01-02 17:00:00,2592.22,SCEG
2009-01-02 18:00:00,2586.63,SCEG
2009-01-02 19:00:00,2606.03,SCEG
2009-01-02 20:00:00,2632.43,SCEG
2009-01-02 21:00:00,2655.15,SCEG
2009-01-02 22:00:00,2690.68,SCEG
2009-01-02 23:00:00,2732.96,SCEG
2009-01-03 00:00:00,2729.67,SCEG
2009-01-03 01:00:00,2729.02,SCEG
2009-01-03 02:00:00,2723.59,SCEG
2009-01-03 03:00:00,2639.93,SCEG
2009-01-03 04:00:00,2507.33,SCEG
2009-01-03 05:00:00,2417.19,SCEG
2009-01-03 06:00:00,2330.22,SCEG
2009-01-03 07:00:00,2282.55,SCEG
2009-01-03 08:00:00,2285.02,SCEG
2009-01-03 09:00:00,2347.56,SCEG
2009-01-03 10:00:00,2429.9,SCEG
2009-01-03 11:00:00,2490.99,SCEG
2009-01-03 12:00:00,2536.01,SCEG
2009-01-03 13:00:00,2570.01,SCEG
2009-01-03 14:00:00,2581.66,SCEG
2009-01-03 15:00:00,2598.57,SCEG
2009-01-03 16:00:00,2593.8,SCEG
2009-01-03 17:00:00,2578.39,SCEG
2009-01-03 18:00:00,2558.1,SCEG
2009-01-03 19:00:00,2533.89,SCEG
2009-01-03 20:00:00,2522.57,SCEG
2009-01-03 21:00:00,2508.44,SCEG
2009-01-03 22:00:00,2518.56,SCEG
2009-01-03 23:00:00,2525.45,SCEG
2009-01-04 00:00:00,2683.27,SCEG
2009-01-04 01:00:00,2668.12,SCEG
2009-01-04 02:00:00,2655.95,SCEG
2009-01-04 03:00:00,2573.62,SCEG
2009-01-04 04:00:00,2421.53,SCEG
2009-01-04 05:00:00,2294.57,SCEG
2009-01-04 06:00:00,2186.2,SCEG
2009-01-04 07:00:00,2115.69,SCEG
2009-01-04 08:00:00,2074.66,SCEG
2009-01-04 09:00:00,2069.8,SCEG
2009-01-04 10:00:00,2102.75,SCEG
2009-01-04 11:00:00,2154.96,SCEG
2009-01-04 12:00:00,2218.32,SCEG
2009-01-04 13:00:00,2266.9,SCEG
2009-01-04 14:00:00,2320.77,SCEG
2009-01-04 15:00:00,2318.21,SCEG
2009-01-04 16:00:00,2334.19,SCEG
2009-01-04 17:00:00,2338.76,SCEG
2009-01-04 18:00:00,2337.5,SCEG
2009-01-04 19:00:00,2357.83,SCEG
2009-01-04 20:00:00,2361.66,SCEG
2009-01-04 21:00:00,2365.12,SCEG
2009-01-04 22:00:00,2356.2,SCEG
2009-01-04 23:00:00,2377.76,SCEG
2009-01-05 00:00:00,2733.35,SCEG
2009-01-05 01:00:00,2719.84,SCEG
2009-01-05 02:00:00,2708.91,SCEG
2009-01-05 03:00:00,2551.54,SCEG
2009-01-05 04:00:00,2407.51,SCEG
2009-01-05 05:00:00,2256.52,SCEG
2009-01-05 06:00:00,2131.72,SCEG
2009-01-05 07:00:00,2052.0,SCEG
2009-01-05 08:00:00,2058.68,SCEG
2009-01-05 09:00:00,2134.08,SCEG
2009-01-05 10:00:00,2220.73,SCEG
2009-01-05 11:00:00,2304.71,SCEG
2009-01-05 12:00:00,2392.31,SCEG
2009-01-05 13:00:00,2499.18,SCEG
2009-01-05 14:00:00,2548.96,SCEG
2009-01-05 15:00:00,2546.72,SCEG
2009-01-05 16:00:00,2492.82,SCEG
2009-01-05 17:00:00,2437.89,SCEG
2009-01-05 18:00:00,2421.0,SCEG
2009-01-05 19:00:00,2431.39,SCEG
2009-01-05 20:00:00,2437.48,SCEG
2009-01-05 21:00:00,2445.57,SCEG
2009-01-05 22:00:00,2449.14,SCEG
2009-01-05 23:00:00,2471.11,SCEG
2009-01-06 00:00:00,2712.22,SCEG
2009-01-06 01:00:00,2703.5,SCEG
2009-01-06 02:00:00,2644.33,SCEG
2009-01-06 03:00:00,2493.76,SCEG
2009-01-06 04:00:00,2349.37,SCEG
2009-01-06 05:00:00,2202.08,SCEG
2009-01-06 06:00:00,2083.46,SCEG
2009-01-06 07:00:00,2023.68,SCEG
2009-01-06 08:00:00,2004.53,SCEG
2009-01-06 09:00:00,2061.83,SCEG
2009-01-06 10:00:00,2124.14,SCEG
2009-01-06 11:00:00,2194.68,SCEG
2009-01-06 12:00:00,2270.18,SCEG
2009-01-06 13:00:00,2359.13,SCEG
2009-01-06 14:00:00,2440.43,SCEG
2009-01-06 15:00:00,2464.63,SCEG
2009-01-06 16:00:00,2464.57,SCEG
2009-01-06 17:00:00,2440.88,SCEG
2009-01-06 18:00:00,2426.42,SCEG
2009-01-06 19:00:00,2418.71,SCEG
2009-01-06 20:00:00,2417.38,SCEG
2009-01-06 21:00:00,2430.72,SCEG
2009-01-06 22:00:00,2449.8,SCEG
