Time_UTC,Load,BA
2009-01-01 00:00:00,1406.71,SCL
2009-01-01 01:00:00,1428.86,SCL
2009-01-01 02:00:00,1447.34,SCL
2009-01-01 03:00:00,1477.46,SCL
2009-01-01 04:00:00,1481.82,SCL
2009-01-01 05:00:00,1443.44,SCL
2009-01-01 06:00:00,1383.21,SCL
2009-01-01 07:00:00,1313.07,SCL
2009-01-01 08:00:00,1255.9,SCL
2009-01-01 09:00:00,1200.45,SCL
2009-01-01 10:00:00,1154.23,SCL
2009-01-01 11:00:00,1146.57,SCL
2009-01-01 12:00:00,1179.25,SCL
2009-01-01 13:00:00,1231.47,SCL
2009-01-01 14:00:00,1280.8,SCL
2009-01-01 15:00:00,1344.77,SCL
2009-01-01 16:00:00,1396.45,SCL
2009-01-01 17:00:00,1459.08,SCL
2009-01-01 18:00:00,1476.61,SCL
2009-01-01 19:00:00,1469.49,SCL
2009-01-01 20:00:00,1448.68,SCL
2009-01-01 21:00:00,1428.8,SCL
2009-01-01 22:00:00,1429.04,SCL
2009-01-01 23:00:00,1436.65,SCL
2009-01-02 00:00:00,1472.3,SCL
2009-01-02 01:00:00,1481.83,SCL
2009-01-02 02:00:00,1481.62,SCL
2009-01-02 03:00:00,1470.61,SCL
2009-01-02 04:00:00,1454.83,SCL
2009-01-02 05:00:00,1395.22,SCL
2009-01-02 06:00:00,1329.7,SCL
2009-01-02 07:00:00,1239.33,SCL
2009-01-02 08:00:00,1172.34,SCL
2009-01-02 09:00:00,1111.46,SCL
2009-01-02 10:00:00,1059.17,SCL
2009-01-02 11:00:00,1074.87,SCL
2009-01-02 12:00:00,1146.57,SCL
2009-01-02 13:00:00,1233.73,SCL
2009-01-02 14:00:00,1336.65,SCL
2009-01-02 15:00:00,1426.14,SCL
2009-01-02 16:00:00,1515.1,SCL
2009-01-02 17:00:00,1607.87,SCL
2009-01-02 18:00:00,1625.85,SCL
2009-01-02 19:00:00,1620.98,SCL
2009-01-02 20:00:00,1609.86,SCL
2009-01-02 21:00:00,1618.29,SCL
2009-01-02 22:00:00,1618.49,SCL
2009-01-02 23:00:00,1604.97,SCL
2009-01-03 00:00:00,1488.36,SCL
2009-01-03 01:00:00,1560.26,SCL
2009-01-03 02:00:00,1591.23,SCL
2009-01-03 03:00:00,1598.68,SCL
2009-01-03 04:00:00,1555.76,SCL
2009-01-03 05:00:00,1521.41,SCL
2009-01-03 06:00:00,1478.0,SCL
2009-01-03 07:00:00,1415.98,SCL
2009-01-03 08:00:00,1365.23,SCL
2009-01-03 09:00:00,1319.43,SCL
2009-01-03 10:00:00,1279.12,SCL
2009-01-03 11:00:00,1245.7,SCL
2009-01-03 12:00:00,1256.57,SCL
2009-01-03 13:00:00,1299.44,SCL
2009-01-03 14:00:00,1338.89,SCL
2009-01-03 15:00:00,1362.09,SCL
2009-01-03 16:00:00,1373.87,SCL
2009-01-03 17:00:00,1435.29,SCL
2009-01-03 18:00:00,1471.92,SCL
2009-01-03 19:00:00,1457.31,SCL
2009-01-03 20:00:00,1440.4,SCL
2009-01-03 21:00:00,1436.02,SCL
2009-01-03 22:00:00,1430.1,SCL
2009-01-03 23:00:00,1410.29,SCL
