Time_UTC,Load,BA
2009-01-01 00:00:00,3237.4,SC
2009-01-01 01:00:00,3349.19,SC
2009-01-01 02:00:00,3392.3,SC
2009-01-01 03:00:00,3397.89,SC
2009-01-01 04:00:00,3382.51,SC
2009-01-01 05:00:00,3332.91,SC
2009-01-01 06:00:00,3282.37,SC
2009-01-01 07:00:00,3246.48,SC
2009-01-01 08:00:00,3217.87,SC
2009-01-01 09:00:00,3282.86,SC
2009-01-01 10:00:00,3381.62,SC
2009-01-01 11:00:00,3512.16,SC
2009-01-01 12:00:00,3641.96,SC
2009-01-01 13:00:00,3773.87,SC
2009-01-01 14:00:00,3743.48,SC
2009-01-01 15:00:00,3629.48,SC
2009-01-01 16:00:00,3407.1,SC
2009-01-01 17:00:00,3229.84,SC
2009-01-01 18:00:00,3092.15,SC
2009-01-01 19:00:00,2993.06,SC
2009-01-01 20:00:00,2910.91,SC
2009-01-01 21:00:00,2880.13,SC
2009-01-01 22:00:00,2975.07,SC
2009-01-01 23:00:00,3075.79,SC
2009-01-02 00:00:00,3759.71,SC
2009-01-02 01:00:00,3802.55,SC
2009-01-02 02:00:00,3734.68,SC
2009-01-02 03:00:00,3633.69,SC
2009-01-02 04:00:00,3512.72,SC
2009-01-02 05:00:00,3393.81,SC
2009-01-02 06:00:00,3349.58,SC
2009-01-02 07:00:00,3369.68,SC
2009-01-02 08:00:00,3429.55,SC
2009-01-02 09:00:00,3483.1,SC
2009-01-02 10:00:00,3537.07,SC
2009-01-02 11:00:00,3577.21,SC
2009-01-02 12:00:00,3583.34,SC
2009-01-02 13:00:00,3567.15,SC
2009-01-02 14:00:00,3295.18,SC
2009-01-02 15:00:00,2873.25,SC
2009-01-02 16:00:00,2631.16,SC
2009-01-02 17:00:00,2522.24,SC
2009-01-02 18:00:00,2499.82,SC
2009-01-02 19:00:00,2513.39,SC
2009-01-02 20:00:00,2517.27,SC
2009-01-02 21:00:00,2541.52,SC
2009-01-02 22:00:00,2578.57,SC
2009-01-02 23:00:00,2623.6,SC
2009-01-03 00:00:00,2828.6,SC
2009-01-03 01:00:00,2798.05,SC
2009-01-03 02:00:00,2744.03,SC
2009-01-03 03:00:00,2645.4,SC
2009-01-03 04:00:00,2547.37,SC
2009-01-03 05:00:00,2451.07,SC
2009-01-03 06:00:00,2388.35,SC
2009-01-03 07:00:00,2367.7,SC
2009-01-03 08:00:00,2392.01,SC
2009-01-03 09:00:00,2455.55,SC
2009-01-03 10:00:00,2509.08,SC
2009-01-03 11:00:00,2529.46,SC
2009-01-03 12:00:00,2544.18,SC
2009-01-03 13:00:00,2566.41,SC
2009-01-03 14:00:00,2559.99,SC
2009-01-03 15:00:00,2568.74,SC
2009-01-03 16:00:00,2562.17,SC
2009-01-03 17:00:00,2518.02,SC
2009-01-03 18:00:00,2455.38,SC
2009-01-03 19:00:00,2411.47,SC
2009-01-03 20:00:00,2376.33,SC
2009-01-03 21:00:00,2350.7,SC
2009-01-03 22:00:00,2369.53,SC
2009-01-03 23:00:00,2434.46,SC
