Time_UTC,Load,BA
2009-01-01 00:00:00,162.83,SEC
2009-01-01 01:00:00,159.58,SEC
2009-01-01 02:00:00,155.62,SEC
2009-01-01 03:00:00,149.41,SEC
2009-01-01 04:00:00,143.58,SEC
2009-01-01 05:00:00,142.41,SEC
2009-01-01 06:00:00,145.32,SEC
2009-01-01 07:00:00,146.92,SEC
2009-01-01 08:00:00,145.92,SEC
2009-01-01 09:00:00,149.77,SEC
2009-01-01 10:00:00,156.19,SEC
2009-01-01 11:00:00,160.96,SEC
2009-01-01 12:00:00,166.32,SEC
2009-01-01 13:00:00,174.55,SEC
2009-01-01 14:00:00,174.84,SEC
2009-01-01 15:00:00,170.69,SEC
2009-01-01 16:00:00,170.38,SEC
2009-01-01 17:00:00,172.62,SEC
2009-01-01 18:00:00,173.88,SEC
2009-01-01 19:00:00,173.87,SEC
2009-01-01 20:00:00,169.86,SEC
2009-01-01 21:00:00,163.44,SEC
2009-01-01 22:00:00,159.52,SEC
2009-01-01 23:00:00,171.29,SEC
2009-01-02 00:00:00,182.87,SEC
2009-01-02 01:00:00,171.93,SEC
2009-01-02 02:00:00,159.0,SEC
2009-01-02 03:00:00,146.39,SEC
2009-01-02 04:00:00,136.51,SEC
2009-01-02 05:00:00,126.59,SEC
2009-01-02 06:00:00,117.71,SEC
2009-01-02 07:00:00,119.32,SEC
2009-01-02 08:00:00,124.42,SEC
2009-01-02 09:00:00,131.39,SEC
2009-01-02 10:00:00,137.54,SEC
2009-01-02 11:00:00,143.93,SEC
2009-01-02 12:00:00,150.18,SEC
2009-01-02 13:00:00,149.1,SEC
2009-01-02 14:00:00,142.15,SEC
2009-01-02 15:00:00,135.06,SEC
2009-01-02 16:00:00,138.15,SEC
2009-01-02 17:00:00,140.61,SEC
2009-01-02 18:00:00,139.18,SEC
2009-01-02 19:00:00,137.72,SEC
2009-01-02 20:00:00,136.68,SEC
2009-01-02 21:00:00,134.92,SEC
2009-01-02 22:00:00,130.11,SEC
2009-01-02 23:00:00,135.04,SEC
2009-01-03 00:00:00,156.05,SEC
2009-01-03 01:00:00,144.52,SEC
2009-01-03 02:00:00,134.76,SEC
2009-01-03 03:00:00,125.27,SEC
2009-01-03 04:00:00,115.66,SEC
2009-01-03 05:00:00,106.45,SEC
2009-01-03 06:00:00,98.23,SEC
2009-01-03 07:00:00,94.97,SEC
2009-01-03 08:00:00,95.47,SEC
2009-01-03 09:00:00,98.69,SEC
2009-01-03 10:00:00,102.62,SEC
2009-01-03 11:00:00,105.94,SEC
2009-01-03 12:00:00,109.7,SEC
2009-01-03 13:00:00,112.44,SEC
2009-01-03 14:00:00,113.96,SEC
2009-01-03 15:00:00,117.3,SEC
2009-01-03 16:00:00,124.66,SEC
2009-01-03 17:00:00,129.33,SEC
2009-01-03 18:00:00,133.13,SEC
2009-01-03 19:00:00,137.15,SEC
2009-01-03 20:00:00,138.65,SEC
2009-01-03 21:00:00,137.23,SEC
2009-01-03 22:00:00,135.03,SEC
2009-01-03 23:00:00,136.48,SEC
2009-01-04 00:00:00,158.47,SEC
2009-01-04 01:00:00,146.46,SEC
2009-01-04 02:00:00,137.04,SEC
2009-01-04 03:00:00,125.86,SEC
2009-01-04 04:00:00,113.14,SEC
2009-01-04 05:00:00,100.92,SEC
2009-01-04 06:00:00,90.76,SEC
2009-01-04 07:00:00,83.93,SEC
2009-01-04 08:00:00,83.13,SEC
2009-01-04 09:00:00,85.12,SEC
2009-01-04 10:00:00,87.46,SEC
2009-01-04 11:00:00,91.0,SEC
2009-01-04 12:00:00,94.02,SEC
2009-01-04 13:00:00,98.33,SEC
2009-01-04 14:00:00,107.1,SEC
2009-01-04 15:00:00,126.31,SEC
2009-01-04 16:00:00,132.55,SEC
2009-01-04 17:00:00,135.58,SEC
2009-01-04 18:00:00,138.55,SEC
