Time_UTC,Load,BA
2009-01-01 00:00:00,27413.14,SOCO
2009-01-01 01:00:00,28366.16,SOCO
2009-01-01 02:00:00,28863.58,SOCO
2009-01-01 03:00:00,28223.68,SOCO
2009-01-01 04:00:00,27422.95,SOCO
2009-01-01 05:00:00,27108.96,SOCO
2009-01-01 06:00:00,27501.71,SOCO
2009-01-01 07:00:00,27787.48,SOCO
2009-01-01 08:00:00,28474.97,SOCO
2009-01-01 09:00:00,29472.54,SOCO
2009-01-01 10:00:00,30196.8,SOCO
2009-01-01 11:00:00,30754.84,SOCO
2009-01-01 12:00:00,31187.58,SOCO
2009-01-01 13:00:00,32328.17,SOCO
2009-01-01 14:00:00,31885.32,SOCO
2009-01-01 15:00:00,30488.71,SOCO
2009-01-01 16:00:00,28917.01,SOCO
2009-01-01 17:00:00,27480.17,SOCO
2009-01-01 18:00:00,26396.87,SOCO
2009-01-01 19:00:00,25575.77,SOCO
2009-01-01 20:00:00,24952.87,SOCO
2009-01-01 21:00:00,24268.92,SOCO
2009-01-01 22:00:00,23844.3,SOCO
2009-01-01 23:00:00,25178.0,SOCO
2009-01-02 00:00:00,29468.15,SOCO
2009-01-02 01:00:00,30274.85,SOCO
2009-01-02 02:00:00,30076.16,SOCO
2009-01-02 03:00:00,28997.7,SOCO
2009-01-02 04:00:00,27835.91,SOCO
2009-01-02 05:00:00,26677.18,SOCO
2009-01-02 06:00:00,25606.57,SOCO
2009-01-02 07:00:00,25043.08,SOCO
2009-01-02 08:00:00,25629.46,SOCO
2009-01-02 09:00:00,26344.44,SOCO
2009-01-02 10:00:00,26870.55,SOCO
2009-01-02 11:00:00,27119.23,SOCO
2009-01-02 12:00:00,27131.02,SOCO
2009-01-02 13:00:00,27703.99,SOCO
2009-01-02 14:00:00,28941.23,SOCO
2009-01-02 15:00:00,28445.61,SOCO
2009-01-02 16:00:00,27161.74,SOCO
2009-01-02 17:00:00,26366.39,SOCO
2009-01-02 18:00:00,25450.95,SOCO
2009-01-02 19:00:00,24968.29,SOCO
2009-01-02 20:00:00,24460.56,SOCO
2009-01-02 21:00:00,24178.99,SOCO
2009-01-02 22:00:00,24284.06,SOCO
2009-01-02 23:00:00,24610.33,SOCO
2009-01-03 00:00:00,24568.9,SOCO
2009-01-03 01:00:00,25053.14,SOCO
2009-01-03 02:00:00,24931.78,SOCO
2009-01-03 03:00:00,23798.75,SOCO
2009-01-03 04:00:00,22630.54,SOCO
2009-01-03 05:00:00,21601.06,SOCO
2009-01-03 06:00:00,20755.82,SOCO
2009-01-03 07:00:00,20294.76,SOCO
2009-01-03 08:00:00,20014.97,SOCO
2009-01-03 09:00:00,20074.11,SOCO
2009-01-03 10:00:00,20476.63,SOCO
2009-01-03 11:00:00,20930.72,SOCO
2009-01-03 12:00:00,21342.68,SOCO
2009-01-03 13:00:00,21692.63,SOCO
2009-01-03 14:00:00,22239.47,SOCO
2009-01-03 15:00:00,22451.78,SOCO
2009-01-03 16:00:00,22505.9,SOCO
2009-01-03 17:00:00,22422.45,SOCO
2009-01-03 18:00:00,22306.76,SOCO
2009-01-03 19:00:00,22126.28,SOCO
2009-01-03 20:00:00,21977.9,SOCO
2009-01-03 21:00:00,21881.0,SOCO
2009-01-03 22:00:00,21845.28,SOCO
2009-01-03 23:00:00,21913.22,SOCO
2009-01-04 00:00:00,23014.16,SOCO
2009-01-04 01:00:00,23447.53,SOCO
