Time_UTC,Load,BA
2009-01-01 00:00:00,2646.23,SRP
2009-01-01 01:00:00,2847.0,SRP
2009-01-01 02:00:00,2929.51,SRP
2009-01-01 03:00:00,3005.61,SRP
2009-01-01 04:00:00,2879.05,SRP
2009-01-01 05:00:00,2748.84,SRP
2009-01-01 06:00:00,2641.29,SRP
2009-01-01 07:00:00,2559.56,SRP
2009-01-01 08:00:00,2493.12,SRP
2009-01-01 09:00:00,2458.79,SRP
2009-01-01 10:00:00,2467.04,SRP
2009-01-01 11:00:00,2556.98,SRP
2009-01-01 12:00:00,2643.53,SRP
2009-01-01 13:00:00,2717.28,SRP
2009-01-01 14:00:00,2787.58,SRP
2009-01-01 15:00:00,2892.45,SRP
2009-01-01 16:00:00,3006.28,SRP
2009-01-01 17:00:00,2937.1,SRP
2009-01-01 18:00:00,2879.81,SRP
2009-01-01 19:00:00,2787.92,SRP
2009-01-01 20:00:00,2708.24,SRP
2009-01-01 21:00:00,2649.47,SRP
2009-01-01 22:00:00,2594.82,SRP
2009-01-01 23:00:00,2549.56,SRP
2009-01-02 00:00:00,2639.83,SRP
2009-01-02 01:00:00,2951.37,SRP
2009-01-02 02:00:00,3033.08,SRP
2009-01-02 03:00:00,3106.3,SRP
2009-01-02 04:00:00,3086.69,SRP
2009-01-02 05:00:00,2929.36,SRP
2009-01-02 06:00:00,2756.62,SRP
2009-01-02 07:00:00,2587.84,SRP
2009-01-02 08:00:00,2430.99,SRP
2009-01-02 09:00:00,2340.32,SRP
2009-01-02 10:00:00,2421.92,SRP
2009-01-02 11:00:00,2556.85,SRP
2009-01-02 12:00:00,2708.87,SRP
2009-01-02 13:00:00,2855.16,SRP
2009-01-02 14:00:00,3005.59,SRP
2009-01-02 15:00:00,3151.86,SRP
2009-01-02 16:00:00,3070.56,SRP
2009-01-02 17:00:00,2890.65,SRP
2009-01-02 18:00:00,2801.29,SRP
2009-01-02 19:00:00,2709.17,SRP
2009-01-02 20:00:00,2623.47,SRP
2009-01-02 21:00:00,2588.76,SRP
2009-01-02 22:00:00,2586.59,SRP
2009-01-02 23:00:00,2613.03,SRP
2009-01-03 00:00:00,2768.11,SRP
2009-01-03 01:00:00,2958.63,SRP
2009-01-03 02:00:00,2929.96,SRP
2009-01-03 03:00:00,2899.74,SRP
2009-01-03 04:00:00,2855.48,SRP
2009-01-03 05:00:00,2726.67,SRP
2009-01-03 06:00:00,2614.74,SRP
2009-01-03 07:00:00,2516.24,SRP
2009-01-03 08:00:00,2438.04,SRP
2009-01-03 09:00:00,2379.78,SRP
2009-01-03 10:00:00,2397.4,SRP
2009-01-03 11:00:00,2476.35,SRP
2009-01-03 12:00:00,2554.65,SRP
2009-01-03 13:00:00,2669.22,SRP
2009-01-03 14:00:00,2772.44,SRP
2009-01-03 15:00:00,2871.86,SRP
2009-01-03 16:00:00,2826.2,SRP
2009-01-03 17:00:00,2740.56,SRP
2009-01-03 18:00:00,2698.89,SRP
2009-01-03 19:00:00,2647.28,SRP
2009-01-03 20:00:00,2594.01,SRP
2009-01-03 21:00:00,2557.92,SRP
2009-01-03 22:00:00,2555.58,SRP
2009-01-03 23:00:00,2510.64,SRP
2009-01-04 00:00:00,2774.7,SRP
2009-01-04 01:00:00,2912.94,SRP
2009-01-04 02:00:00,2906.39,SRP
2009-01-04 03:00:00,2917.85,SRP
2009-01-04 04:00:00,2889.69,SRP
2009-01-04 05:00:00,2786.54,SRP
2009-01-04 06:00:00,2679.87,SRP
2009-01-04 07:00:00,2562.86,SRP
2009-01-04 08:00:00,2448.41,SRP
2009-01-04 09:00:00,2385.62,SRP
2009-01-04 10:00:00,2408.1,SRP
2009-01-04 11:00:00,2464.19,SRP
2009-01-04 12:00:00,2514.25,SRP
2009-01-04 13:00:00,2569.9,SRP
2009-01-04 14:00:00,2642.14,SRP
2009-01-04 15:00:00,2718.2,SRP
2009-01-04 16:00:00,2745.64,SRP
2009-01-04 17:00:00,2705.26,SRP
2009-01-04 18:00:00,2687.72,SRP
2009-01-04 19:00:00,2651.03,SRP
2009-01-04 20:00:00,2635.91,SRP
2009-01-04 21:00:00,2615.0,SRP
2009-01-04 22:00:00,2587.62,SRP
2009-01-04 23:00:00,2558.8,SRP
2009-01-05 00:00:00,2806.78,SRP
2009-01-05 01:00:00,3040.62,SRP
2009-01-05 02:00:00,3133.75,SRP
2009-01-05 03:00:00,3216.06,SRP
2009-01-05 04:00:00,3186.61,SRP
2009-01-05 05:00:00,3030.48,SRP
2009-01-05 06:00:00,2870.46,SRP
2009-01-05 07:00:00,2720.1,SRP
2009-01-05 08:00:00,2614.94,SRP
2009-01-05 09:00:00,2593.95,SRP
2009-01-05 10:00:00,2680.08,SRP
2009-01-05 11:00:00,2807.28,SRP
2009-01-05 12:00:00,2944.02,SRP
2009-01-05 13:00:00,3084.64,SRP
2009-01-05 14:00:00,3224.05,SRP
2009-01-05 15:00:00,3311.1,SRP
2009-01-05 16:00:00,3235.19,SRP
2009-01-05 17:00:00,3030.29,SRP
2009-01-05 18:00:00,2900.98,SRP
2009-01-05 19:00:00,2818.93,SRP
2009-01-05 20:00:00,2791.86,SRP
2009-01-05 21:00:00,2777.21,SRP
2009-01-05 22:00:00,2816.14,SRP
2009-01-05 23:00:00,2827.16,SRP
2009-01-06 00:00:00,2711.22,SRP
2009-01-06 01:00:00,3075.86,SRP
2009-01-06 02:00:00,3185.63,SRP
2009-01-06 03:00:00,3292.08,SRP
2009-01-06 04:00:00,3308.6,SRP
2009-01-06 05:00:00,3135.82,SRP
2009-01-06 06:00:00,2987.71,SRP
2009-01-06 07:00:00,2848.85,SRP
2009-01-06 08:00:00,2789.37,SRP
2009-01-06 09:00:00,2802.79,SRP
2009-01-06 10:00:00,2895.84,SRP
2009-01-06 11:00:00,3060.8,SRP
2009-01-06 12:00:00,3213.02,SRP
2009-01-06 13:00:00,3352.37,SRP
2009-01-06 14:00:00,3447.62,SRP
2009-01-06 15:00:00,3518.01,SRP
2009-01-06 16:00:00,3418.36,SRP
2009-01-06 17:00:00,3207.19,SRP
2009-01-06 18:00:00,3063.15,SRP
2009-01-06 19:00:00,2950.38,SRP
2009-01-06 20:00:00,2870.17,SRP
2009-01-06 21:00:00,2833.14,SRP
2009-01-06 22:00:00,2862.44,SRP
2009-01-06 23:00:00,2928.66,SRP
2009-01-07 00:00:00,2741.69,SRP
2009-01-07 01:00:00,3029.94,SRP
2009-01-07 02:00:00,3144.64,SRP
2009-01-07 03:00:00,3251.28,SRP
2009-01-07 04:00:00,3265.97,SRP
2009-01-07 05:00:00,3129.18,SRP
2009-01-07 06:00:00,2986.93,SRP
2009-01-07 07:00:00,2852.6,SRP
2009-01-07 08:00:00,2764.37,SRP
2009-01-07 09:00:00,2767.98,SRP
2009-01-07 10:00:00,2845.24,SRP
2009-01-07 11:00:00,2983.58,SRP
2009-01-07 12:00:00,3118.84,SRP
2009-01-07 13:00:00,3266.59,SRP
2009-01-07 14:00:00,3419.29,SRP
2009-01-07 15:00:00,3519.22,SRP
2009-01-07 16:00:00,3415.51,SRP
2009-01-07 17:00:00,3215.31,SRP
2009-01-07 18:00:00,3035.23,SRP
2009-01-07 19:00:00,2891.6,SRP
2009-01-07 20:00:00,2798.08,SRP
2009-01-07 21:00:00,2726.19,SRP
2009-01-07 22:00:00,2714.8,SRP
2009-01-07 23:00:00,2803.55,SRP
2009-01-08 00:00:00,2660.98,SRP
2009-01-08 01:00:00,3010.78,SRP
2009-01-08 02:00:00,3109.58,SRP
2009-01-08 03:00:00,3204.27,SRP
2009-01-08 04:00:00,3218.82,SRP
2009-01-08 05:00:00,3061.71,SRP
2009-01-08 06:00:00,2904.63,SRP
2009-01-08 07:00:00,2758.95,SRP
2009-01-08 08:00:00,2631.96,SRP
2009-01-08 09:00:00,2567.3,SRP
2009-01-08 10:00:00,2650.29,SRP
2009-01-08 11:00:00,2791.56,SRP
2009-01-08 12:00:00,2927.28,SRP
2009-01-08 13:00:00,3055.41,SRP
2009-01-08 14:00:00,3186.18,SRP
2009-01-08 15:00:00,3310.44,SRP
2009-01-08 16:00:00,3205.39,SRP
2009-01-08 17:00:00,2949.99,SRP
2009-01-08 18:00:00,2790.12,SRP
2009-01-08 19:00:00,2694.63,SRP
2009-01-08 20:00:00,2644.77,SRP
2009-01-08 21:00:00,2613.48,SRP
2009-01-08 22:00:00,2592.03,SRP
2009-01-08 23:00:00,2612.83,SRP
2009-01-09 00:00:00,2610.81,SRP
2009-01-09 01:00:00,2949.46,SRP
2009-01-09 02:00:00,3033.79,SRP
