Time_UTC,Load,BA
2009-01-01 00:00:00,33092.54,SWPP
2009-01-01 01:00:00,33802.98,SWPP
2009-01-01 02:00:00,33938.96,SWPP
2009-01-01 03:00:00,33276.74,SWPP
2009-01-01 04:00:00,32330.65,SWPP
2009-01-01 05:00:00,31349.89,SWPP
2009-01-01 06:00:00,30424.4,SWPP
2009-01-01 07:00:00,29752.53,SWPP
2009-01-01 08:00:00,29385.65,SWPP
2009-01-01 09:00:00,29324.35,SWPP
2009-01-01 10:00:00,29567.92,SWPP
2009-01-01 11:00:00,30035.57,SWPP
2009-01-01 12:00:00,30641.65,SWPP
2009-01-01 13:00:00,31196.77,SWPP
2009-01-01 14:00:00,32205.09,SWPP
2009-01-01 15:00:00,33522.91,SWPP
2009-01-01 16:00:00,33310.1,SWPP
2009-01-01 17:00:00,32820.15,SWPP
2009-01-01 18:00:00,32151.08,SWPP
2009-01-01 19:00:00,31597.94,SWPP
2009-01-01 20:00:00,31045.66,SWPP
2009-01-01 21:00:00,30259.58,SWPP
2009-01-01 22:00:00,29236.01,SWPP
2009-01-01 23:00:00,28712.95,SWPP
2009-01-02 00:00:00,31727.35,SWPP
2009-01-02 01:00:00,32576.56,SWPP
2009-01-02 02:00:00,33312.31,SWPP
2009-01-02 03:00:00,32623.58,SWPP
2009-01-02 04:00:00,31555.01,SWPP
2009-01-02 05:00:00,30407.84,SWPP
2009-01-02 06:00:00,29329.04,SWPP
2009-01-02 07:00:00,28617.61,SWPP
2009-01-02 08:00:00,28386.69,SWPP
2009-01-02 09:00:00,28725.06,SWPP
2009-01-02 10:00:00,29505.31,SWPP
2009-01-02 11:00:00,30271.77,SWPP
2009-01-02 12:00:00,31018.01,SWPP
2009-01-02 13:00:00,31752.33,SWPP
2009-01-02 14:00:00,32805.02,SWPP
2009-01-02 15:00:00,33357.23,SWPP
2009-01-02 16:00:00,32785.32,SWPP
2009-01-02 17:00:00,32072.92,SWPP
2009-01-02 18:00:00,31350.07,SWPP
2009-01-02 19:00:00,30569.91,SWPP
2009-01-02 20:00:00,29826.77,SWPP
2009-01-02 21:00:00,29359.21,SWPP
2009-01-02 22:00:00,29148.25,SWPP
2009-01-02 23:00:00,29453.18,SWPP
2009-01-03 00:00:00,28982.64,SWPP
2009-01-03 01:00:00,29685.19,SWPP
2009-01-03 02:00:00,29816.21,SWPP
2009-01-03 03:00:00,29544.01,SWPP
2009-01-03 04:00:00,28833.7,SWPP
2009-01-03 05:00:00,27977.09,SWPP
2009-01-03 06:00:00,27016.86,SWPP
2009-01-03 07:00:00,26182.03,SWPP
2009-01-03 08:00:00,25569.53,SWPP
2009-01-03 09:00:00,25463.56,SWPP
2009-01-03 10:00:00,25593.97,SWPP
2009-01-03 11:00:00,25849.4,SWPP
2009-01-03 12:00:00,26137.21,SWPP
2009-01-03 13:00:00,26424.37,SWPP
2009-01-03 14:00:00,26738.18,SWPP
2009-01-03 15:00:00,27068.89,SWPP
2009-01-03 16:00:00,27166.25,SWPP
2009-01-03 17:00:00,27140.15,SWPP
2009-01-03 18:00:00,27000.61,SWPP
2009-01-03 19:00:00,26952.95,SWPP
2009-01-03 20:00:00,26716.74,SWPP
2009-01-03 21:00:00,26398.77,SWPP
2009-01-03 22:00:00,26136.08,SWPP
2009-01-03 23:00:00,26142.43,SWPP
2009-01-04 00:00:00,28389.38,SWPP
2009-01-04 01:00:00,29302.6,SWPP
2009-01-04 02:00:00,29411.75,SWPP
2009-01-04 03:00:00,29269.53,SWPP
2009-01-04 04:00:00,29045.2,SWPP
2009-01-04 05:00:00,28851.23,SWPP
2009-01-04 06:00:00,28716.03,SWPP
2009-01-04 07:00:00,28600.29,SWPP
2009-01-04 08:00:00,28523.5,SWPP
2009-01-04 09:00:00,28679.14,SWPP
2009-01-04 10:00:00,29276.65,SWPP
2009-01-04 11:00:00,29925.27,SWPP
2009-01-04 12:00:00,30651.3,SWPP
2009-01-04 13:00:00,31439.76,SWPP
2009-01-04 14:00:00,32272.03,SWPP
2009-01-04 15:00:00,33142.48,SWPP
2009-01-04 16:00:00,33723.75,SWPP
2009-01-04 17:00:00,33997.88,SWPP
2009-01-04 18:00:00,33827.5,SWPP
