Time_UTC,Load,BA
2009-01-01 00:00:00,316.84,TAL
2009-01-01 01:00:00,314.0,TAL
2009-01-01 02:00:00,306.26,TAL
2009-01-01 03:00:00,297.52,TAL
2009-01-01 04:00:00,287.25,TAL
2009-01-01 05:00:00,282.78,TAL
2009-01-01 06:00:00,280.34,TAL
2009-01-01 07:00:00,280.73,TAL
2009-01-01 08:00:00,280.15,TAL
2009-01-01 09:00:00,291.56,TAL
2009-01-01 10:00:00,308.16,TAL
2009-01-01 11:00:00,323.41,TAL
2009-01-01 12:00:00,336.79,TAL
2009-01-01 13:00:00,373.9,TAL
2009-01-01 14:00:00,377.57,TAL
2009-01-01 15:00:00,369.88,TAL
2009-01-01 16:00:00,350.6,TAL
2009-01-01 17:00:00,330.58,TAL
2009-01-01 18:00:00,314.96,TAL
2009-01-01 19:00:00,299.86,TAL
2009-01-01 20:00:00,286.21,TAL
2009-01-01 21:00:00,270.16,TAL
2009-01-01 22:00:00,254.9,TAL
2009-01-01 23:00:00,258.29,TAL
2009-01-02 00:00:00,342.57,TAL
2009-01-02 01:00:00,337.82,TAL
2009-01-02 02:00:00,328.71,TAL
2009-01-02 03:00:00,308.43,TAL
2009-01-02 04:00:00,291.8,TAL
2009-01-02 05:00:00,277.01,TAL
2009-01-02 06:00:00,264.36,TAL
2009-01-02 07:00:00,263.55,TAL
2009-01-02 08:00:00,279.2,TAL
2009-01-02 09:00:00,284.12,TAL
2009-01-02 10:00:00,276.37,TAL
2009-01-02 11:00:00,275.67,TAL
2009-01-02 12:00:00,276.53,TAL
2009-01-02 13:00:00,297.61,TAL
2009-01-02 14:00:00,309.83,TAL
2009-01-02 15:00:00,301.7,TAL
2009-01-02 16:00:00,293.8,TAL
2009-01-02 17:00:00,291.57,TAL
2009-01-02 18:00:00,291.48,TAL
2009-01-02 19:00:00,290.74,TAL
2009-01-02 20:00:00,289.27,TAL
2009-01-02 21:00:00,287.79,TAL
2009-01-02 22:00:00,285.44,TAL
2009-01-02 23:00:00,278.8,TAL
2009-01-03 00:00:00,302.29,TAL
2009-01-03 01:00:00,296.25,TAL
2009-01-03 02:00:00,288.5,TAL
2009-01-03 03:00:00,270.15,TAL
2009-01-03 04:00:00,251.25,TAL
2009-01-03 05:00:00,230.74,TAL
2009-01-03 06:00:00,210.45,TAL
2009-01-03 07:00:00,200.68,TAL
2009-01-03 08:00:00,198.62,TAL
2009-01-03 09:00:00,201.92,TAL
2009-01-03 10:00:00,204.83,TAL
2009-01-03 11:00:00,209.21,TAL
2009-01-03 12:00:00,212.57,TAL
2009-01-03 13:00:00,218.87,TAL
2009-01-03 14:00:00,227.25,TAL
2009-01-03 15:00:00,237.78,TAL
2009-01-03 16:00:00,248.28,TAL
2009-01-03 17:00:00,260.56,TAL
2009-01-03 18:00:00,266.46,TAL
2009-01-03 19:00:00,274.16,TAL
2009-01-03 20:00:00,271.78,TAL
2009-01-03 21:00:00,271.33,TAL
2009-01-03 22:00:00,263.8,TAL
2009-01-03 23:00:00,257.46,TAL
2009-01-04 00:00:00,304.57,TAL
2009-01-04 01:00:00,295.99,TAL
2009-01-04 02:00:00,286.58,TAL
2009-01-04 03:00:00,268.02,TAL
2009-01-04 04:00:00,254.62,TAL
2009-01-04 05:00:00,239.15,TAL
2009-01-04 06:00:00,221.92,TAL
2009-01-04 07:00:00,209.43,TAL
2009-01-04 08:00:00,206.0,TAL
2009-01-04 09:00:00,206.62,TAL
2009-01-04 10:00:00,211.48,TAL
2009-01-04 11:00:00,217.44,TAL
2009-01-04 12:00:00,215.7,TAL
2009-01-04 13:00:00,223.66,TAL
2009-01-04 14:00:00,223.5,TAL
2009-01-04 15:00:00,240.12,TAL
2009-01-04 16:00:00,243.51,TAL
2009-01-04 17:00:00,253.44,TAL
2009-01-04 18:00:00,264.64,TAL
2009-01-04 19:00:00,271.89,TAL
2009-01-04 20:00:00,275.0,TAL
2009-01-04 21:00:00,275.45,TAL
2009-01-04 22:00:00,267.14,TAL
2009-01-04 23:00:00,253.39,TAL
2009-01-05 00:00:00,330.0,TAL
2009-01-05 01:00:00,318.99,TAL
2009-01-05 02:00:00,305.08,TAL
2009-01-05 03:00:00,283.09,TAL
2009-01-05 04:00:00,261.64,TAL
2009-01-05 05:00:00,240.71,TAL
2009-01-05 06:00:00,223.24,TAL
2009-01-05 07:00:00,205.35,TAL
2009-01-05 08:00:00,196.82,TAL
2009-01-05 09:00:00,204.79,TAL
2009-01-05 10:00:00,214.76,TAL
2009-01-05 11:00:00,224.3,TAL
2009-01-05 12:00:00,232.04,TAL
2009-01-05 13:00:00,251.26,TAL
2009-01-05 14:00:00,275.42,TAL
2009-01-05 15:00:00,281.36,TAL
2009-01-05 16:00:00,277.37,TAL
2009-01-05 17:00:00,279.98,TAL
2009-01-05 18:00:00,288.99,TAL
2009-01-05 19:00:00,297.21,TAL
2009-01-05 20:00:00,301.5,TAL
2009-01-05 21:00:00,300.3,TAL
2009-01-05 22:00:00,293.5,TAL
2009-01-05 23:00:00,278.53,TAL
2009-01-06 00:00:00,326.56,TAL
2009-01-06 01:00:00,317.72,TAL
2009-01-06 02:00:00,305.46,TAL
2009-01-06 03:00:00,283.86,TAL
2009-01-06 04:00:00,261.47,TAL
2009-01-06 05:00:00,239.16,TAL
2009-01-06 06:00:00,217.78,TAL
2009-01-06 07:00:00,201.44,TAL
2009-01-06 08:00:00,201.49,TAL
2009-01-06 09:00:00,211.27,TAL
2009-01-06 10:00:00,219.0,TAL
2009-01-06 11:00:00,226.8,TAL
2009-01-06 12:00:00,233.49,TAL
2009-01-06 13:00:00,245.26,TAL
2009-01-06 14:00:00,267.48,TAL
2009-01-06 15:00:00,281.4,TAL
2009-01-06 16:00:00,288.44,TAL
2009-01-06 17:00:00,293.22,TAL
2009-01-06 18:00:00,295.67,TAL
2009-01-06 19:00:00,298.05,TAL
2009-01-06 20:00:00,298.91,TAL
2009-01-06 21:00:00,301.72,TAL
2009-01-06 22:00:00,294.01,TAL
2009-01-06 23:00:00,287.52,TAL
2009-01-07 00:00:00,323.94,TAL
2009-01-07 01:00:00,317.05,TAL
2009-01-07 02:00:00,307.44,TAL
2009-01-07 03:00:00,286.45,TAL
2009-01-07 04:00:00,266.18,TAL
2009-01-07 05:00:00,246.49,TAL
2009-01-07 06:00:00,225.94,TAL
2009-01-07 07:00:00,210.09,TAL
2009-01-07 08:00:00,201.42,TAL
2009-01-07 09:00:00,201.03,TAL
2009-01-07 10:00:00,205.73,TAL
2009-01-07 11:00:00,216.07,TAL
2009-01-07 12:00:00,224.38,TAL
2009-01-07 13:00:00,242.74,TAL
2009-01-07 14:00:00,259.14,TAL
2009-01-07 15:00:00,272.56,TAL
2009-01-07 16:00:00,295.61,TAL
2009-01-07 17:00:00,297.06,TAL
2009-01-07 18:00:00,295.33,TAL
2009-01-07 19:00:00,293.15,TAL
2009-01-07 20:00:00,290.58,TAL
2009-01-07 21:00:00,288.29,TAL
2009-01-07 22:00:00,288.32,TAL
2009-01-07 23:00:00,289.77,TAL
2009-01-08 00:00:00,339.78,TAL
2009-01-08 01:00:00,338.41,TAL
2009-01-08 02:00:00,332.15,TAL
2009-01-08 03:00:00,316.12,TAL
2009-01-08 04:00:00,297.97,TAL
2009-01-08 05:00:00,282.2,TAL
2009-01-08 06:00:00,268.84,TAL
2009-01-08 07:00:00,263.19,TAL
2009-01-08 08:00:00,265.57,TAL
2009-01-08 09:00:00,278.75,TAL
2009-01-08 10:00:00,290.96,TAL
2009-01-08 11:00:00,304.04,TAL
2009-01-08 12:00:00,316.3,TAL
2009-01-08 13:00:00,343.77,TAL
2009-01-08 14:00:00,335.27,TAL
2009-01-08 15:00:00,304.76,TAL
2009-01-08 16:00:00,296.62,TAL
2009-01-08 17:00:00,295.18,TAL
2009-01-08 18:00:00,292.35,TAL
2009-01-08 19:00:00,289.84,TAL
2009-01-08 20:00:00,288.68,TAL
2009-01-08 21:00:00,287.91,TAL
2009-01-08 22:00:00,287.36,TAL
2009-01-08 23:00:00,283.65,TAL
2009-01-09 00:00:00,327.41,TAL
2009-01-09 01:00:00,321.92,TAL
2009-01-09 02:00:00,315.2,TAL
2009-01-09 03:00:00,299.06,TAL
2009-01-09 04:00:00,282.99,TAL
2009-01-09 05:00:00,269.71,TAL
2009-01-09 06:00:00,257.92,TAL
2009-01-09 07:00:00,251.7,TAL
2009-01-09 08:00:00,253.83,TAL
2009-01-09 09:00:00,269.6,TAL
2009-01-09 10:00:00,287.11,TAL
2009-01-09 11:00:00,307.45,TAL
2009-01-09 12:00:00,329.73,TAL
2009-01-09 13:00:00,361.56,TAL
2009-01-09 14:00:00,363.34,TAL
2009-01-09 15:00:00,348.3,TAL
2009-01-09 16:00:00,335.13,TAL
2009-01-09 17:00:00,321.51,TAL
2009-01-09 18:00:00,314.69,TAL
2009-01-09 19:00:00,306.43,TAL
2009-01-09 20:00:00,292.52,TAL
2009-01-09 21:00:00,287.8,TAL
2009-01-09 22:00:00,286.35,TAL
2009-01-09 23:00:00,287.4,TAL
2009-01-10 00:00:00,313.76,TAL
2009-01-10 01:00:00,311.71,TAL
2009-01-10 02:00:00,310.63,TAL
2009-01-10 03:00:00,297.23,TAL
2009-01-10 04:00:00,284.96,TAL
2009-01-10 05:00:00,274.83,TAL
2009-01-10 06:00:00,266.74,TAL
2009-01-10 07:00:00,263.86,TAL
2009-01-10 08:00:00,266.78,TAL
2009-01-10 09:00:00,275.0,TAL
2009-01-10 10:00:00,284.18,TAL
2009-01-10 11:00:00,294.72,TAL
2009-01-10 12:00:00,300.12,TAL
2009-01-10 13:00:00,308.0,TAL
2009-01-10 14:00:00,309.9,TAL
2009-01-10 15:00:00,276.86,TAL
2009-01-10 16:00:00,258.63,TAL
2009-01-10 17:00:00,254.47,TAL
2009-01-10 18:00:00,255.24,TAL
2009-01-10 19:00:00,258.96,TAL
2009-01-10 20:00:00,261.49,TAL
2009-01-10 21:00:00,264.64,TAL
2009-01-10 22:00:00,264.66,TAL
2009-01-10 23:00:00,255.57,TAL
2009-01-11 00:00:00,303.23,TAL
2009-01-11 01:00:00,298.16,TAL
2009-01-11 02:00:00,290.55,TAL
2009-01-11 03:00:00,270.62,TAL
2009-01-11 04:00:00,250.69,TAL
2009-01-11 05:00:00,237.86,TAL
2009-01-11 06:00:00,226.37,TAL
2009-01-11 07:00:00,216.14,TAL
2009-01-11 08:00:00,208.43,TAL
2009-01-11 09:00:00,203.69,TAL
2009-01-11 10:00:00,209.99,TAL
2009-01-11 11:00:00,215.68,TAL
2009-01-11 12:00:00,220.55,TAL
2009-01-11 13:00:00,227.57,TAL
2009-01-11 14:00:00,232.49,TAL
2009-01-11 15:00:00,228.76,TAL
2009-01-11 16:00:00,238.43,TAL
2009-01-11 17:00:00,247.87,TAL
2009-01-11 18:00:00,254.05,TAL
2009-01-11 19:00:00,250.05,TAL
2009-01-11 20:00:00,260.02,TAL
2009-01-11 21:00:00,267.7,TAL
2009-01-11 22:00:00,267.8,TAL
2009-01-11 23:00:00,272.72,TAL
2009-01-12 00:00:00,330.76,TAL
2009-01-12 01:00:00,323.86,TAL
2009-01-12 02:00:00,329.17,TAL
2009-01-12 03:00:00,304.07,TAL
2009-01-12 04:00:00,295.09,TAL
2009-01-12 05:00:00,281.25,TAL
2009-01-12 06:00:00,263.78,TAL
2009-01-12 07:00:00,256.46,TAL
2009-01-12 08:00:00,265.33,TAL
2009-01-12 09:00:00,276.69,TAL
2009-01-12 10:00:00,296.0,TAL
2009-01-12 11:00:00,324.54,TAL
2009-01-12 12:00:00,358.33,TAL
2009-01-12 13:00:00,395.51,TAL
2009-01-12 14:00:00,399.73,TAL
2009-01-12 15:00:00,376.47,TAL
2009-01-12 16:00:00,351.89,TAL
2009-01-12 17:00:00,332.97,TAL
2009-01-12 18:00:00,321.7,TAL
2009-01-12 19:00:00,315.73,TAL
2009-01-12 20:00:00,307.07,TAL
2009-01-12 21:00:00,304.52,TAL
2009-01-12 22:00:00,303.93,TAL
2009-01-12 23:00:00,297.73,TAL
2009-01-13 00:00:00,350.15,TAL
2009-01-13 01:00:00,344.91,TAL
2009-01-13 02:00:00,334.14,TAL
2009-01-13 03:00:00,307.94,TAL
2009-01-13 04:00:00,290.79,TAL
2009-01-13 05:00:00,271.8,TAL
2009-01-13 06:00:00,255.21,TAL
2009-01-13 07:00:00,244.87,TAL
2009-01-13 08:00:00,244.98,TAL
2009-01-13 09:00:00,254.92,TAL
2009-01-13 10:00:00,267.38,TAL
2009-01-13 11:00:00,284.17,TAL
2009-01-13 12:00:00,288.55,TAL
2009-01-13 13:00:00,293.22,TAL
2009-01-13 14:00:00,306.52,TAL
2009-01-13 15:00:00,321.6,TAL
2009-01-13 16:00:00,322.15,TAL
2009-01-13 17:00:00,311.87,TAL
2009-01-13 18:00:00,316.06,TAL
2009-01-13 19:00:00,309.64,TAL
2009-01-13 20:00:00,298.7,TAL
2009-01-13 21:00:00,296.67,TAL
2009-01-13 22:00:00,296.74,TAL
2009-01-13 23:00:00,293.83,TAL
2009-01-14 00:00:00,343.74,TAL
2009-01-14 01:00:00,339.61,TAL
2009-01-14 02:00:00,329.89,TAL
2009-01-14 03:00:00,304.65,TAL
2009-01-14 04:00:00,291.65,TAL
2009-01-14 05:00:00,281.97,TAL
2009-01-14 06:00:00,275.29,TAL
2009-01-14 07:00:00,274.56,TAL
2009-01-14 08:00:00,286.81,TAL
2009-01-14 09:00:00,313.17,TAL
2009-01-14 10:00:00,351.38,TAL
2009-01-14 11:00:00,388.91,TAL
2009-01-14 12:00:00,417.93,TAL
2009-01-14 13:00:00,470.88,TAL
2009-01-14 14:00:00,490.98,TAL
2009-01-14 15:00:00,472.57,TAL
2009-01-14 16:00:00,432.99,TAL
2009-01-14 17:00:00,399.55,TAL
2009-01-14 18:00:00,374.06,TAL
2009-01-14 19:00:00,356.68,TAL
2009-01-14 20:00:00,347.47,TAL
2009-01-14 21:00:00,338.0,TAL
2009-01-14 22:00:00,332.0,TAL
2009-01-14 23:00:00,338.34,TAL
2009-01-15 00:00:00,384.28,TAL
2009-01-15 01:00:00,386.93,TAL
2009-01-15 02:00:00,386.17,TAL
2009-01-15 03:00:00,375.67,TAL
2009-01-15 04:00:00,357.21,TAL
2009-01-15 05:00:00,339.86,TAL
2009-01-15 06:00:00,322.93,TAL
2009-01-15 07:00:00,313.38,TAL
2009-01-15 08:00:00,318.47,TAL
2009-01-15 09:00:00,333.62,TAL
2009-01-15 10:00:00,352.03,TAL
2009-01-15 11:00:00,370.94,TAL
2009-01-15 12:00:00,384.7,TAL
2009-01-15 13:00:00,416.84,TAL
2009-01-15 14:00:00,415.12,TAL
2009-01-15 15:00:00,354.04,TAL
2009-01-15 16:00:00,343.31,TAL
2009-01-15 17:00:00,328.41,TAL
2009-01-15 18:00:00,319.6,TAL
2009-01-15 19:00:00,310.48,TAL
2009-01-15 20:00:00,304.62,TAL
2009-01-15 21:00:00,303.63,TAL
2009-01-15 22:00:00,306.5,TAL
2009-01-15 23:00:00,311.38,TAL
2009-01-16 00:00:00,364.95,TAL
2009-01-16 01:00:00,364.09,TAL
2009-01-16 02:00:00,362.8,TAL
2009-01-16 03:00:00,350.25,TAL
2009-01-16 04:00:00,341.55,TAL
2009-01-16 05:00:00,335.46,TAL
2009-01-16 06:00:00,334.74,TAL
2009-01-16 07:00:00,337.92,TAL
2009-01-16 08:00:00,354.95,TAL
2009-01-16 09:00:00,373.8,TAL
2009-01-16 10:00:00,394.72,TAL
2009-01-16 11:00:00,419.56,TAL
2009-01-16 12:00:00,440.11,TAL
2009-01-16 13:00:00,484.92,TAL
2009-01-16 14:00:00,509.87,TAL
2009-01-16 15:00:00,501.13,TAL
2009-01-16 16:00:00,488.56,TAL
2009-01-16 17:00:00,466.89,TAL
2009-01-16 18:00:00,438.17,TAL
2009-01-16 19:00:00,415.03,TAL
2009-01-16 20:00:00,392.75,TAL
2009-01-16 21:00:00,374.04,TAL
2009-01-16 22:00:00,373.57,TAL
2009-01-16 23:00:00,396.55,TAL
2009-01-17 00:00:00,441.69,TAL
2009-01-17 01:00:00,458.26,TAL
2009-01-17 02:00:00,460.77,TAL
2009-01-17 03:00:00,456.71,TAL
2009-01-17 04:00:00,445.67,TAL
2009-01-17 05:00:00,437.56,TAL
2009-01-17 06:00:00,428.67,TAL
2009-01-17 07:00:00,423.49,TAL
2009-01-17 08:00:00,424.59,TAL
2009-01-17 09:00:00,431.24,TAL
2009-01-17 10:00:00,435.89,TAL
2009-01-17 11:00:00,440.25,TAL
2009-01-17 12:00:00,447.59,TAL
2009-01-17 13:00:00,454.01,TAL
2009-01-17 14:00:00,440.83,TAL
2009-01-17 15:00:00,429.03,TAL
2009-01-17 16:00:00,417.16,TAL
2009-01-17 17:00:00,409.05,TAL
2009-01-17 18:00:00,396.11,TAL
2009-01-17 19:00:00,379.72,TAL
2009-01-17 20:00:00,368.18,TAL
2009-01-17 21:00:00,345.33,TAL
2009-01-17 22:00:00,332.59,TAL
2009-01-17 23:00:00,329.76,TAL
2009-01-18 00:00:00,384.46,TAL
2009-01-18 01:00:00,391.53,TAL
2009-01-18 02:00:00,395.31,TAL
