Time_UTC,Load,BA
2009-01-01 00:00:00,2362.67,TEC
2009-01-01 01:00:00,2237.53,TEC
2009-01-01 02:00:00,2115.62,TEC
2009-01-01 03:00:00,1988.82,TEC
2009-01-01 04:00:00,1886.96,TEC
2009-01-01 05:00:00,1863.12,TEC
2009-01-01 06:00:00,1862.99,TEC
2009-01-01 07:00:00,1820.8,TEC
2009-01-01 08:00:00,1787.43,TEC
2009-01-01 09:00:00,1790.32,TEC
2009-01-01 10:00:00,1811.58,TEC
2009-01-01 11:00:00,1822.03,TEC
2009-01-01 12:00:00,1862.17,TEC
2009-01-01 13:00:00,2034.1,TEC
2009-01-01 14:00:00,2105.28,TEC
2009-01-01 15:00:00,2130.47,TEC
2009-01-01 16:00:00,2145.98,TEC
2009-01-01 17:00:00,2166.86,TEC
2009-01-01 18:00:00,2189.2,TEC
2009-01-01 19:00:00,2202.23,TEC
2009-01-01 20:00:00,2209.37,TEC
2009-01-01 21:00:00,2151.45,TEC
2009-01-01 22:00:00,2104.51,TEC
2009-01-01 23:00:00,2093.61,TEC
2009-01-02 00:00:00,2560.44,TEC
2009-01-02 01:00:00,2414.0,TEC
2009-01-02 02:00:00,2277.75,TEC
2009-01-02 03:00:00,2159.56,TEC
2009-01-02 04:00:00,2041.89,TEC
2009-01-02 05:00:00,1938.06,TEC
2009-01-02 06:00:00,1842.63,TEC
2009-01-02 07:00:00,1775.27,TEC
2009-01-02 08:00:00,1826.17,TEC
2009-01-02 09:00:00,1921.5,TEC
2009-01-02 10:00:00,2005.11,TEC
2009-01-02 11:00:00,2103.92,TEC
2009-01-02 12:00:00,2167.5,TEC
2009-01-02 13:00:00,2197.01,TEC
2009-01-02 14:00:00,2198.7,TEC
2009-01-02 15:00:00,2173.61,TEC
2009-01-02 16:00:00,2195.23,TEC
2009-01-02 17:00:00,2210.89,TEC
2009-01-02 18:00:00,2222.55,TEC
2009-01-02 19:00:00,2230.02,TEC
2009-01-02 20:00:00,2264.16,TEC
2009-01-02 21:00:00,2294.77,TEC
2009-01-02 22:00:00,2324.67,TEC
2009-01-02 23:00:00,2229.09,TEC
2009-01-03 00:00:00,2465.8,TEC
2009-01-03 01:00:00,2315.54,TEC
2009-01-03 02:00:00,2174.88,TEC
2009-01-03 03:00:00,2049.74,TEC
2009-01-03 04:00:00,1939.19,TEC
2009-01-03 05:00:00,1834.44,TEC
2009-01-03 06:00:00,1733.6,TEC
2009-01-03 07:00:00,1662.68,TEC
2009-01-03 08:00:00,1640.93,TEC
2009-01-03 09:00:00,1658.77,TEC
2009-01-03 10:00:00,1719.39,TEC
2009-01-03 11:00:00,1786.52,TEC
2009-01-03 12:00:00,1838.66,TEC
2009-01-03 13:00:00,1877.0,TEC
2009-01-03 14:00:00,1934.28,TEC
