Time_UTC,Load,BA
2009-01-01 00:00:00,1589.01,TEPC
2009-01-01 01:00:00,1650.02,TEPC
2009-01-01 02:00:00,1638.07,TEPC
2009-01-01 03:00:00,1636.24,TEPC
2009-01-01 04:00:00,1608.24,TEPC
2009-01-01 05:00:00,1547.79,TEPC
2009-01-01 06:00:00,1488.58,TEPC
2009-01-01 07:00:00,1426.39,TEPC
2009-01-01 08:00:00,1370.63,TEPC
2009-01-01 09:00:00,1352.4,TEPC
2009-01-01 10:00:00,1380.42,TEPC
2009-01-01 11:00:00,1419.62,TEPC
2009-01-01 12:00:00,1461.39,TEPC
2009-01-01 13:00:00,1505.81,TEPC
2009-01-01 14:00:00,1550.93,TEPC
2009-01-01 15:00:00,1595.65,TEPC
2009-01-01 16:00:00,1572.4,TEPC
2009-01-01 17:00:00,1514.09,TEPC
2009-01-01 18:00:00,1469.67,TEPC
2009-01-01 19:00:00,1437.88,TEPC
2009-01-01 20:00:00,1448.38,TEPC
2009-01-01 21:00:00,1460.77,TEPC
2009-01-01 22:00:00,1478.68,TEPC
2009-01-01 23:00:00,1523.95,TEPC
2009-01-02 00:00:00,1540.54,TEPC
2009-01-02 01:00:00,1666.68,TEPC
2009-01-02 02:00:00,1669.29,TEPC
2009-01-02 03:00:00,1654.96,TEPC
2009-01-02 04:00:00,1586.7,TEPC
2009-01-02 05:00:00,1517.57,TEPC
2009-01-02 06:00:00,1448.41,TEPC
2009-01-02 07:00:00,1378.98,TEPC
2009-01-02 08:00:00,1335.84,TEPC
2009-01-02 09:00:00,1355.79,TEPC
2009-01-02 10:00:00,1391.99,TEPC
2009-01-02 11:00:00,1433.77,TEPC
2009-01-02 12:00:00,1477.96,TEPC
2009-01-02 13:00:00,1523.6,TEPC
2009-01-02 14:00:00,1570.14,TEPC
2009-01-02 15:00:00,1623.01,TEPC
2009-01-02 16:00:00,1587.91,TEPC
2009-01-02 17:00:00,1511.54,TEPC
2009-01-02 18:00:00,1460.76,TEPC
2009-01-02 19:00:00,1446.29,TEPC
2009-01-02 20:00:00,1439.35,TEPC
2009-01-02 21:00:00,1443.31,TEPC
2009-01-02 22:00:00,1472.6,TEPC
2009-01-02 23:00:00,1532.32,TEPC
2009-01-03 00:00:00,1552.16,TEPC
2009-01-03 01:00:00,1638.07,TEPC
2009-01-03 02:00:00,1663.05,TEPC
2009-01-03 03:00:00,1656.71,TEPC
2009-01-03 04:00:00,1616.5,TEPC
2009-01-03 05:00:00,1572.27,TEPC
2009-01-03 06:00:00,1525.21,TEPC
2009-01-03 07:00:00,1475.1,TEPC
2009-01-03 08:00:00,1424.23,TEPC
2009-01-03 09:00:00,1421.94,TEPC
2009-01-03 10:00:00,1439.0,TEPC
2009-01-03 11:00:00,1466.51,TEPC
2009-01-03 12:00:00,1493.8,TEPC
2009-01-03 13:00:00,1524.5,TEPC
2009-01-03 14:00:00,1545.76,TEPC
2009-01-03 15:00:00,1579.25,TEPC
