Time_UTC,Load,BA
2009-01-01 00:00:00,219.56,TIDC
2009-01-01 01:00:00,255.38,TIDC
2009-01-01 02:00:00,263.86,TIDC
2009-01-01 03:00:00,269.64,TIDC
2009-01-01 04:00:00,269.94,TIDC
2009-01-01 05:00:00,262.09,TIDC
2009-01-01 06:00:00,253.66,TIDC
2009-01-01 07:00:00,245.49,TIDC
2009-01-01 08:00:00,236.69,TIDC
2009-01-01 09:00:00,230.62,TIDC
2009-01-01 10:00:00,228.73,TIDC
2009-01-01 11:00:00,229.11,TIDC
2009-01-01 12:00:00,231.33,TIDC
2009-01-01 13:00:00,234.3,TIDC
2009-01-01 14:00:00,237.99,TIDC
2009-01-01 15:00:00,240.69,TIDC
2009-01-01 16:00:00,255.11,TIDC
2009-01-01 17:00:00,259.47,TIDC
2009-01-01 18:00:00,258.89,TIDC
2009-01-01 19:00:00,256.87,TIDC
2009-01-01 20:00:00,251.57,TIDC
2009-01-01 21:00:00,244.91,TIDC
2009-01-01 22:00:00,242.36,TIDC
2009-01-01 23:00:00,243.6,TIDC
2009-01-02 00:00:00,246.98,TIDC
2009-01-02 01:00:00,283.98,TIDC
2009-01-02 02:00:00,288.8,TIDC
2009-01-02 03:00:00,292.36,TIDC
2009-01-02 04:00:00,293.95,TIDC
2009-01-02 05:00:00,282.3,TIDC
2009-01-02 06:00:00,270.64,TIDC
2009-01-02 07:00:00,257.35,TIDC
2009-01-02 08:00:00,246.08,TIDC
2009-01-02 09:00:00,240.48,TIDC
2009-01-02 10:00:00,235.91,TIDC
2009-01-02 11:00:00,238.21,TIDC
2009-01-02 12:00:00,243.95,TIDC
2009-01-02 13:00:00,250.48,TIDC
2009-01-02 14:00:00,257.6,TIDC
2009-01-02 15:00:00,263.32,TIDC
2009-01-02 16:00:00,280.29,TIDC
2009-01-02 17:00:00,286.83,TIDC
2009-01-02 18:00:00,281.97,TIDC
2009-01-02 19:00:00,280.64,TIDC
2009-01-02 20:00:00,294.06,TIDC
2009-01-02 21:00:00,302.4,TIDC
2009-01-02 22:00:00,300.61,TIDC
2009-01-02 23:00:00,300.57,TIDC
2009-01-03 00:00:00,248.81,TIDC
2009-01-03 01:00:00,268.24,TIDC
2009-01-03 02:00:00,269.8,TIDC
2009-01-03 03:00:00,273.4,TIDC
2009-01-03 04:00:00,276.7,TIDC
2009-01-03 05:00:00,272.09,TIDC
2009-01-03 06:00:00,260.14,TIDC
2009-01-03 07:00:00,247.53,TIDC
2009-01-03 08:00:00,237.22,TIDC
2009-01-03 09:00:00,230.68,TIDC
2009-01-03 10:00:00,229.08,TIDC
2009-01-03 11:00:00,230.48,TIDC
2009-01-03 12:00:00,232.77,TIDC
2009-01-03 13:00:00,236.52,TIDC
2009-01-03 14:00:00,242.99,TIDC
2009-01-03 15:00:00,249.05,TIDC
2009-01-03 16:00:00,254.14,TIDC
2009-01-03 17:00:00,253.45,TIDC
2009-01-03 18:00:00,250.41,TIDC
2009-01-03 19:00:00,250.2,TIDC
2009-01-03 20:00:00,247.33,TIDC
2009-01-03 21:00:00,244.09,TIDC
2009-01-03 22:00:00,240.54,TIDC
2009-01-03 23:00:00,242.03,TIDC
2009-01-04 00:00:00,247.78,TIDC
2009-01-04 01:00:00,283.48,TIDC
2009-01-04 02:00:00,287.81,TIDC
2009-01-04 03:00:00,292.42,TIDC
2009-01-04 04:00:00,293.8,TIDC
2009-01-04 05:00:00,286.16,TIDC
2009-01-04 06:00:00,275.92,TIDC
2009-01-04 07:00:00,264.52,TIDC
2009-01-04 08:00:00,256.07,TIDC
2009-01-04 09:00:00,249.32,TIDC
2009-01-04 10:00:00,246.54,TIDC
2009-01-04 11:00:00,249.89,TIDC
2009-01-04 12:00:00,256.2,TIDC
2009-01-04 13:00:00,260.22,TIDC
2009-01-04 14:00:00,262.83,TIDC
2009-01-04 15:00:00,267.62,TIDC
2009-01-04 16:00:00,269.49,TIDC
2009-01-04 17:00:00,267.44,TIDC
2009-01-04 18:00:00,259.44,TIDC
2009-01-04 19:00:00,251.76,TIDC
2009-01-04 20:00:00,245.36,TIDC
2009-01-04 21:00:00,240.69,TIDC
2009-01-04 22:00:00,238.03,TIDC
2009-01-04 23:00:00,243.66,TIDC
2009-01-05 00:00:00,265.97,TIDC
2009-01-05 01:00:00,298.41,TIDC
2009-01-05 02:00:00,304.99,TIDC
2009-01-05 03:00:00,311.12,TIDC
2009-01-05 04:00:00,314.37,TIDC
2009-01-05 05:00:00,303.23,TIDC
2009-01-05 06:00:00,289.8,TIDC
2009-01-05 07:00:00,274.42,TIDC
2009-01-05 08:00:00,264.31,TIDC
2009-01-05 09:00:00,256.93,TIDC
2009-01-05 10:00:00,251.99,TIDC
2009-01-05 11:00:00,255.21,TIDC
2009-01-05 12:00:00,265.7,TIDC
2009-01-05 13:00:00,275.96,TIDC
2009-01-05 14:00:00,278.38,TIDC
2009-01-05 15:00:00,282.44,TIDC
2009-01-05 16:00:00,287.88,TIDC
2009-01-05 17:00:00,295.54,TIDC
2009-01-05 18:00:00,302.71,TIDC
2009-01-05 19:00:00,308.19,TIDC
2009-01-05 20:00:00,311.57,TIDC
2009-01-05 21:00:00,312.09,TIDC
2009-01-05 22:00:00,312.45,TIDC
2009-01-05 23:00:00,313.52,TIDC
2009-01-06 00:00:00,282.88,TIDC
2009-01-06 01:00:00,287.93,TIDC
2009-01-06 02:00:00,291.26,TIDC
2009-01-06 03:00:00,289.56,TIDC
2009-01-06 04:00:00,281.89,TIDC
2009-01-06 05:00:00,285.62,TIDC
2009-01-06 06:00:00,278.12,TIDC
2009-01-06 07:00:00,270.32,TIDC
2009-01-06 08:00:00,258.76,TIDC
2009-01-06 09:00:00,253.12,TIDC
2009-01-06 10:00:00,251.6,TIDC
2009-01-06 11:00:00,255.14,TIDC
2009-01-06 12:00:00,260.69,TIDC
2009-01-06 13:00:00,265.73,TIDC
2009-01-06 14:00:00,271.26,TIDC
2009-01-06 15:00:00,276.93,TIDC
2009-01-06 16:00:00,299.63,TIDC
2009-01-06 17:00:00,298.09,TIDC
2009-01-06 18:00:00,289.88,TIDC
2009-01-06 19:00:00,284.18,TIDC
2009-01-06 20:00:00,279.52,TIDC
2009-01-06 21:00:00,275.12,TIDC
2009-01-06 22:00:00,275.26,TIDC
2009-01-06 23:00:00,282.68,TIDC
2009-01-07 00:00:00,252.02,TIDC
2009-01-07 01:00:00,285.62,TIDC
2009-01-07 02:00:00,290.22,TIDC
2009-01-07 03:00:00,294.32,TIDC
2009-01-07 04:00:00,298.19,TIDC
2009-01-07 05:00:00,287.64,TIDC
2009-01-07 06:00:00,274.98,TIDC
2009-01-07 07:00:00,261.05,TIDC
2009-01-07 08:00:00,249.2,TIDC
2009-01-07 09:00:00,243.17,TIDC
2009-01-07 10:00:00,238.43,TIDC
2009-01-07 11:00:00,240.18,TIDC
2009-01-07 12:00:00,245.16,TIDC
2009-01-07 13:00:00,251.24,TIDC
2009-01-07 14:00:00,258.33,TIDC
2009-01-07 15:00:00,265.71,TIDC
2009-01-07 16:00:00,289.38,TIDC
2009-01-07 17:00:00,289.52,TIDC
2009-01-07 18:00:00,283.33,TIDC
2009-01-07 19:00:00,279.05,TIDC
