Time_UTC,Load,BA
2009-01-01 00:00:00,750.46,TPWR
2009-01-01 01:00:00,765.28,TPWR
2009-01-01 02:00:00,773.41,TPWR
2009-01-01 03:00:00,782.72,TPWR
2009-01-01 04:00:00,777.56,TPWR
2009-01-01 05:00:00,748.42,TPWR
2009-01-01 06:00:00,718.77,TPWR
2009-01-01 07:00:00,687.37,TPWR
2009-01-01 08:00:00,656.91,TPWR
2009-01-01 09:00:00,626.06,TPWR
2009-01-01 10:00:00,601.57,TPWR
2009-01-01 11:00:00,594.31,TPWR
2009-01-01 12:00:00,604.21,TPWR
2009-01-01 13:00:00,626.37,TPWR
2009-01-01 14:00:00,651.79,TPWR
2009-01-01 15:00:00,673.69,TPWR
2009-01-01 16:00:00,692.88,TPWR
2009-01-01 17:00:00,716.34,TPWR
2009-01-01 18:00:00,729.81,TPWR
2009-01-01 19:00:00,730.2,TPWR
2009-01-01 20:00:00,719.02,TPWR
2009-01-01 21:00:00,707.13,TPWR
2009-01-01 22:00:00,708.27,TPWR
2009-01-01 23:00:00,715.95,TPWR
2009-01-02 00:00:00,745.69,TPWR
2009-01-02 01:00:00,752.02,TPWR
2009-01-02 02:00:00,754.92,TPWR
2009-01-02 03:00:00,752.92,TPWR
2009-01-02 04:00:00,743.82,TPWR
2009-01-02 05:00:00,713.72,TPWR
2009-01-02 06:00:00,681.56,TPWR
2009-01-02 07:00:00,639.26,TPWR
2009-01-02 08:00:00,603.76,TPWR
2009-01-02 09:00:00,574.42,TPWR
2009-01-02 10:00:00,566.85,TPWR
2009-01-02 11:00:00,597.19,TPWR
2009-01-02 12:00:00,630.2,TPWR
2009-01-02 13:00:00,665.84,TPWR
2009-01-02 14:00:00,711.95,TPWR
2009-01-02 15:00:00,746.18,TPWR
2009-01-02 16:00:00,780.93,TPWR
2009-01-02 17:00:00,812.12,TPWR
2009-01-02 18:00:00,814.71,TPWR
2009-01-02 19:00:00,819.68,TPWR
2009-01-02 20:00:00,816.9,TPWR
2009-01-02 21:00:00,815.39,TPWR
2009-01-02 22:00:00,816.66,TPWR
2009-01-02 23:00:00,821.59,TPWR
2009-01-03 00:00:00,767.32,TPWR
2009-01-03 01:00:00,803.99,TPWR
2009-01-03 02:00:00,835.51,TPWR
2009-01-03 03:00:00,858.95,TPWR
2009-01-03 04:00:00,841.96,TPWR
2009-01-03 05:00:00,823.52,TPWR
2009-01-03 06:00:00,806.34,TPWR
2009-01-03 07:00:00,787.62,TPWR
2009-01-03 08:00:00,764.09,TPWR
2009-01-03 09:00:00,735.45,TPWR
2009-01-03 10:00:00,712.38,TPWR
2009-01-03 11:00:00,709.11,TPWR
2009-01-03 12:00:00,717.69,TPWR
2009-01-03 13:00:00,726.29,TPWR
2009-01-03 14:00:00,729.48,TPWR
2009-01-03 15:00:00,731.71,TPWR
2009-01-03 16:00:00,738.54,TPWR
2009-01-03 17:00:00,762.8,TPWR
2009-01-03 18:00:00,769.92,TPWR
2009-01-03 19:00:00,758.5,TPWR
2009-01-03 20:00:00,750.66,TPWR
2009-01-03 21:00:00,741.71,TPWR
2009-01-03 22:00:00,732.84,TPWR
2009-01-03 23:00:00,725.49,TPWR
2009-01-04 00:00:00,724.91,TPWR
2009-01-04 01:00:00,759.42,TPWR
2009-01-04 02:00:00,789.08,TPWR
2009-01-04 03:00:00,804.28,TPWR
2009-01-04 04:00:00,793.21,TPWR
2009-01-04 05:00:00,773.48,TPWR
2009-01-04 06:00:00,734.07,TPWR
2009-01-04 07:00:00,711.05,TPWR
2009-01-04 08:00:00,681.04,TPWR
2009-01-04 09:00:00,654.7,TPWR
2009-01-04 10:00:00,646.14,TPWR
2009-01-04 11:00:00,655.38,TPWR
2009-01-04 12:00:00,676.28,TPWR
2009-01-04 13:00:00,702.89,TPWR
2009-01-04 14:00:00,732.55,TPWR
2009-01-04 15:00:00,756.48,TPWR
2009-01-04 16:00:00,773.15,TPWR
2009-01-04 17:00:00,786.93,TPWR
2009-01-04 18:00:00,790.86,TPWR
2009-01-04 19:00:00,775.61,TPWR
2009-01-04 20:00:00,766.96,TPWR
2009-01-04 21:00:00,760.92,TPWR
2009-01-04 22:00:00,757.36,TPWR
2009-01-04 23:00:00,756.05,TPWR
2009-01-05 00:00:00,817.6,TPWR
2009-01-05 01:00:00,834.4,TPWR
2009-01-05 02:00:00,834.27,TPWR
2009-01-05 03:00:00,832.92,TPWR
2009-01-05 04:00:00,830.62,TPWR
2009-01-05 05:00:00,802.82,TPWR
2009-01-05 06:00:00,770.42,TPWR
2009-01-05 07:00:00,729.36,TPWR
2009-01-05 08:00:00,683.37,TPWR
2009-01-05 09:00:00,631.78,TPWR
2009-01-05 10:00:00,600.82,TPWR
2009-01-05 11:00:00,606.48,TPWR
2009-01-05 12:00:00,621.12,TPWR
2009-01-05 13:00:00,638.74,TPWR
2009-01-05 14:00:00,660.07,TPWR
