Time_UTC,Load,BA
2009-01-01 00:00:00,22040.55,TVA
2009-01-01 01:00:00,22597.19,TVA
2009-01-01 02:00:00,22811.06,TVA
2009-01-01 03:00:00,22500.66,TVA
2009-01-01 04:00:00,21831.99,TVA
2009-01-01 05:00:00,21257.23,TVA
2009-01-01 06:00:00,20949.31,TVA
2009-01-01 07:00:00,20689.98,TVA
2009-01-01 08:00:00,20577.65,TVA
2009-01-01 09:00:00,20619.56,TVA
2009-01-01 10:00:00,20899.46,TVA
2009-01-01 11:00:00,21227.13,TVA
2009-01-01 12:00:00,21574.13,TVA
2009-01-01 13:00:00,22063.05,TVA
2009-01-01 14:00:00,22947.42,TVA
2009-01-01 15:00:00,22265.69,TVA
2009-01-01 16:00:00,21260.55,TVA
2009-01-01 17:00:00,20264.56,TVA
2009-01-01 18:00:00,19330.1,TVA
2009-01-01 19:00:00,18709.64,TVA
2009-01-01 20:00:00,18626.0,TVA
2009-01-01 21:00:00,18587.31,TVA
2009-01-01 22:00:00,18859.13,TVA
2009-01-01 23:00:00,19510.76,TVA
2009-01-02 00:00:00,21139.99,TVA
2009-01-02 01:00:00,21674.37,TVA
2009-01-02 02:00:00,21851.37,TVA
2009-01-02 03:00:00,21080.05,TVA
2009-01-02 04:00:00,20188.94,TVA
2009-01-02 05:00:00,19375.74,TVA
2009-01-02 06:00:00,18681.44,TVA
2009-01-02 07:00:00,18180.03,TVA
2009-01-02 08:00:00,18140.45,TVA
2009-01-02 09:00:00,18481.61,TVA
2009-01-02 10:00:00,18924.65,TVA
2009-01-02 11:00:00,19363.8,TVA
2009-01-02 12:00:00,19808.74,TVA
2009-01-02 13:00:00,20060.08,TVA
2009-01-02 14:00:00,20531.05,TVA
2009-01-02 15:00:00,20446.71,TVA
2009-01-02 16:00:00,19792.99,TVA
2009-01-02 17:00:00,19213.83,TVA
2009-01-02 18:00:00,18732.66,TVA
2009-01-02 19:00:00,18349.64,TVA
2009-01-02 20:00:00,18059.54,TVA
2009-01-02 21:00:00,17953.91,TVA
2009-01-02 22:00:00,17770.78,TVA
2009-01-02 23:00:00,18272.59,TVA
2009-01-03 00:00:00,16766.2,TVA
2009-01-03 01:00:00,17061.86,TVA
2009-01-03 02:00:00,17412.46,TVA
2009-01-03 03:00:00,16836.41,TVA
2009-01-03 04:00:00,16228.63,TVA
2009-01-03 05:00:00,15620.12,TVA
2009-01-03 06:00:00,15041.6,TVA
2009-01-03 07:00:00,14741.91,TVA
2009-01-03 08:00:00,14497.17,TVA
2009-01-03 09:00:00,14279.02,TVA
2009-01-03 10:00:00,14383.52,TVA
2009-01-03 11:00:00,14627.03,TVA
2009-01-03 12:00:00,14839.07,TVA
2009-01-03 13:00:00,15098.89,TVA
2009-01-03 14:00:00,15749.05,TVA
2009-01-03 15:00:00,15714.5,TVA
2009-01-03 16:00:00,15517.44,TVA
2009-01-03 17:00:00,15288.21,TVA
2009-01-03 18:00:00,15052.77,TVA
2009-01-03 19:00:00,14806.5,TVA
2009-01-03 20:00:00,14583.98,TVA
2009-01-03 21:00:00,14422.89,TVA
2009-01-03 22:00:00,14458.1,TVA
2009-01-03 23:00:00,14581.1,TVA
2009-01-04 00:00:00,15943.07,TVA
2009-01-04 01:00:00,16288.75,TVA
2009-01-04 02:00:00,16539.49,TVA
2009-01-04 03:00:00,15840.05,TVA
2009-01-04 04:00:00,15090.19,TVA
2009-01-04 05:00:00,14369.09,TVA
2009-01-04 06:00:00,13549.34,TVA
2009-01-04 07:00:00,12914.35,TVA
2009-01-04 08:00:00,12675.04,TVA
2009-01-04 09:00:00,12450.33,TVA
2009-01-04 10:00:00,12678.91,TVA
2009-01-04 11:00:00,13035.47,TVA
2009-01-04 12:00:00,13395.91,TVA
2009-01-04 13:00:00,13702.94,TVA
2009-01-04 14:00:00,14183.97,TVA
2009-01-04 15:00:00,14387.04,TVA
2009-01-04 16:00:00,14481.28,TVA
2009-01-04 17:00:00,14495.8,TVA
2009-01-04 18:00:00,14697.01,TVA
2009-01-04 19:00:00,14775.34,TVA
2009-01-04 20:00:00,14743.03,TVA
2009-01-04 21:00:00,14716.27,TVA
2009-01-04 22:00:00,14811.69,TVA
2009-01-04 23:00:00,15096.42,TVA
2009-01-05 00:00:00,17570.83,TVA
2009-01-05 01:00:00,18135.86,TVA
2009-01-05 02:00:00,18496.05,TVA
2009-01-05 03:00:00,17907.51,TVA
2009-01-05 04:00:00,17313.33,TVA
2009-01-05 05:00:00,16827.14,TVA
2009-01-05 06:00:00,16266.48,TVA
2009-01-05 07:00:00,15815.12,TVA
2009-01-05 08:00:00,15917.05,TVA
2009-01-05 09:00:00,16601.84,TVA
2009-01-05 10:00:00,17435.16,TVA
2009-01-05 11:00:00,18176.11,TVA
2009-01-05 12:00:00,18950.97,TVA
2009-01-05 13:00:00,19684.17,TVA
2009-01-05 14:00:00,20648.65,TVA
2009-01-05 15:00:00,21346.38,TVA
2009-01-05 16:00:00,21347.76,TVA
2009-01-05 17:00:00,21196.07,TVA
2009-01-05 18:00:00,21051.89,TVA
2009-01-05 19:00:00,20874.49,TVA
2009-01-05 20:00:00,20681.86,TVA
2009-01-05 21:00:00,20528.81,TVA
2009-01-05 22:00:00,20530.13,TVA
2009-01-05 23:00:00,20670.41,TVA
2009-01-06 00:00:00,20509.2,TVA
2009-01-06 01:00:00,20762.21,TVA
2009-01-06 02:00:00,20771.27,TVA
2009-01-06 03:00:00,19965.22,TVA
2009-01-06 04:00:00,19122.02,TVA
2009-01-06 05:00:00,18234.78,TVA
2009-01-06 06:00:00,17365.9,TVA
2009-01-06 07:00:00,16850.4,TVA
2009-01-06 08:00:00,16776.12,TVA
2009-01-06 09:00:00,16986.26,TVA
2009-01-06 10:00:00,17255.79,TVA
