Time_UTC,Load,BA
2009-01-01 00:00:00,3279.89,WACM
2009-01-01 01:00:00,3328.58,WACM
2009-01-01 02:00:00,3371.14,WACM
2009-01-01 03:00:00,3376.23,WACM
2009-01-01 04:00:00,3332.76,WACM
2009-01-01 05:00:00,3286.0,WACM
2009-01-01 06:00:00,3245.14,WACM
2009-01-01 07:00:00,3205.75,WACM
2009-01-01 08:00:00,3161.47,WACM
2009-01-01 09:00:00,3096.68,WACM
2009-01-01 10:00:00,3080.44,WACM
2009-01-01 11:00:00,3089.06,WACM
2009-01-01 12:00:00,3106.72,WACM
2009-01-01 13:00:00,3123.07,WACM
2009-01-01 14:00:00,3133.39,WACM
2009-01-01 15:00:00,3198.29,WACM
2009-01-01 16:00:00,3244.95,WACM
2009-01-01 17:00:00,3236.31,WACM
2009-01-01 18:00:00,3237.5,WACM
2009-01-01 19:00:00,3234.01,WACM
2009-01-01 20:00:00,3201.1,WACM
2009-01-01 21:00:00,3155.58,WACM
2009-01-01 22:00:00,3129.61,WACM
2009-01-01 23:00:00,3059.35,WACM
2009-01-02 00:00:00,3269.18,WACM
2009-01-02 01:00:00,3290.74,WACM
2009-01-02 02:00:00,3307.77,WACM
2009-01-02 03:00:00,3291.98,WACM
2009-01-02 04:00:00,3211.7,WACM
2009-01-02 05:00:00,3128.77,WACM
2009-01-02 06:00:00,3049.86,WACM
2009-01-02 07:00:00,2962.88,WACM
2009-01-02 08:00:00,2897.57,WACM
2009-01-02 09:00:00,2881.86,WACM
2009-01-02 10:00:00,2904.33,WACM
2009-01-02 11:00:00,2939.7,WACM
2009-01-02 12:00:00,2979.01,WACM
2009-01-02 13:00:00,3024.2,WACM
2009-01-02 14:00:00,3069.45,WACM
2009-01-02 15:00:00,3193.19,WACM
2009-01-02 16:00:00,3266.76,WACM
2009-01-02 17:00:00,3243.36,WACM
2009-01-02 18:00:00,3212.93,WACM
2009-01-02 19:00:00,3177.4,WACM
2009-01-02 20:00:00,3143.43,WACM
2009-01-02 21:00:00,3116.84,WACM
2009-01-02 22:00:00,3101.62,WACM
2009-01-02 23:00:00,3093.38,WACM
2009-01-03 00:00:00,3166.97,WACM
2009-01-03 01:00:00,3239.83,WACM
2009-01-03 02:00:00,3272.6,WACM
2009-01-03 03:00:00,3281.96,WACM
2009-01-03 04:00:00,3210.92,WACM
2009-01-03 05:00:00,3134.4,WACM
2009-01-03 06:00:00,3055.71,WACM
2009-01-03 07:00:00,2986.98,WACM
2009-01-03 08:00:00,2946.31,WACM
2009-01-03 09:00:00,2933.01,WACM
2009-01-03 10:00:00,2951.77,WACM
2009-01-03 11:00:00,2969.22,WACM
2009-01-03 12:00:00,2988.31,WACM
2009-01-03 13:00:00,3016.63,WACM
2009-01-03 14:00:00,3032.02,WACM
2009-01-03 15:00:00,3072.25,WACM
2009-01-03 16:00:00,3155.36,WACM
2009-01-03 17:00:00,3212.96,WACM
2009-01-03 18:00:00,3250.22,WACM
2009-01-03 19:00:00,3277.61,WACM
2009-01-03 20:00:00,3280.25,WACM
2009-01-03 21:00:00,3251.34,WACM
2009-01-03 22:00:00,3239.0,WACM
2009-01-03 23:00:00,3210.28,WACM
2009-01-04 00:00:00,3481.22,WACM
