Time_UTC,Load,BA
2009-01-01 00:00:00,855.58,WALC
2009-01-01 01:00:00,903.93,WALC
2009-01-01 02:00:00,910.24,WALC
2009-01-01 03:00:00,915.09,WALC
2009-01-01 04:00:00,911.6,WALC
2009-01-01 05:00:00,903.51,WALC
2009-01-01 06:00:00,893.65,WALC
2009-01-01 07:00:00,884.36,WALC
2009-01-01 08:00:00,883.75,WALC
2009-01-01 09:00:00,891.79,WALC
2009-01-01 10:00:00,902.98,WALC
2009-01-01 11:00:00,916.13,WALC
2009-01-01 12:00:00,930.74,WALC
2009-01-01 13:00:00,941.47,WALC
2009-01-01 14:00:00,958.22,WALC
2009-01-01 15:00:00,972.13,WALC
2009-01-01 16:00:00,959.99,WALC
2009-01-01 17:00:00,922.77,WALC
2009-01-01 18:00:00,905.94,WALC
2009-01-01 19:00:00,890.9,WALC
2009-01-01 20:00:00,882.65,WALC
2009-01-01 21:00:00,882.83,WALC
2009-01-01 22:00:00,883.98,WALC
2009-01-01 23:00:00,884.81,WALC
2009-01-02 00:00:00,810.21,WALC
2009-01-02 01:00:00,867.29,WALC
2009-01-02 02:00:00,861.01,WALC
2009-01-02 03:00:00,849.37,WALC
2009-01-02 04:00:00,837.49,WALC
2009-01-02 05:00:00,833.25,WALC
2009-01-02 06:00:00,830.51,WALC
2009-01-02 07:00:00,827.59,WALC
2009-01-02 08:00:00,831.77,WALC
2009-01-02 09:00:00,839.27,WALC
2009-01-02 10:00:00,852.01,WALC
2009-01-02 11:00:00,868.25,WALC
2009-01-02 12:00:00,885.07,WALC
2009-01-02 13:00:00,901.07,WALC
2009-01-02 14:00:00,919.27,WALC
2009-01-02 15:00:00,927.13,WALC
2009-01-02 16:00:00,912.12,WALC
2009-01-02 17:00:00,874.49,WALC
2009-01-02 18:00:00,846.09,WALC
2009-01-02 19:00:00,833.31,WALC
2009-01-02 20:00:00,828.63,WALC
2009-01-02 21:00:00,829.41,WALC
2009-01-02 22:00:00,834.49,WALC
2009-01-02 23:00:00,844.43,WALC
2009-01-03 00:00:00,813.25,WALC
2009-01-03 01:00:00,844.37,WALC
2009-01-03 02:00:00,856.38,WALC
2009-01-03 03:00:00,862.19,WALC
2009-01-03 04:00:00,855.68,WALC
2009-01-03 05:00:00,848.87,WALC
2009-01-03 06:00:00,850.8,WALC
2009-01-03 07:00:00,854.01,WALC
2009-01-03 08:00:00,864.11,WALC
2009-01-03 09:00:00,870.81,WALC
2009-01-03 10:00:00,872.92,WALC
2009-01-03 11:00:00,875.23,WALC
2009-01-03 12:00:00,877.79,WALC
2009-01-03 13:00:00,885.15,WALC
2009-01-03 14:00:00,889.42,WALC
2009-01-03 15:00:00,886.98,WALC
2009-01-03 16:00:00,857.82,WALC
2009-01-03 17:00:00,819.05,WALC
2009-01-03 18:00:00,787.41,WALC
2009-01-03 19:00:00,764.87,WALC
2009-01-03 20:00:00,747.71,WALC
2009-01-03 21:00:00,737.58,WALC
2009-01-03 22:00:00,739.09,WALC
2009-01-03 23:00:00,747.73,WALC
2009-01-04 00:00:00,795.51,WALC
2009-01-04 01:00:00,852.55,WALC
2009-01-04 02:00:00,871.39,WALC
2009-01-04 03:00:00,879.27,WALC
2009-01-04 04:00:00,884.89,WALC
2009-01-04 05:00:00,890.0,WALC
2009-01-04 06:00:00,893.42,WALC
2009-01-04 07:00:00,895.92,WALC
2009-01-04 08:00:00,897.67,WALC
2009-01-04 09:00:00,898.78,WALC
2009-01-04 10:00:00,902.15,WALC
2009-01-04 11:00:00,903.44,WALC
2009-01-04 12:00:00,903.3,WALC
2009-01-04 13:00:00,909.48,WALC
2009-01-04 14:00:00,916.16,WALC
2009-01-04 15:00:00,920.77,WALC
2009-01-04 16:00:00,897.88,WALC
2009-01-04 17:00:00,858.04,WALC
2009-01-04 18:00:00,835.99,WALC
2009-01-04 19:00:00,820.3,WALC
2009-01-04 20:00:00,810.37,WALC
2009-01-04 21:00:00,804.72,WALC
2009-01-04 22:00:00,798.45,WALC
2009-01-04 23:00:00,805.25,WALC
2009-01-05 00:00:00,855.27,WALC
2009-01-05 01:00:00,898.8,WALC
2009-01-05 02:00:00,919.33,WALC
2009-01-05 03:00:00,925.23,WALC
2009-01-05 04:00:00,932.67,WALC
2009-01-05 05:00:00,934.75,WALC
2009-01-05 06:00:00,932.3,WALC
2009-01-05 07:00:00,924.4,WALC
2009-01-05 08:00:00,929.54,WALC
2009-01-05 09:00:00,942.86,WALC
2009-01-05 10:00:00,954.41,WALC
2009-01-05 11:00:00,961.13,WALC
2009-01-05 12:00:00,977.19,WALC
2009-01-05 13:00:00,998.86,WALC
2009-01-05 14:00:00,1023.28,WALC
2009-01-05 15:00:00,1037.24,WALC
2009-01-05 16:00:00,1031.87,WALC
2009-01-05 17:00:00,1017.58,WALC
2009-01-05 18:00:00,1008.44,WALC
2009-01-05 19:00:00,995.77,WALC
2009-01-05 20:00:00,987.97,WALC
2009-01-05 21:00:00,983.66,WALC
2009-01-05 22:00:00,984.96,WALC
2009-01-05 23:00:00,986.33,WALC
2009-01-06 00:00:00,909.44,WALC
2009-01-06 01:00:00,958.25,WALC
2009-01-06 02:00:00,965.91,WALC
2009-01-06 03:00:00,962.75,WALC
2009-01-06 04:00:00,954.42,WALC
2009-01-06 05:00:00,948.29,WALC
2009-01-06 06:00:00,944.32,WALC
2009-01-06 07:00:00,946.6,WALC
2009-01-06 08:00:00,942.28,WALC
2009-01-06 09:00:00,949.03,WALC
