Time_UTC,Load,BA
2009-01-01 00:00:00,108.17,WAUW
2009-01-01 01:00:00,107.38,WAUW
2009-01-01 02:00:00,106.64,WAUW
2009-01-01 03:00:00,105.89,WAUW
2009-01-01 04:00:00,104.79,WAUW
2009-01-01 05:00:00,103.83,WAUW
2009-01-01 06:00:00,101.81,WAUW
2009-01-01 07:00:00,99.96,WAUW
2009-01-01 08:00:00,98.44,WAUW
2009-01-01 09:00:00,97.52,WAUW
2009-01-01 10:00:00,97.75,WAUW
2009-01-01 11:00:00,99.16,WAUW
2009-01-01 12:00:00,101.52,WAUW
2009-01-01 13:00:00,103.4,WAUW
2009-01-01 14:00:00,104.78,WAUW
2009-01-01 15:00:00,106.51,WAUW
2009-01-01 16:00:00,111.61,WAUW
2009-01-01 17:00:00,114.01,WAUW
2009-01-01 18:00:00,115.02,WAUW
2009-01-01 19:00:00,114.87,WAUW
2009-01-01 20:00:00,114.93,WAUW
2009-01-01 21:00:00,114.57,WAUW
2009-01-01 22:00:00,114.27,WAUW
2009-01-01 23:00:00,115.25,WAUW
2009-01-02 00:00:00,121.45,WAUW
2009-01-02 01:00:00,120.24,WAUW
2009-01-02 02:00:00,118.25,WAUW
2009-01-02 03:00:00,116.35,WAUW
2009-01-02 04:00:00,113.02,WAUW
2009-01-02 05:00:00,109.03,WAUW
2009-01-02 06:00:00,105.37,WAUW
2009-01-02 07:00:00,102.36,WAUW
2009-01-02 08:00:00,99.11,WAUW
2009-01-02 09:00:00,97.29,WAUW
2009-01-02 10:00:00,98.01,WAUW
2009-01-02 11:00:00,99.91,WAUW
2009-01-02 12:00:00,102.04,WAUW
2009-01-02 13:00:00,105.12,WAUW
2009-01-02 14:00:00,108.23,WAUW
2009-01-02 15:00:00,111.86,WAUW
2009-01-02 16:00:00,117.95,WAUW
2009-01-02 17:00:00,120.12,WAUW
2009-01-02 18:00:00,120.27,WAUW
2009-01-02 19:00:00,120.11,WAUW
2009-01-02 20:00:00,120.31,WAUW
2009-01-02 21:00:00,120.9,WAUW
2009-01-02 22:00:00,122.75,WAUW
2009-01-02 23:00:00,126.07,WAUW
2009-01-03 00:00:00,128.96,WAUW
2009-01-03 01:00:00,130.08,WAUW
2009-01-03 02:00:00,131.46,WAUW
2009-01-03 03:00:00,130.29,WAUW
2009-01-03 04:00:00,128.44,WAUW
2009-01-03 05:00:00,126.27,WAUW
2009-01-03 06:00:00,123.46,WAUW
2009-01-03 07:00:00,121.86,WAUW
2009-01-03 08:00:00,120.53,WAUW
2009-01-03 09:00:00,120.22,WAUW
2009-01-03 10:00:00,119.85,WAUW
2009-01-03 11:00:00,120.3,WAUW
2009-01-03 12:00:00,121.04,WAUW
2009-01-03 13:00:00,122.19,WAUW
2009-01-03 14:00:00,123.28,WAUW
2009-01-03 15:00:00,123.56,WAUW
2009-01-03 16:00:00,127.03,WAUW
2009-01-03 17:00:00,128.18,WAUW
2009-01-03 18:00:00,127.16,WAUW
2009-01-03 19:00:00,126.01,WAUW
2009-01-03 20:00:00,124.26,WAUW
2009-01-03 21:00:00,122.34,WAUW
2009-01-03 22:00:00,119.76,WAUW
2009-01-03 23:00:00,118.67,WAUW
2009-01-04 00:00:00,127.07,WAUW
2009-01-04 01:00:00,127.01,WAUW
2009-01-04 02:00:00,126.07,WAUW
2009-01-04 03:00:00,124.62,WAUW
2009-01-04 04:00:00,122.51,WAUW
2009-01-04 05:00:00,120.09,WAUW
2009-01-04 06:00:00,118.16,WAUW
2009-01-04 07:00:00,116.33,WAUW
2009-01-04 08:00:00,114.84,WAUW
2009-01-04 09:00:00,114.5,WAUW
2009-01-04 10:00:00,114.41,WAUW
2009-01-04 11:00:00,114.18,WAUW
2009-01-04 12:00:00,115.13,WAUW
2009-01-04 13:00:00,116.18,WAUW
2009-01-04 14:00:00,117.01,WAUW
2009-01-04 15:00:00,118.29,WAUW
2009-01-04 16:00:00,121.29,WAUW
2009-01-04 17:00:00,120.38,WAUW
2009-01-04 18:00:00,118.97,WAUW
2009-01-04 19:00:00,117.17,WAUW
2009-01-04 20:00:00,115.58,WAUW
2009-01-04 21:00:00,114.38,WAUW
2009-01-04 22:00:00,113.4,WAUW
2009-01-04 23:00:00,113.41,WAUW
2009-01-05 00:00:00,124.0,WAUW
2009-01-05 01:00:00,124.08,WAUW
2009-01-05 02:00:00,123.44,WAUW
2009-01-05 03:00:00,122.58,WAUW
2009-01-05 04:00:00,120.26,WAUW
2009-01-05 05:00:00,117.02,WAUW
2009-01-05 06:00:00,114.16,WAUW
2009-01-05 07:00:00,111.25,WAUW
2009-01-05 08:00:00,109.4,WAUW
2009-01-05 09:00:00,108.15,WAUW
2009-01-05 10:00:00,108.05,WAUW
2009-01-05 11:00:00,107.8,WAUW
2009-01-05 12:00:00,109.7,WAUW
2009-01-05 13:00:00,112.8,WAUW
2009-01-05 14:00:00,114.74,WAUW
2009-01-05 15:00:00,116.41,WAUW
2009-01-05 16:00:00,120.26,WAUW
2009-01-05 17:00:00,120.83,WAUW
2009-01-05 18:00:00,117.69,WAUW
2009-01-05 19:00:00,115.27,WAUW
2009-01-05 20:00:00,113.36,WAUW
2009-01-05 21:00:00,112.01,WAUW
2009-01-05 22:00:00,112.01,WAUW
2009-01-05 23:00:00,112.59,WAUW
2009-01-06 00:00:00,117.47,WAUW
2009-01-06 01:00:00,116.74,WAUW
2009-01-06 02:00:00,115.45,WAUW
2009-01-06 03:00:00,114.42,WAUW
2009-01-06 04:00:00,112.85,WAUW
2009-01-06 05:00:00,110.41,WAUW
2009-01-06 06:00:00,107.5,WAUW
2009-01-06 07:00:00,104.28,WAUW
2009-01-06 08:00:00,101.39,WAUW
2009-01-06 09:00:00,99.17,WAUW
2009-01-06 10:00:00,98.67,WAUW
2009-01-06 11:00:00,100.34,WAUW
2009-01-06 12:00:00,101.91,WAUW
2009-01-06 13:00:00,102.99,WAUW
2009-01-06 14:00:00,104.46,WAUW
2009-01-06 15:00:00,106.73,WAUW
2009-01-06 16:00:00,112.59,WAUW
2009-01-06 17:00:00,111.16,WAUW
2009-01-06 18:00:00,108.98,WAUW
2009-01-06 19:00:00,107.49,WAUW
2009-01-06 20:00:00,106.52,WAUW
2009-01-06 21:00:00,106.67,WAUW
2009-01-06 22:00:00,107.35,WAUW
2009-01-06 23:00:00,108.98,WAUW
2009-01-07 00:00:00,114.68,WAUW
2009-01-07 01:00:00,114.57,WAUW
2009-01-07 02:00:00,114.54,WAUW
2009-01-07 03:00:00,113.99,WAUW
2009-01-07 04:00:00,110.95,WAUW
2009-01-07 05:00:00,107.08,WAUW
2009-01-07 06:00:00,103.23,WAUW
2009-01-07 07:00:00,99.91,WAUW
2009-01-07 08:00:00,96.79,WAUW
2009-01-07 09:00:00,94.03,WAUW
2009-01-07 10:00:00,93.56,WAUW
2009-01-07 11:00:00,94.57,WAUW
2009-01-07 12:00:00,95.71,WAUW
2009-01-07 13:00:00,96.59,WAUW
2009-01-07 14:00:00,97.4,WAUW
2009-01-07 15:00:00,98.33,WAUW
2009-01-07 16:00:00,101.6,WAUW
2009-01-07 17:00:00,105.0,WAUW
2009-01-07 18:00:00,105.86,WAUW
2009-01-07 19:00:00,105.83,WAUW
2009-01-07 20:00:00,105.25,WAUW
2009-01-07 21:00:00,104.66,WAUW
2009-01-07 22:00:00,104.09,WAUW
2009-01-07 23:00:00,103.09,WAUW
2009-01-08 00:00:00,108.13,WAUW
2009-01-08 01:00:00,106.72,WAUW
